pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -4.232, None, None, None, None, 27.34, None, 1.014, 328.8, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 00:00:00, None, None, 143.4, None,12
None, -4.194, None, None, None, None, 19.12, None, 1.161, 332.7, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 01:00:00, None, None, 148.0, None,12
None, -5.168, None, None, None, None, 48.15, None, 1.243, 331.6, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 02:00:00, None, None, 147.7, None,12
None, -4.732, None, None, None, None, 29.05, None, 2.959, 352.3, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 03:00:00, None, None, 147.3, None,12
None, -4.49, None, None, None, None, 48.99, None, 1.072, 355.7, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 04:00:00, None, None, 149.1, None,12
None, -5.302, None, None, None, None, 18.62, None, 0.941, 330.4, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 05:00:00, None, None, 148.4, None,12
None, -5.36, None, None, None, None, 20.2, None, 1.676, 337.6, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 06:00:00, None, None, 148.0, None,12
None, -5.223, None, None, None, None, 11.39, None, 1.048, 329.2, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 08:00:00, None, None, 149.5, None,12
None, -5.534, None, None, None, None, 13.31, None, 2.297, 345.9, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 09:00:00, None, None, 148.3, None,12
None, -2.446, None, None, None, None, 20.2, None, 1.84, 0.126, None, None, None, None, None, None, None, None, None, None, None,2017-03-19 10:00:00, None, None, 149.2, None,12
