CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,PRECIP_DETECTOR_RATIO,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,snwfl_amt_pst1hr,stn_pres,week_of_year
None,-13.25, 92.1, None, None, None,8.14,32.76, None,241.3, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-03-19 00:00:00, None, None, None, None,12
None,-13.29, 92.1, None, None, None,10.35,28.32, None,240.5, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-03-19 01:00:00, None, None, None, None,12
None,-13.38, 92.0, None, None, None,8.46,30.7, None,251.3, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-03-19 02:00:00, None, None, None, None,12
None,-13.57, 91.9, None, None, None,9.57,26.4, None,253.0, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-03-19 03:00:00, None, None, None, None,12
None,-13.28, 92.3, None, None, None,14.45,15.36, None,257.9, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-03-19 04:00:00, None, None, None, None,12
None,-13.76, 91.7, None, None, None,11.06,20.33, None,264.2, None, None, None, None, None, -15.0, None, None, None, None, None, None, None,2017-03-19 05:00:00, None, None, None, None,12
None,-13.85, 91.8, None, None, None,12.87,23.22, None,264.9, None, None, None, None, None, -15.0, None, None, None, None, None, None, None,2017-03-19 06:00:00, None, None, None, None,12
None,-13.99, 91.6, None, None, None,10.84,21.0, None,270.4, None, None, None, None, None, -15.0, None, None, None, None, None, None, None,2017-03-19 08:00:00, None, None, None, None,12
None,-13.8, 91.8, None, None, None,12.2,15.66, None,271.0, None, None, None, None, None, -15.0, None, None, None, None, None, None, None,2017-03-19 09:00:00, None, None, None, None,12
None,-13.03, 91.8, None, None, None,17.29,8.12, None,248.5, None, None, None, None, None, -14.0, None, None, None, None, None, None, None,2017-03-19 10:00:00, None, None, None, None,12
None,-12.19, 92.3, None, None, None,24.24,9.32, None,241.0, None, None, None, None, None, -13.0, None, None, None, None, None, None, None,2017-03-19 11:00:00, None, None, None, None,12
None,-9.94, 94.1, None, None, None,26.06,6.374, None,212.7, None, None, None, None, None, -11.0, None, None, None, None, None, None, None,2017-03-19 12:00:00, None, None, None, None,12
None,-9.67, 95.3, None, None, None,17.2,2.116, None,135.6, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2017-03-19 13:00:00, None, None, None, None,12
None,-9.55, 94.2, None, None, None,47.14,4.87, None,217.6, None, None, None, None, None, -10.0, None, None, None, None, None, None, None,2017-03-19 14:00:00, None, None, None, None,12
