RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,week_of_year
50.22, None, None, 21.8, 6.894, 313.5, -13.0, -6.1, None, None, 314.0, None, None, 313.0, None, 313.3, None, None, -5.616, None, -1.5, 50.0, None, 50.44, 6.9, -5.6, 0.0, 0.0,2020-04-08 00:00:00,15
47.59, None, None, 18.9, 4.009, 357.5, -15.0, -6.4, None, None, 358.0, None, None, 314.0, None, 313.6, None, None, -6.361, None, -1.5, 48.0, None, 64.75, 4.0, -6.4, 0.1, 1.0,2020-04-08 01:00:00,15
46.38, None, None, None, 3.826, 358.4, -15.0, -6.7, None, None, None, None, None, None, None, 313.6, None, None, -6.457, None, -1.5, 46.0, None, 62.05, None, -6.5, None, None,2020-04-08 02:00:00,15
45.64, None, None, 17.7, 5.704, 285.6, -16.0, -7.0, None, None, 286.0, None, None, 314.0, None, 313.6, None, None, -6.979, None, -1.5, 46.0, None, 30.18, 5.7, -7.0, -0.1, 0.0,2020-04-08 03:00:00,15
49.12, None, None, 19.7, 6.232, 291.1, -16.0, -7.8, None, None, 291.0, None, None, 314.0, None, 314.1, None, None, -7.711, None, -1.5, 49.0, None, 25.31, 6.2, -7.7, 0.1, 1.0,2020-04-08 04:00:00,15
49.87, None, None, 16.3, 6.77, 300.2, -16.0, -8.0, None, None, 300.0, None, None, 314.0, None, 314.1, None, None, -8.08, None, -1.5, 50.0, None, 24.42, 6.8, -8.1, 0.1, 0.0,2020-04-08 05:00:00,15
45.35, None, None, 19.7, 6.576, 278.0, -17.0, -8.1, None, None, 278.0, None, None, 314.0, None, 313.7, None, None, -7.824, None, -1.5, 45.0, None, 21.17, 6.6, -7.8, 0.0, 0.0,2020-04-08 06:00:00,15
39.57, None, None, 12.8, 6.532, 257.9, -16.0, -7.8, None, None, 258.0, None, None, 314.0, None, 313.5, None, None, -5.937, None, -6.0, 40.0, None, 15.39, 6.5, -5.9, -0.5, 0.0,2020-04-08 07:00:00,15
35.31, None, None, 8.7, 3.837, 267.6, -16.0, -7.8, None, None, 268.0, None, None, 314.0, None, 313.8, None, None, -4.267, None, -4.3, 35.0, None, 20.64, 3.8, -4.3, 0.6, 1.0,2020-04-08 08:00:00,15
32.67, None, None, 8.8, 2.714, 277.2, -15.0, -7.8, None, None, 277.0, None, None, 314.0, None, None, None, None, -2.338, None, -2.4, 33.0, None, 29.91, 2.7, -2.3, -0.6, 0.0,2020-04-08 09:00:00,15
