RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
None, None, None, 12.8, 4.147, 325.2, -6999.0, -2.6, None, None, 325.0, None, None, 194.0, None, 193.8, None, -2.442, None, 1.8, None, None, 26.64, 4.1, -2.4, 0.0, 0.0, -6999.0,2020-04-08 00:00:00, -6999.0,15
None, None, None, 10.4, 3.648, 279.5, -6999.0, -2.6, None, None, 280.0, None, None, 194.0, None, 193.9, None, -2.073, None, 1.8, None, None, 37.34, 3.6, -2.1, 0.0, 0.0, -6999.0,2020-04-08 01:00:00, -6999.0,15
None, None, None, None, 3.889, 255.6, None, None, None, None, None, None, None, None, None, 193.9, None, -2.31, None, None, None, None, 22.07, None, None, None, None, None,2020-04-08 02:00:00, None,15
None, None, None, None, 0.511, 69.25, None, None, None, None, None, None, None, None, None, 193.9, None, -2.434, None, None, None, None, 41.47, None, None, None, None, None,2020-04-08 03:00:00, None,15
None, None, None, 4.6, 0.663, 308.0, -6999.0, -2.6, None, None, 308.0, None, None, 194.0, None, 193.7, None, -2.227, None, 1.8, None, None, 42.91, 0.7, -2.2, 0.0, 0.0, -6999.0,2020-04-08 04:00:00, -6999.0,15
None, None, None, 7.4, 1.813, 335.3, -6999.0, -2.6, None, None, 335.0, None, None, 194.0, None, 193.7, None, -2.159, None, 1.8, None, None, 36.35, 1.8, -2.2, 0.0, 0.0, -6999.0,2020-04-08 05:00:00, -6999.0,15
None, None, None, 25.4, 5.902, 27.07, -6999.0, -2.6, None, None, 27.0, None, None, 194.0, None, 193.6, None, -2.055, None, 1.8, None, None, 39.04, 5.9, -2.1, 0.0, 0.0, -6999.0,2020-04-08 06:00:00, -6999.0,15
None, None, None, 20.3, 8.23, 17.07, -6999.0, -3.3, None, None, 17.0, None, None, 194.0, None, 193.6, None, -3.07, None, -2.1, None, None, 37.19, 8.2, -3.1, 0.0, 0.0, -6999.0,2020-04-08 07:00:00, -6999.0,15
None, None, None, 30.1, 8.12, 339.0, -6999.0, -3.6, None, None, 339.0, None, None, 194.0, None, 193.6, None, -2.699, None, -2.1, None, None, 35.24, 8.1, -2.7, 0.0, 0.0, -6999.0,2020-04-08 08:00:00, -6999.0,15
None, None, None, 16.9, 4.131, 286.2, -6999.0, -3.6, None, None, 286.0, None, None, 193.0, None, 193.2, None, -1.86, None, -1.7, None, None, 32.55, 4.1, -1.9, 0.0, 0.0, -6999.0,2020-04-08 09:00:00, -6999.0,15
