station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, time, MIN_TEMP
None, None, 145.0, None, -1.7, -1.8, 162.0, None, None, None, 476.0, 2021-03-18 23:00:00, None
None, None, 146.0, None, -2.8, -3.0, 161.0, None, None, None, 476.0, 2021-03-19 07:00:00, None
None, None, 146.0, None, -9.7, -9.6, 158.0, None, None, None, 477.0, 2021-03-20 01:00:00, None
None, None, 146.0, None, -10.1, -10.0, 159.0, None, None, None, 476.0, 2021-03-20 08:00:00, None
None, None, 146.0, None, -3.5, -4.8, 154.0, None, None, None, 477.0, 2021-03-20 14:00:00, None
None, None, 147.0, None, -7.1, -7.0, 157.0, None, None, None, 477.0, 2021-03-21 00:00:00, None
None, None, 149.0, None, -3.2, -3.2, 159.0, None, None, None, 481.0, 2021-03-21 20:00:00, None
None, None, 149.0, None, -4.7, -4.6, 159.0, None, None, None, 481.0, 2021-03-22 01:00:00, None
None, None, 149.0, None, -1.6, -1.6, 157.0, None, None, None, 482.0, 2021-03-22 19:00:00, None
None, None, 150.0, None, -3.7, -3.7, 160.0, None, None, None, 482.0, 2021-03-23 05:00:00, None
None, None, 153.0, None, -3.3, -3.6, 157.0, None, None, None, 484.0, 2021-03-23 10:00:00, None
None, None, 153.0, None, -3.0, -3.3, 159.0, None, None, 0.0, 485.0, 2021-03-23 11:00:00, None
None, None, 156.0, None, -5.3, -5.3, 160.0, None, None, None, 488.0, 2021-03-24 06:00:00, None
None, None, 157.0, None, 1.2, 0.4, 162.0, None, None, None, 491.0, 2021-03-24 16:00:00, None
2.0, None, 158.0, None, -15.1, -14.9, 159.0, None, None, None, 491.0, 2021-03-25 06:00:00, None
None, None, 161.0, None, -4.3, -4.4, 161.0, None, None, None, 494.0, 2021-03-25 23:00:00, None
None, None, 160.0, None, -4.4, -4.5, 160.0, None, None, None, 494.0, 2021-03-26 02:00:00, None
None, None, 161.0, None, -4.3, -4.4, 160.0, None, None, None, 494.0, 2021-03-26 04:00:00, None
None, None, 161.0, None, -2.0, -2.8, 159.0, None, None, None, 495.0, 2021-03-26 11:00:00, None
None, None, 160.0, None, 0.5, -0.1, 159.0, None, None, None, 496.0, 2021-03-26 16:00:00, None
None, None, 160.0, None, -2.2, -2.3, 158.0, None, None, None, 496.0, 2021-03-27 03:00:00, None
2.0, None, 163.0, None, -1.0, -1.4, 161.0, None, None, None, 499.0, 2021-03-27 11:00:00, None
None, None, 166.0, None, -1.3, -1.6, 159.0, None, None, None, 503.0, 2021-03-27 19:00:00, None
None, None, 169.0, None, -6.4, -6.3, 163.0, None, None, None, 504.0, 2021-03-28 05:00:00, None
6.0, None, 169.0, None, -5.8, -7.0, 166.0, None, None, None, 504.0, 2021-03-28 11:00:00, None
None, None, 169.0, None, -6.5, -7.3, 164.0, None, None, None, 505.0, 2021-03-28 13:00:00, None
None, None, 169.0, None, -14.8, -14.6, 162.0, None, None, None, 505.0, 2021-03-28 23:00:00, None
None, None, 169.0, None, -21.2, -21.3, 161.0, None, None, None, 504.0, 2021-03-29 08:00:00, None
None, None, 169.0, None, -4.1, -4.3, 159.0, None, None, None, 505.0, 2021-03-29 19:00:00, None
None, None, 170.0, None, -3.0, -3.2, 159.0, None, None, None, 506.0, 2021-03-30 09:00:00, None
None, None, 170.0, None, -1.6, -1.9, 160.0, None, None, None, 506.0, 2021-03-30 12:00:00, None
None, None, 169.0, None, 0.2, -0.1, 158.0, None, None, None, 507.0, 2021-03-30 16:00:00, None
None, None, 170.0, None, -3.9, -3.9, 157.0, None, None, None, 508.0, 2021-03-31 04:00:00, None
None, None, 170.0, None, -2.2, -2.8, 158.0, None, None, None, 508.0, 2021-03-31 11:00:00, None
