CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, 0.98, 96.3, None, None, None, None, 66.26, None, 3.472, 292.4, None, None, None, None, None, None, None, None, None,2018-11-26 00:00:00, None, 60.62,48
None, 1.564, 94.8, None, None, None, None, 36.04, None, 4.69, 13.5, None, None, None, None, None, None, None, None, None,2018-11-26 01:00:00, None, 58.03,48
None, 1.714, 93.1, None, None, None, None, 60.94, None, 4.695, 23.24, None, None, None, None, None, None, None, None, None,2018-11-26 02:00:00, None, 59.0,48
None, 2.114, 94.6, None, None, None, None, 51.07, None, 4.368, 8.56, None, None, None, None, None, None, None, None, None,2018-11-26 03:00:00, None, 59.12,48
None, 2.283, 95.1, None, None, None, None, 62.1, None, 3.493, 7.19, None, None, None, None, None, None, None, None, None,2018-11-26 04:00:00, None, 55.81,48
None, 2.204, 96.5, None, None, None, None, 42.94, None, 4.817, 245.7, None, None, None, None, None, None, None, None, None,2018-11-26 05:00:00, None, 57.43,48
None, 2.468, 96.6, None, None, None, None, 27.04, None, 7.626, 228.6, None, None, None, None, None, None, None, None, None,2018-11-26 06:00:00, None, 55.11,48
None, 2.357, 96.8, None, None, None, None, 26.54, None, 7.611, 221.5, None, None, None, None, None, None, None, None, None,2018-11-26 07:00:00, None, 56.48,48
None, 2.588, 96.8, None, None, None, None, 27.36, None, 8.74, 224.1, None, None, None, None, None, None, None, None, None,2018-11-26 08:00:00, None, 53.51,48
None, 2.861, 96.9, None, None, None, None, 22.13, None, 8.65, 226.4, None, None, None, None, None, None, None, None, None,2018-11-26 09:00:00, None, 55.02,48
None, 3.038, 96.9, None, None, None, None, 23.19, None, 8.01, 229.0, None, None, None, None, None, None, None, None, None,2018-11-26 10:00:00, None, 51.21,48
None, 3.348, 96.9, None, None, None, None, 25.59, None, 7.039, 225.9, None, None, None, None, None, None, None, None, None,2018-11-26 11:00:00, None, 53.33,48
None, 3.401, 96.9, None, None, None, None, 23.94, None, 7.478, 223.5, None, None, None, None, None, None, None, None, None,2018-11-26 12:00:00, None, 51.94,48
None, 3.406, 97.0, None, None, None, None, 18.48, None, 7.084, 218.4, None, None, None, None, None, None, None, None, None,2018-11-26 13:00:00, None, 50.76,48
None, 3.037, 97.1, None, None, None, None, 28.68, None, 6.588, 233.0, None, None, None, None, None, None, None, None, None,2018-11-26 14:00:00, None, 51.02,48
None, 2.912, 97.2, None, None, None, None, 20.74, None, 8.55, 218.0, None, None, None, None, None, None, None, None, None,2018-11-26 15:00:00, None, 50.29,48
None, 2.756, 97.3, None, None, None, None, 15.91, None, 7.821, 218.2, None, None, None, None, None, None, None, None, None,2018-11-26 16:00:00, None, 51.47,48
None, 2.251, 97.5, None, None, None, None, 18.06, None, 7.538, 219.4, None, None, None, None, None, None, None, None, None,2018-11-26 17:00:00, None, 50.17,48
