CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 3.438, 98.4, None, None, None, None, 23.45, None, 16.66, 17.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 00:00:00, None, None,35
None, 3.458, 98.3, None, None, None, None, 24.81, None, 15.96, 347.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 01:00:00, None, None,35
None, 3.614, 94.9, None, None, None, None, 27.63, None, 16.0, 349.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 02:00:00, None, None,35
None, 3.475, 88.3, None, None, None, None, 25.09, None, 12.3, 342.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 03:00:00, None, None,35
None, 3.59, 83.9, None, None, None, None, 23.62, None, 11.83, 341.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 04:00:00, None, None,35
None, 3.952, 76.02, None, None, None, None, 18.55, None, 19.22, 351.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 05:00:00, None, None,35
None, 3.828, 77.45, None, None, None, None, 21.61, None, 15.86, 31.75, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 06:00:00, None, None,35
None, 3.95, 77.66, None, None, None, None, 23.42, None, 18.18, 27.43, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 07:00:00, None, None,35
None, 5.064, 73.19, None, None, None, None, 17.62, None, 20.32, 14.27, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 08:00:00, None, None,35
None, 5.855, 69.69, None, None, None, None, 18.25, None, 23.1, 4.827, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 09:00:00, None, None,35
None, 6.662, 69.38, None, None, None, None, 39.97, None, 12.65, 27.63, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 10:00:00, None, None,35
None, 8.64, 63.19, None, None, None, None, 40.96, None, 9.79, 38.14, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 11:00:00, None, None,35
None, 10.01, 62.53, None, None, None, None, 41.35, None, 12.46, 21.47, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 12:00:00, None, None,35
None, None, None, None, None, None, None, 55.11, None, None, 293.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 13:00:00, None, None,35
None, None, None, None, None, None, None, 47.14, None, 3.493, 264.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 14:00:00, None, None,35
None, None, None, None, None, None, None, 63.91, None, 3.289, 11.35, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 15:00:00, None, None,35
None, None, None, None, None, None, None, 45.32, None, 4.557, 277.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 16:00:00, None, None,35
None, None, None, None, None, None, None, 41.72, None, 7.162, 299.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 17:00:00, None, None,35
None, None, None, None, None, None, None, 35.54, None, 7.572, 288.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 18:00:00, None, None,35
None, None, None, None, None, None, None, 33.02, None, 6.858, 229.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 19:00:00, None, None,35
None, None, None, None, None, None, None, 22.52, None, 8.89, 243.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 20:00:00, None, None,35
None, None, None, None, None, None, None, 27.03, None, 10.89, 217.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 21:00:00, None, None,35
None, None, None, None, None, None, None, 20.08, None, 11.14, 224.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 22:00:00, None, None,35
None, None, None, None, None, None, None, 17.69, None, 12.22, 245.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-27 23:00:00, None, None,35
None, None, None, None, None, None, None, 31.26, None, 12.53, 221.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 00:00:00, None, None,35
None, None, None, None, None, None, None, 20.89, None, 12.53, 239.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 01:00:00, None, None,35
None, None, None, None, None, None, None, 20.6, None, 11.03, 231.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 02:00:00, None, None,35
None, None, None, None, None, None, None, 27.84, None, 13.35, 219.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 03:00:00, None, None,35
None, None, None, None, None, None, None, 11.58, None, 19.02, 200.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 04:00:00, None, None,35
None, None, None, None, None, None, None, 15.28, None, 16.27, 197.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 05:00:00, None, None,35
None, None, None, None, None, None, None, 16.48, None, 15.57, 235.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 06:00:00, None, None,35
None, None, None, None, None, None, None, 14.17, None, 13.16, 239.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 07:00:00, None, None,35
None, None, None, None, None, None, None, 22.84, None, 12.32, 205.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 08:00:00, None, None,35
None, None, None, None, None, None, None, 32.06, None, 7.088, 223.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 09:00:00, None, None,35
None, None, None, None, None, None, None, 69.69, None, 3.697, 285.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 10:00:00, None, None,35
None, None, None, None, None, None, None, 77.9, None, 3.767, 44.55, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 11:00:00, None, None,35
None, None, None, None, None, None, None, 72.22, None, 3.198, 48.39, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 12:00:00, None, None,35
None, None, None, None, None, None, None, 78.16, None, 3.736, 304.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 13:00:00, None, None,35
None, None, None, None, None, None, None, 74.15, None, 3.703, 325.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 14:00:00, None, None,35
None, None, None, None, None, None, None, 41.75, None, 8.85, 279.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 15:00:00, None, None,35
None, None, None, None, None, None, None, 33.48, None, 11.75, 280.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 16:00:00, None, None,35
None, None, None, None, None, None, None, 37.38, None, 11.19, 279.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 17:00:00, None, None,35
None, None, None, None, None, None, None, 28.74, None, 15.39, 253.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 18:00:00, None, None,35
None, None, None, None, None, None, None, 22.73, None, 19.56, 251.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 19:00:00, None, None,35
None, None, None, None, None, None, None, 24.74, None, 20.99, 253.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 20:00:00, None, None,35
None, None, None, None, None, None, None, 34.91, None, 15.57, 255.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 21:00:00, None, None,35
None, None, None, None, None, None, None, 22.22, None, 20.36, 259.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 22:00:00, None, None,35
None, None, None, None, None, None, None, 17.69, None, 24.49, 257.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-28 23:00:00, None, None,35
None, None, None, None, None, None, None, 19.68, None, 22.47, 239.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 00:00:00, None, None,35
None, None, None, None, None, None, None, 17.96, None, 21.99, 246.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 01:00:00, None, None,35
None, None, None, None, None, None, None, 22.11, None, 17.77, 245.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 02:00:00, None, None,35
None, None, None, None, None, None, None, 20.03, None, 16.99, 248.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 03:00:00, None, None,35
None, None, None, None, None, None, None, 22.93, None, 14.29, 227.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 04:00:00, None, None,35
None, None, None, None, None, None, None, 24.84, None, 12.99, 230.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 05:00:00, None, None,35
None, None, None, None, None, None, None, 24.32, None, 17.47, 236.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 06:00:00, None, None,35
None, None, None, None, None, None, None, 32.81, None, 13.32, 229.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 07:00:00, None, None,35
None, None, None, None, None, None, None, 32.3, None, 15.59, 234.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 08:00:00, None, None,35
None, None, None, None, None, None, None, 28.01, None, 19.49, 236.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 09:00:00, None, None,35
None, None, None, None, None, None, None, 30.01, None, 14.99, 248.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 10:00:00, None, None,35
None, None, None, None, None, None, None, 26.33, None, 21.06, 243.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 11:00:00, None, None,35
None, None, None, None, None, None, None, 29.95, None, 21.93, 239.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 12:00:00, None, None,35
None, None, None, None, None, None, None, 23.65, None, 22.94, 271.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 13:00:00, None, None,35
None, None, None, None, None, None, None, 27.66, None, 21.42, 298.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 14:00:00, None, None,35
None, None, None, None, None, None, None, 29.82, None, 23.27, 341.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 15:00:00, None, None,35
None, None, None, None, None, None, None, 29.17, None, 28.02, 329.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 16:00:00, None, None,35
None, None, None, None, None, None, None, 30.3, None, 26.53, 316.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 17:00:00, None, None,35
None, None, None, None, None, None, None, 23.11, None, 31.51, 336.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 18:00:00, None, None,35
None, None, None, None, None, None, None, 28.31, None, 22.93, 323.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 19:00:00, None, None,35
None, None, None, None, None, None, None, 29.2, None, 18.13, 338.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 20:00:00, None, None,35
None, None, None, None, None, None, None, 30.49, None, 14.75, 321.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 21:00:00, None, None,35
None, None, None, None, None, None, None, 27.14, None, 12.94, 320.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 22:00:00, None, None,35
None, None, None, None, None, None, None, 25.14, None, 13.34, 312.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-29 23:00:00, None, None,35
None, None, None, None, None, None, None, 31.65, None, 6.955, 324.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 00:00:00, None, None,35
None, None, None, None, None, None, None, 23.18, None, 9.66, 284.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 01:00:00, None, None,35
None, None, None, None, None, None, None, 20.96, None, 10.06, 253.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 02:00:00, None, None,35
None, None, None, None, None, None, None, 19.72, None, 12.14, 264.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 03:00:00, None, None,35
None, None, None, None, None, None, None, 21.6, None, 10.22, 259.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 04:00:00, None, None,35
None, None, None, None, None, None, None, 20.75, None, 13.82, 277.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 05:00:00, None, None,35
None, None, None, None, None, None, None, 34.44, None, 7.133, 292.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 06:00:00, None, None,35
None, None, None, None, None, None, None, 25.32, None, 8.63, 278.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 07:00:00, None, None,35
None, None, None, None, None, None, None, 29.85, None, 10.27, 269.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 08:00:00, None, None,35
None, None, None, None, None, None, None, 23.54, None, 10.61, 285.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 09:00:00, None, None,35
None, None, None, None, None, None, None, 24.43, None, 11.9, 299.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 11:00:00, None, None,35
None, None, None, None, None, None, None, 24.94, None, 13.76, 301.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 12:00:00, None, None,35
None, None, None, None, None, None, None, 30.16, None, 13.81, 281.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 13:00:00, None, None,35
None, None, None, None, None, None, None, 30.13, None, 13.06, 251.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 14:00:00, None, None,35
None, None, None, None, None, None, None, 30.14, None, 13.02, 223.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 16:00:00, None, None,35
None, None, None, None, None, None, None, 29.87, None, 14.06, 248.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 17:00:00, None, None,35
None, None, None, None, None, None, None, 26.22, None, 14.88, 244.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 18:00:00, None, None,35
None, None, None, None, None, None, None, 24.25, None, 14.64, 225.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-08-30 19:00:00, None, None,35
