CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,rel_hum,time,stn_pres,week_of_year
2.051, 90.6, None, None,17.76, 0.085,100.8, None, None, None, None, None, None,1.0, 689.9, None, None,2017-04-30 00:00:00, None,18
2.049, 91.8, None, None,9.11, 0.111,100.1, None, None, None, None, None, None,1.0, 689.6, None, None,2017-04-30 01:00:00, None,18
1.904, 92.6, None, None,55.38, 0.0,138.5, None, None, None, None, None, None,1.0, 689.6, None, None,2017-04-30 02:00:00, None,18
1.444, 93.3, None, None,11.23, 0.003,108.0, None, None, None, None, None, None,1.0, 689.6, None, None,2017-04-30 03:00:00, None,18
1.45, 93.7, None, None,11.23, 0.0,104.5, None, None, None, None, None, None,0.0, 689.5, None, None,2017-04-30 04:00:00, None,18
0.778, 94.2, None, None,16.32, 0.0,109.5, None, None, None, None, None, None,0.0, 689.5, None, None,2017-04-30 05:00:00, None,18
0.108, 94.9, None, None,23.51, 0.002,109.6, None, None, None, None, None, None,-1.0, 689.5, None, None,2017-04-30 06:00:00, None,18
1.815, 95.1, None, None,49.39, 0.062,95.3, None, None, None, None, None, None,1.0, 689.5, None, None,2017-04-30 07:00:00, None,18
3.397, 93.0, None, None,69.63, 0.001,247.9, None, None, None, None, None, None,2.0, 689.6, None, None,2017-04-30 08:00:00, None,18
3.616, 92.2, None, None,49.9, 0.003,291.7, None, None, None, None, None, None,2.0, 690.1, None, None,2017-04-30 09:00:00, None,18
4.162, 90.8, None, None,47.3, 0.0,350.2, None, None, None, None, None, None,3.0, 690.2, None, None,2017-04-30 10:00:00, None,18
5.128, 81.5, None, None,50.49, 0.311,342.4, None, None, None, None, None, None,2.0, 690.6, None, None,2017-04-30 11:00:00, None,18
7.167, 51.74, None, None,66.08, 1.708,253.9, None, None, None, None, None, None,-3.0, 690.8, None, None,2017-04-30 12:00:00, None,18
9.36, 39.38, None, None,38.62, 6.503,238.9, None, None, None, None, None, None,-4.0, 690.9, None, None,2017-04-30 13:00:00, None,18
10.06, 31.6, None, None,47.83, 7.284,248.6, None, None, None, None, None, None,-5.0, 691.0, None, None,2017-04-30 14:00:00, None,18
10.2, 30.97, None, None,40.74, 9.32,236.9, None, None, None, None, None, None,-6.0, 691.4, None, None,2017-04-30 15:00:00, None,18
9.91, 32.85, None, None,41.48, 9.59,238.4, None, None, None, None, None, None,-6.0, 691.3, None, None,2017-04-30 16:00:00, None,18
8.54, 38.37, None, None,46.11, 7.367,228.9, None, None, None, None, None, None,-5.0, 691.6, None, None,2017-04-30 17:00:00, None,18
8.13, 36.61, None, None,51.14, 4.756,207.1, None, None, None, None, None, None,-6.0, 692.1, None, None,2017-04-30 18:00:00, None,18
