wind_speed,temperature,avg_wnd_dir_10m_pst10mts,wind_direction,rel_hum,relative_humidity,rnfl_amt_pst24hrs,rnfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,precipitation,time,week_of_year
12.3, None, 95.0, 106.0, 0.0, 0.0, 0.0, 0.0, 10.7, 0.0,2020-09-30 00:00:00,40
8.9, None, 102.0, 103.0, 0.0, 0.0, 0.0, 0.0, 12.6, 0.0,2020-09-30 01:00:00,40
9.5, None, 106.0, 107.0, 0.0, 0.0, 0.0, 0.0, 12.3, 0.0,2020-09-30 02:00:00,40
7.8, None, 103.0, 135.0, 0.0, 0.0, 0.0, 0.0, 8.9, 0.0,2020-09-30 03:00:00,40
8.6, None, 107.0, 133.0, 0.0, 0.0, 0.0, 0.0, 9.5, 0.0,2020-09-30 04:00:00,40
9.1, None, 135.0, 139.0, 0.0, 0.0, 0.0, 0.0, 7.8, 0.0,2020-09-30 05:00:00,40
10.1, None, None, 136.0, None, 0.0, None, None, None, 0.0,2020-09-30 06:00:00,40
11.4, None, 139.0, 139.0, 0.0, 0.0, 0.0, 0.0, 9.1, 0.0,2020-09-30 07:00:00,40
12.8, None, 136.0, 139.0, 0.0, 0.0, 0.0, 0.0, 10.1, 0.0,2020-09-30 08:00:00,40
14.8, None, 139.0, 171.0, 0.0, 0.0, 0.0, 0.0, 11.4, 0.0,2020-09-30 09:00:00,40
13.9, None, 139.0, 184.0, 0.0, 0.0, 0.0, 0.0, 12.8, 0.0,2020-09-30 10:00:00,40
13.5, None, 171.0, 194.0, 0.0, 0.0, 0.0, 0.0, 14.8, 0.0,2020-09-30 11:00:00,40
13.1, None, 184.0, 196.0, 0.0, 0.0, 0.0, 0.0, 13.9, 0.0,2020-09-30 12:00:00,40
11.3, None, 194.0, 190.0, 0.0, 0.0, 0.0, 0.0, 13.5, 0.0,2020-09-30 13:00:00,40
7.0, None, 196.0, 226.0, 0.0, 0.0, 0.0, 0.0, 13.1, 0.0,2020-09-30 14:00:00,40
