pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,snwfl_amt_pst1hr,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,-5.01,89.0, None, None, None, None, None, None, None, None, None,-6.0,877.0, None, None, None,2018-03-26 00:00:00, None, 59.46, None,13
None,-5.881,89.7, None, None, None, None, None, None, None, None, None,-7.0,877.0, None, None, None,2018-03-26 01:00:00, None, 59.37, None,13
None,-6.194,88.4, None, None, None, None, None, None, None, None, None,-8.0,878.0, None, None, None,2018-03-26 02:00:00, None, 59.53, None,13
None,-6.433,87.2, None, None, None, None, None, None, None, None, None,-8.0,878.0, None, None, None,2018-03-26 03:00:00, None, 59.37, None,13
None,-5.993,79.99, None, None, None, None, None, None, None, None, None,-9.0,878.0, None, None, None,2018-03-26 04:00:00, None, 59.18, None,13
None,-6.633,82.5, None, None, None, None, None, None, None, None, None,-9.0,878.0, None, None, None,2018-03-26 05:00:00, None, 59.5, None,13
None,-5.521,75.94, None, None, None, None, None, None, None, None, None,-9.0,878.0, None, None, None,2018-03-26 06:00:00, None, 59.54, None,13
None,-5.184,71.38, None, None, None, None, None, None, None, None, None,-9.0,878.0, None, None, None,2018-03-26 07:00:00, None, 59.34, None,13
None,-3.897,68.83, None, None, None, None, None, None, None, None, None,-8.0,878.0, None, None, None,2018-03-26 08:00:00, None, 59.26, None,13
None,-0.809,60.41, None, None, None, None, None, None, None, None, None,-7.0,878.0, None, None, None,2018-03-26 09:00:00, None, 59.37, None,13
None,0.928,52.5, None, None, None, None, None, None, None, None, None,-8.0,878.0, None, None, None,2018-03-26 10:00:00, None, 59.42, None,13
None,-0.377,55.76, None, None, None, None, None, None, None, None, None,-7.0,878.0, None, None, None,2018-03-26 11:00:00, None, 59.44, None,13
None,0.744,53.35, None, None, None, None, None, None, None, None, None,-8.0,878.0, None, None, None,2018-03-26 12:00:00, None, 59.37, None,13
None,1.502,57.62, None, None, None, None, None, None, None, None, None,-6.0,878.0, None, None, None,2018-03-26 13:00:00, None, 59.37, None,13
None,1.868,62.7, None, None, None, None, None, None, None, None, None,-4.0,878.0, None, None, None,2018-03-26 14:00:00, None, 59.3, None,13
None,2.059,62.84, None, None, None, None, None, None, None, None, None,-4.0,878.0, None, None, None,2018-03-26 15:00:00, None, 59.33, None,13
None,2.012,59.57, None, None, None, None, None, None, None, None, None,-5.0,878.0, None, None, None,2018-03-26 16:00:00, None, 59.37, None,13
None,3.04,47.68, None, None, None, None, None, None, None, None, None,-7.0,879.0, None, None, None,2018-03-26 17:00:00, None, 59.34, None,13
None,2.52,50.63, None, None, None, None, None, None, None, None, None,-7.0,879.0, None, None, None,2018-03-26 18:00:00, None, 59.19, None,13
None,2.197,55.33, None, None, None, None, None, None, None, None, None,-5.0,879.0, None, None, None,2018-03-26 19:00:00, None, 59.2, None,13
None,0.99,66.85, None, None, None, None, None, None, None, None, None,-4.0,879.0, None, None, None,2018-03-26 20:00:00, None, 59.01, None,13
None,0.201,71.04, None, None, None, None, None, None, None, None, None,-4.0,879.0, None, None, None,2018-03-26 21:00:00, None, 59.14, None,13
None,-0.415,74.21, None, None, None, None, None, None, None, None, None,-4.0,880.0, None, None, None,2018-03-26 22:00:00, None, 59.12, None,13
None,-0.657,77.94, None, None, None, None, None, None, None, None, None,-4.0,880.0, None, None, None,2018-03-26 23:00:00, None, 58.99, None,13
None,-0.802,79.67, None, None, None, None, None, None, None, None, None,-4.0,880.0, None, None, None,2018-03-27 00:00:00, None, 59.05, None,13
None,-0.994,81.1, None, None, None, None, None, None, None, None, None,-3.0,880.0, None, None, None,2018-03-27 01:00:00, None, 59.02, None,13
None,-1.534,83.2, None, None, None, None, None, None, None, None, None,-4.0,880.0, None, None, None,2018-03-27 02:00:00, None, 58.97, None,13
None,-1.7,84.7, None, None, None, None, None, None, None, None, None,-4.0,880.0, None, None, None,2018-03-27 03:00:00, None, 58.94, None,13
None,-2.228,86.2, None, None, None, None, None, None, None, None, None,-4.0,879.0, None, None, None,2018-03-27 04:00:00, None, 58.93, None,13
