wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,stn_pres
250.0, None, None,0.0, None,4.7, None,-7.4, None, None, None,81.0,2017-03-19 00:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
348.0, None, None,0.0, None,3.2, None,-7.9, None, None, None,82.0,2017-03-19 01:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
334.0, None, None,0.0, None,2.7, None,-9.0, None, None, None,86.0,2017-03-19 02:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0, None, None,0.0, None,3.0, None,-9.5, None, None, None,87.0,2017-03-19 03:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0, None, None,0.0, None,3.1, None,-10.0, None, None, None,86.0,2017-03-19 04:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
256.0, None, None,0.0, None,4.2, None,-10.1, None, None, None,84.0,2017-03-19 05:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0, None, None,0.0, None,3.7, None,-10.8, None, None, None,85.0,2017-03-19 06:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
233.0, None, None,0.0, None,3.0, None,-10.1, None, None, None,85.0,2017-03-19 07:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
154.0, None, None,0.0, None,4.5, None,-4.7, None, None, None,62.0,2017-03-19 08:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
279.0, None, None,0.0, None,5.2, None,-1.9, None, None, None,49.0,2017-03-19 09:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
296.0, None, None,0.0, None,8.7, None,-0.9, None, None, None,39.0,2017-03-19 10:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
315.0, None, None,0.0, None,9.4, None,2.6, None, None, None,30.0,2017-03-19 11:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
302.0, None, None,0.0, None,10.1, None,3.0, None, None, None,25.0,2017-03-19 12:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
257.0, None, None,0.0, None,11.6, None,4.1, None, None, None,17.0,2017-03-19 13:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
292.0, None, None,0.0, None,9.6, None,4.6, None, None, None,18.0,2017-03-19 14:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
282.0, None, None,0.0, None,8.6, None,4.8, None, None, None,17.0,2017-03-19 15:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0, None, None,0.0, None,4.5, None,4.4, None, None, None,17.0,2017-03-19 16:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
296.0, None, None,0.0, None,6.0, None,2.6, None, None, None,20.0,2017-03-19 17:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
335.0, None, None,0.0, None,1.7, None,-1.6, None, None, None,32.0,2017-03-19 18:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0, None, None,0.0, None,2.6, None,-4.1, None, None, None,51.0,2017-03-19 19:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0, None, None,0.0, None,8.4, None,-3.5, None, None, None,54.0,2017-03-19 20:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0, None, None,0.0, None,10.2, None,-4.2, None, None, None,54.0,2017-03-19 21:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0, None, None,0.0, None,8.4, None,-5.5, None, None, None,56.0,2017-03-19 22:00:00,12,,,,,,,,,,,,,,,,,,,,,,,,,,
