station_observations
time, tasmin, tasmax, pcp
2014-01-01 00:00:00, 0.1, 2.3, 7.7
2014-01-02 00:00:00, -3.7, 1.4, 11.3
2014-01-03 00:00:00, -7.6, -0.3, 1.3
2014-01-04 00:00:00, -7.2, 0.7, 0.0
2014-01-05 00:00:00, -7.9, 1.5, 0.0
2014-01-06 00:00:00, -3.2, 1.6, 0.0
2014-01-07 00:00:00, -2.8, 2.0, 3.8
2014-01-08 00:00:00, -0.9, 2.0, 5.5
2014-01-09 00:00:00, -2.7, -0.1, 5.5
2014-01-10 00:00:00, -4.3, -1.9, 13.6
2014-01-11 00:00:00, -4.9, -0.2, 16.3
2014-01-12 00:00:00, -4.7, 1.5, 36.6
2014-01-13 00:00:00, -2.1, 1.7, 10.9
2014-01-14 00:00:00, 0.9, 3.8, 59.4
2014-01-15 00:00:00, -0.9, 2.3, 1.6
2014-01-16 00:00:00, 1.7, 5.7, 0.8
2014-01-17 00:00:00, -0.9, 9.4, 0.0
2014-01-18 00:00:00, -0.9, 6.0, 15.5
2014-01-19 00:00:00, -4.5, 3.5, 0.8
2014-01-20 00:00:00, -4.5, 4.0, 0.3
2014-01-21 00:00:00, -1.1, 1.4, 0.0
2014-01-22 00:00:00, -1.0, 6.1, 0.3
2014-01-23 00:00:00, -0.2, 11.1, 0.2
2014-01-24 00:00:00, 1.1, 10.7, 0.0
2014-01-25 00:00:00, 1.2, 13.9, 0.2
2014-01-26 00:00:00, -2.9, 4.2, 0.0
2014-01-27 00:00:00, -4.2, -2.9, 0.0
2014-01-28 00:00:00, -4.1, 1.5, 3.1
2014-01-29 00:00:00, -3.1, 1.0, 0.5
2014-01-30 00:00:00, -13.1, -3.5, 0.3
2014-01-31 00:00:00, -13.5, -7.9, 0.0
2014-02-01 00:00:00, -12.9, -2.2, 0.2
2014-02-02 00:00:00, -12.8, -5.2, 0.0
2014-02-03 00:00:00, -13.8, -9.2, 0.0
2014-02-04 00:00:00, -17.7, -15.4, 0.0
2014-02-05 00:00:00, -18.8, -15.3, 0.0
2014-02-06 00:00:00, -19.1, -9.6, 0.1
2014-02-07 00:00:00, -19.5, -12.0, 0.1
2014-02-08 00:00:00, -16.6, -11.6, 0.0
2014-02-09 00:00:00, -19.3, -11.4, 0.0
2014-02-10 00:00:00, -12.5, -8.4, 17.9
2014-02-11 00:00:00, -10.9, -2.1, 19.3
2014-02-12 00:00:00, -8.7, 0.9, 6.9
2014-02-13 00:00:00, -3.1, -0.3, 11.6
2014-02-14 00:00:00, -3.1, 0.5, 8.9
2014-02-15 00:00:00, -3.6, 1.9, 0.6
2014-02-16 00:00:00, -5.2, -1.8, 12.8
2014-02-17 00:00:00, -4.2, -1.3, 6.7
2014-02-18 00:00:00, -5.5, -2.6, 8.9
2014-02-19 00:00:00, -5.8, -0.2, 13.0
2014-02-20 00:00:00, -5.9, -2.8, 18.4
2014-02-21 00:00:00, -7.5, -1.6, 5.8
2014-02-22 00:00:00, -10.3, -4.3, 1.1
2014-02-23 00:00:00, -16.4, -10.1, 0.0
2014-02-24 00:00:00, -14.5, -9.0, 0.0
2014-02-25 00:00:00, -14.6, -5.7, 0.0
2014-02-26 00:00:00, -12.5, -0.3, 0.0
2014-02-27 00:00:00, -5.1, 0.3, 0.0
2014-02-28 00:00:00, -12.5, -4.9, 0.0
2014-03-01 00:00:00, -18.9, -14.3, 0.0
2014-03-02 00:00:00, -17.8, -17.7, 0.1
2014-03-03 00:00:00, -17.5, -14.8, 0.3
2014-03-04 00:00:00, -20.6, -10.5, 0.0
2014-03-05 00:00:00, -17.7, -13.2, 2.0
2014-03-06 00:00:00, -12.2, -4.7, 0.3
2014-03-07 00:00:00, -8.9, 1.9, 29.0
2014-03-08 00:00:00, -3.1, 1.8, 18.1
2014-03-09 00:00:00, -1.1, 4.1, 4.1
2014-03-10 00:00:00, -2.7, 4.9, 1.8
2014-03-11 00:00:00, -2.7, 3.4, 5.3
2014-03-12 00:00:00, -1.9, 2.6, 5.5
2014-03-13 00:00:00, -5.0, 4.5, 0.4
2014-03-14 00:00:00, -2.5, 2.3, 7.5
2014-03-15 00:00:00, -2.5, 2.1, 26.3
2014-03-16 00:00:00, -4.4, 2.9, 12.6
2014-03-17 00:00:00, -7.8, 1.0, 1.9
2014-03-18 00:00:00, -2.8, 1.1, 4.0
2014-03-19 00:00:00, -5.9, 3.0, 2.0
2014-03-20 00:00:00, -7.0, 4.3, 0.0
2014-03-21 00:00:00, -9.3, 4.4, 0.7
2014-03-22 00:00:00, -6.6, -1.7, 5.5
2014-03-23 00:00:00, -5.5, 0.7, 0.0
2014-03-24 00:00:00, -7.2, -4.2, 2.8
2014-03-25 00:00:00, -6.4, -2.3, 0.2
2014-03-26 00:00:00, -7.0, -3.2, 0.3
2014-03-27 00:00:00, -8.5, -1.0, 0.0
2014-03-28 00:00:00, -9.3, -0.7, 1.4
2014-03-29 00:00:00, -3.1, 5.7, 0.8
2014-03-30 00:00:00, -4.4, 5.2, 0.0
2014-03-31 00:00:00, -8.6, 6.3, 0.0
2014-04-01 00:00:00, -6.8, 9.2, 0.0
2014-04-02 00:00:00, -4.5, 2.7, 0.0
2014-04-03 00:00:00, -1.9, 3.4, 5.3
2014-04-04 00:00:00, -1.3, 2.9, 0.4
2014-04-05 00:00:00, -1.0, 1.9, 5.1
2014-04-06 00:00:00, -0.7, 2.6, 13.6
