pcpn_amt_pst24hrs,air_temp,CURRENT_AIR_TEMPERATURE1,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,HEIGHT_OF_SNOW,time,snw_dpth,dwpt_temp,week_of_year
None, None,-2.261, None, None, None, None, None, None,2019-12-03 00:00:00, None, None,49
None, None,-2.31, None, None, None, None, None, None,2019-12-03 01:00:00, None, None,49
None, None,-2.303, None, None, None, None, None, None,2019-12-03 02:00:00, None, None,49
None, None,-2.203, None, None, None, None, None, None,2019-12-03 03:00:00, None, None,49
None, None,-2.134, None, None, None, None, None, None,2019-12-03 04:00:00, None, None,49
None, None,-2.091, None, None, None, None, None, None,2019-12-03 05:00:00, None, None,49
None, None,-2.04, None, None, None, None, None, None,2019-12-03 06:00:00, None, None,49
None, None,-1.96, None, None, None, None, None, None,2019-12-03 07:00:00, None, None,49
None, None,-1.82, None, None, None, None, None, None,2019-12-03 08:00:00, None, None,49
None, None,-1.447, None, None, None, None, None, None,2019-12-03 09:00:00, None, None,49
None, None,-1.095, None, None, None, None, None, None,2019-12-03 10:00:00, None, None,49
None, None,-0.502, None, None, None, None, None, None,2019-12-03 11:00:00, None, None,49
None, None,-0.377, None, None, None, None, None, None,2019-12-03 12:00:00, None, None,49
None, None,-0.107, None, None, None, None, None, None,2019-12-03 13:00:00, None, None,49
None, None,-0.118, None, None, None, None, None, None,2019-12-03 14:00:00, None, None,49
None, None,-0.107, None, None, None, None, None, None,2019-12-03 15:00:00, None, None,49
None, None,-0.355, None, None, None, None, None, None,2019-12-03 16:00:00, None, None,49
None, None,-0.313, None, None, None, None, None, None,2019-12-03 17:00:00, None, None,49
None, None,-0.212, None, None, None, None, None, None,2019-12-03 18:00:00, None, None,49
None, None,-0.065, None, None, None, None, None, None,2019-12-03 19:00:00, None, None,49
None, None,0.0, None, None, None, None, None, None,2019-12-03 20:00:00, None, None,49
None, None,0.17, None, None, None, None, None, None,2019-12-03 21:00:00, None, None,49
None, None,0.19, None, None, None, None, None, None,2019-12-03 22:00:00, None, None,49
None, None,0.26, None, None, None, None, None, None,2019-12-03 23:00:00, None, None,49
None, None,0.19, None, None, None, None, None, None,2019-12-04 00:00:00, None, None,49
None, None,0.354, None, None, None, None, None, None,2019-12-04 01:00:00, None, None,49
None, None,0.316, None, None, None, None, None, None,2019-12-04 02:00:00, None, None,49
None, None,0.467, None, None, None, None, None, None,2019-12-04 03:00:00, None, None,49
None, None,0.89, None, None, None, None, None, None,2019-12-04 04:00:00, None, None,49
None, None,1.09, None, None, None, None, None, None,2019-12-04 05:00:00, None, None,49
None, None,1.07, None, None, None, None, None, None,2019-12-04 06:00:00, None, None,49
None, None,1.194, None, None, None, None, None, None,2019-12-04 07:00:00, None, None,49
None, None,1.112, None, None, None, None, None, None,2019-12-04 08:00:00, None, None,49
None, None,1.199, None, None, None, None, None, None,2019-12-04 09:00:00, None, None,49
None, None,1.58, None, None, None, None, None, None,2019-12-04 10:00:00, None, None,49
None, None,2.093, None, None, None, None, None, None,2019-12-04 11:00:00, None, None,49
None, None,2.17, None, None, None, None, None, None,2019-12-04 12:00:00, None, None,49
None, None,2.708, None, None, None, None, None, None,2019-12-04 13:00:00, None, None,49
None, None,2.865, None, None, None, None, None, None,2019-12-04 14:00:00, None, None,49
None, None,2.302, None, None, None, None, None, None,2019-12-04 15:00:00, None, None,49
None, None,3.009, None, None, None, None, None, None,2019-12-04 16:00:00, None, None,49
None, None,2.61, None, None, None, None, None, None,2019-12-04 17:00:00, None, None,49
None, None,1.386, None, None, None, None, None, None,2019-12-04 18:00:00, None, None,49
None, None,1.147, None, None, None, None, None, None,2019-12-04 19:00:00, None, None,49
None, None,1.032, None, None, None, None, None, None,2019-12-04 20:00:00, None, None,49
None, None,0.529, None, None, None, None, None, None,2019-12-04 21:00:00, None, None,49
None, None,-0.088, None, None, None, None, None, None,2019-12-04 22:00:00, None, None,49
None, None,-0.621, None, None, None, None, None, None,2019-12-04 23:00:00, None, None,49
None, None,-1.261, None, None, None, None, None, None,2019-12-05 00:00:00, None, None,49
None, None,-1.424, None, None, None, None, None, None,2019-12-05 01:00:00, None, None,49
None, None,-1.548, None, None, None, None, None, None,2019-12-05 02:00:00, None, None,49
None, None,-1.397, None, None, None, None, None, None,2019-12-05 03:00:00, None, None,49
None, None,-2.428, None, None, None, None, None, None,2019-12-05 04:00:00, None, None,49
None, None,-3.171, None, None, None, None, None, None,2019-12-05 05:00:00, None, None,49
None, None,-3.294, None, None, None, None, None, None,2019-12-05 06:00:00, None, None,49
None, None,-3.515, None, None, None, None, None, None,2019-12-05 07:00:00, None, None,49
None, None,-3.578, None, None, None, None, None, None,2019-12-05 08:00:00, None, None,49
None, None,-2.815, None, None, None, None, None, None,2019-12-05 09:00:00, None, None,49
None, None,-1.463, None, None, None, None, None, None,2019-12-05 10:00:00, None, None,49
None, None,-0.628, None, None, None, None, None, None,2019-12-05 11:00:00, None, None,49
None, None,-0.207, None, None, None, None, None, None,2019-12-05 12:00:00, None, None,49
None, None,0.351, None, None, None, None, None, None,2019-12-05 13:00:00, None, None,49
None, None,0.696, None, None, None, None, None, None,2019-12-05 14:00:00, None, None,49
None, None,-0.408, None, None, None, None, None, None,2019-12-05 15:00:00, None, None,49
None, None,-1.078, None, None, None, None, None, None,2019-12-05 16:00:00, None, None,49
None, None,-1.439, None, None, None, None, None, None,2019-12-05 17:00:00, None, None,49
None, None,-1.448, None, None, None, None, None, None,2019-12-05 18:00:00, None, None,49
None, None,-1.666, None, None, None, None, None, None,2019-12-05 19:00:00, None, None,49
None, None,-1.711, None, None, None, None, None, None,2019-12-05 20:00:00, None, None,49
None, None,-1.677, None, None, None, None, None, None,2019-12-05 21:00:00, None, None,49
None, None,-1.764, None, None, None, None, None, None,2019-12-05 22:00:00, None, None,49
None, None,-1.762, None, None, None, None, None, None,2019-12-05 23:00:00, None, None,49
None, None,-2.259, None, None, None, None, None, None,2019-12-06 00:00:00, None, None,49
None, None,-2.123, None, None, None, None, None, None,2019-12-06 01:00:00, None, None,49
None, None,-2.199, None, None, None, None, None, None,2019-12-06 02:00:00, None, None,49
None, None,-2.21, None, None, None, None, None, None,2019-12-06 03:00:00, None, None,49
None, None,-2.173, None, None, None, None, None, None,2019-12-06 04:00:00, None, None,49
None, None,-2.153, None, None, None, None, None, None,2019-12-06 05:00:00, None, None,49
None, None,-2.1, None, None, None, None, None, None,2019-12-06 06:00:00, None, None,49
None, None,-2.044, None, None, None, None, None, None,2019-12-06 07:00:00, None, None,49
None, None,-1.91, None, None, None, None, None, None,2019-12-06 08:00:00, None, None,49
None, None,-1.68, None, None, None, None, None, None,2019-12-06 09:00:00, None, None,49
None, None,-1.222, None, None, None, None, None, None,2019-12-06 10:00:00, None, None,49
None, None,-1.071, None, None, None, None, None, None,2019-12-06 11:00:00, None, None,49
None, None,-0.87, None, None, None, None, None, None,2019-12-06 12:00:00, None, None,49
None, None,-0.906, None, None, None, None, None, None,2019-12-06 13:00:00, None, None,49
None, None,-0.898, None, None, None, None, None, None,2019-12-06 14:00:00, None, None,49
None, None,-0.85, None, None, None, None, None, None,2019-12-06 15:00:00, None, None,49
None, None,-1.079, None, None, None, None, None, None,2019-12-06 16:00:00, None, None,49
None, None,-1.15, None, None, None, None, None, None,2019-12-06 17:00:00, None, None,49
None, None,-1.119, None, None, None, None, None, None,2019-12-06 18:00:00, None, None,49
None, None,-1.15, None, None, None, None, None, None,2019-12-06 19:00:00, None, None,49
None, None,-1.088, None, None, None, None, None, None,2019-12-06 20:00:00, None, None,49
None, None,-1.057, None, None, None, None, None, None,2019-12-06 21:00:00, None, None,49
None, None,-0.979, None, None, None, None, None, None,2019-12-06 22:00:00, None, None,49
None, None,-1.0, None, None, None, None, None, None,2019-12-06 23:00:00, None, None,49
None, None,-0.968, None, None, None, None, None, None,2019-12-07 00:00:00, None, None,49
None, None,-0.85, None, None, None, None, None, None,2019-12-07 01:00:00, None, None,49
None, None,-0.733, None, None, None, None, None, None,2019-12-07 02:00:00, None, None,49
None, None,-0.596, None, None, None, None, None, None,2019-12-07 03:00:00, None, None,49
None, None,-0.52, None, None, None, None, None, None,2019-12-07 04:00:00, None, None,49
None, None,-0.467, None, None, None, None, None, None,2019-12-07 05:00:00, None, None,49
None, None,-0.1, None, None, None, None, None, None,2019-12-07 06:00:00, None, None,49
None, None,-0.12, None, None, None, None, None, None,2019-12-07 07:00:00, None, None,49
None, None,-0.053, None, None, None, None, None, None,2019-12-07 08:00:00, None, None,49
None, None,0.3, None, None, None, None, None, None,2019-12-07 09:00:00, None, None,49
None, None,0.479, None, None, None, None, None, None,2019-12-07 10:00:00, None, None,49
None, None,0.635, None, None, None, None, None, None,2019-12-07 11:00:00, None, None,49
None, None,0.727, None, None, None, None, None, None,2019-12-07 12:00:00, None, None,49
None, None,1.03, None, None, None, None, None, None,2019-12-07 13:00:00, None, None,49
None, None,1.153, None, None, None, None, None, None,2019-12-07 14:00:00, None, None,49
None, None,0.573, None, None, None, None, None, None,2019-12-07 15:00:00, None, None,49
None, None,0.377, None, None, None, None, None, None,2019-12-07 16:00:00, None, None,49
