pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,-2.646,96.7, None, None, 26.59, 9.41, 164.5, None, None, None, None, None, None,-3.0,916.0, None, None, None,2019-12-17 00:00:00, None, 48.78, None,51
None,-2.587,96.8, None, None, 23.56, 11.61, 156.0, None, None, None, None, None, None,-3.0,915.0, None, None, None,2019-12-17 01:00:00, None, 48.4, None,51
None,-2.257,97.1, None, None, 25.45, 9.41, 159.6, None, None, None, None, None, None,-3.0,914.0, None, None, None,2019-12-17 02:00:00, None, 48.18, None,51
None,-2.018,97.3, None, None, 23.88, 10.82, 159.7, None, None, None, None, None, None,-2.0,914.0, None, None, None,2019-12-17 03:00:00, None, 48.22, None,51
None,-1.797,97.4, None, None, 21.93, 12.39, 153.2, None, None, None, None, None, None,-2.0,913.0, None, None, None,2019-12-17 04:00:00, None, 47.95, None,51
None,-1.447,97.6, None, None, 20.03, 12.2, 150.4, None, None, None, None, None, None,-2.0,913.0, None, None, None,2019-12-17 05:00:00, None, 47.87, None,51
None,-1.29,97.8, None, None, 19.66, 12.41, 150.5, None, None, None, None, None, None,-2.0,911.0, None, None, None,2019-12-17 06:00:00, None, 47.78, None,51
None,-1.053,98.0, None, None, 19.12, 12.95, 150.9, None, None, None, None, None, None,-1.0,910.0, None, None, None,2019-12-17 07:00:00, None, 47.51, None,51
None,-0.299,98.5, None, None, 16.74, 15.78, 149.9, None, None, None, None, None, None,-1.0,909.0, None, None, None,2019-12-17 08:00:00, None, 47.4, None,51
None,-0.065,98.5, None, None, 15.29, 18.35, 148.4, None, None, None, None, None, None,-1.0,909.0, None, None, None,2019-12-17 09:00:00, None, 47.26, None,51
