pcpn_amt_pst24hrs,ONE_DAY_PRECIPITATION,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,cum_pcpn_amt,ONE_DAY_SNOW,time,air_temp_1,MIN_TEMP,snw_dpth,MAX_TEMP,week_of_year
0.0, None, 0.0,-6.0,856.0, None,2020-08-05 00:00:00,9.8, None,21.0, None,32
None, None, 0.0,-7.0,856.0, None,2020-08-05 01:00:00,9.9, None,21.0, None,32
0.0, None, 0.0,-7.0,856.0, None,2020-08-05 02:00:00,10.7, None,22.0, None,32
0.0, None, 0.0,-7.0,856.0, None,2020-08-05 03:00:00,10.9, None,21.0, None,32
0.0, None, 0.0,-7.0,856.0, None,2020-08-05 04:00:00,11.3, None,22.0, None,32
None, None, 0.0,-7.0,856.0, None,2020-08-05 05:00:00,10.2, None,22.0, None,32
None, None, 0.0,-7.0,856.0, None,2020-08-05 06:00:00,11.3, None,-16.0, None,32
0.0, None, 1.0,-7.0,857.0, None,2020-08-05 07:00:00,14.6, None,22.0, None,32
None, None, None,-7.0,856.0, None,2020-08-05 08:00:00,16.2, None,21.0, None,32
None, None, 0.0,-7.0,856.0, None,2020-08-05 09:00:00,17.5, None,21.0, None,32
None, None, 0.0,-6.0,856.0, None,2020-08-05 10:00:00,19.6, None,20.0, None,32
None, None, 0.0,-5.0,856.0, None,2020-08-05 11:00:00,20.2, None,18.0, None,32
None, None, 0.0,-5.0,856.0, None,2020-08-05 12:00:00,21.0, None,21.0, None,32
None, None, None,-4.0,855.0, None,2020-08-05 13:00:00,21.5, None,20.0, None,32
None, None, 0.0,-4.0,855.0, None,2020-08-05 14:00:00,20.8, None,20.0, None,32
None, None, None,-3.0,854.0, None,2020-08-05 15:00:00,22.1, None,20.0, None,32
None, None, 0.0,-3.0,854.0, None,2020-08-05 16:00:00,20.8, None,21.0, None,32
None, None, 0.0,-3.0,854.0, None,2020-08-05 17:00:00,21.2, None,22.0, None,32
None, None, 0.0,-3.0,854.0, None,2020-08-05 18:00:00,19.1, None,19.0, None,32
None, None, 0.0,-3.0,854.0, None,2020-08-05 19:00:00,16.2, None,21.0, None,32
0.0, None, 1.0,-3.0,855.0, None,2020-08-05 20:00:00,15.6, None,21.0, None,32
0.0, None, 0.0,-3.0,855.0, None,2020-08-05 21:00:00,13.9, None,21.0, None,32
0.0, None, 0.0,-3.0,855.0, None,2020-08-05 22:00:00,13.6, None,21.0, None,32
0.0, None, 1.0,-4.0,856.0, None,2020-08-05 23:00:00,13.0, None,21.0, None,32
0.0, None, 0.0,-4.0,856.0, None,2020-08-06 00:00:00,13.2, None,22.0, None,32
0.0, None, 0.0,-5.0,856.0, None,2020-08-06 03:00:00,12.5, None,21.0, None,32
0.0, None, 0.0,-5.0,856.0, None,2020-08-06 04:00:00,10.5, None,21.0, None,32
0.0, None, 0.0,-6.0,856.0, None,2020-08-06 05:00:00,8.4, None,23.0, None,32
0.0, None, 0.0,-6.0,856.0, None,2020-08-06 06:00:00,7.6, None,22.0, None,32
0.0, None, 1.0,-6.0,857.0, None,2020-08-06 07:00:00,9.7, None,21.0, None,32
1.0, None, 0.0,-6.0,857.0, None,2020-08-06 08:00:00,9.0, None,23.0, None,32
1.0, None, 0.0,-6.0,857.0, None,2020-08-06 09:00:00,10.2, None,14.0, None,32
1.0, None, 0.0,-6.0,857.0, None,2020-08-06 10:00:00,11.4, None,20.0, None,32
1.0, None, 0.0,-6.0,857.0, None,2020-08-06 11:00:00,11.6, None,19.0, None,32
1.0, None, 0.0,-6.0,857.0, None,2020-08-06 12:00:00,13.1, None,19.0, None,32
1.0, None, None,-5.0,856.0, None,2020-08-06 13:00:00,14.0, None,19.0, None,32
1.0, None, 0.0,-5.0,856.0, None,2020-08-06 14:00:00,10.3, None,15.0, None,32
3.0, None, 1.0,-5.0,857.0, None,2020-08-06 15:00:00,8.8, None,21.0, None,32
4.0, None, 1.0,-5.0,858.0, None,2020-08-06 16:00:00,8.3, None,18.0, None,32
6.0, None, 2.0,-5.0,860.0, None,2020-08-06 17:00:00,7.2, None,22.0, None,32
6.0, None, 0.0,-5.0,860.0, None,2020-08-06 18:00:00,7.0, None,23.0, None,32
6.0, None, 0.0,-5.0,860.0, None,2020-08-06 19:00:00,6.8, None,21.0, None,32
6.0, None, 1.0,-6.0,861.0, None,2020-08-06 20:00:00,6.5, None,23.0, None,32
6.0, None, 0.0,-6.0,861.0, None,2020-08-06 21:00:00,6.5, None,23.0, None,32
6.0, None, 0.0,-6.0,861.0, None,2020-08-06 22:00:00,6.2, None,23.0, None,32
5.0, None, 0.0,-6.0,861.0, None,2020-08-06 23:00:00,6.0, None,22.0, None,32
5.0, None, 0.0,-7.0,861.0, None,2020-08-07 00:00:00,5.5, None,23.0, None,32
5.0, None, None,-7.0,861.0, None,2020-08-07 02:00:00,6.2, None,22.0, None,32
5.0, None, 0.0,-7.0,861.0, None,2020-08-07 03:00:00,5.6, None,21.0, None,32
7.0, None, 2.0,-7.0,863.0, None,2020-08-07 04:00:00,4.6, None,20.0, None,32
7.0, None, 0.0,-7.0,863.0, None,2020-08-07 05:00:00,4.8, None,21.0, None,32
