wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,snw_dpth
,100.0, 3.3, None,5.5, None,5.5, None,14.0,0.0, None, None,2022-06-18 00:00:00,25,
,100.0, 3.2, None,5.3, None,5.3, None,345.0,0.0, None, None,2022-06-18 01:00:00,25,
,100.0, 4.2, None,4.6, None,4.6, None,360.0,0.0, None, None,2022-06-18 02:00:00,25,
,100.0, 3.9, None,4.0, None,4.0, None,353.0,0.0, None, None,2022-06-18 03:00:00,25,
,100.0, 1.4, None,4.0, None,4.0, None,42.0,0.0, None, None,2022-06-18 04:00:00,25,
,100.0, 0.1, None,5.0, None,5.0, None,10.0,0.0, None, None,2022-06-18 05:00:00,25,
,100.0, None, None,5.7, None,5.7, None,286.0,0.0, 0.2, None,2022-06-18 06:00:00,25,
,100.0, 2.7, None,6.4, None,6.4, None,288.0,0.0, 0.2, None,2022-06-18 07:00:00,25,
,93.0, 3.6, None,6.4, None,7.5, None,189.0,0.0, 0.2, None,2022-06-18 08:00:00,25,
,76.0, 4.3, None,5.9, None,9.9, None,203.0,0.0, 0.2, None,2022-06-18 09:00:00,25,
,69.0, None, None,6.1, None,11.6, None,202.0,0.0, 0.2, None,2022-06-18 10:00:00,25,
,66.0, 9.6, None,5.5, None,11.6, None,171.0,0.0, 0.2, None,2022-06-18 11:00:00,25,
,79.0, 10.8, None,6.5, None,10.0, None,279.0,0.0, 0.2, None,2022-06-18 12:00:00,25,
,58.0, 8.5, None,6.3, None,14.5, None,259.0,0.0, 0.2, None,2022-06-18 13:00:00,25,
,55.0, 9.6, None,4.8, None,13.7, None,281.0,0.0, 0.2, None,2022-06-18 14:00:00,25,
,53.0, None, None,3.8, None,13.2, None,278.0,0.0, 0.2, None,2022-06-18 15:00:00,25,
,56.0, None, None,4.8, None,13.4, None,264.0,0.0, 0.0, None,2022-06-18 16:00:00,25,
,68.0, 3.3, None,6.3, None,12.0, None,298.0,0.0, 0.0, None,2022-06-18 17:00:00,25,
,53.0, 3.8, None,4.4, None,13.8, None,249.0,0.0, 0.0, None,2022-06-18 18:00:00,25,
,75.0, 1.5, None,7.5, None,11.8, None,276.0,0.0, 0.0, None,2022-06-18 19:00:00,25,
,92.0, 3.9, None,7.5, None,8.7, None,20.0,0.4, 0.4, None,2022-06-18 20:00:00,25,
,95.0, 1.7, None,7.4, None,8.2, None,144.0,0.0, 0.4, None,2022-06-18 21:00:00,25,
