BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 18.5, 2.56, 61.1, 69.91,2018-06-18 00:00:00, 16.26,25
None, 16.3, 2.184, 69.9, 77.4,2018-06-18 01:00:00, 14.59,25
None, 14.6, 1.611, 77.4, 81.0,2018-06-18 02:00:00, 13.25,25
None, 13.3, 0.419, 81.0, 83.1,2018-06-18 03:00:00, 12.2,25
None, 12.2, 1.038, 83.1, 87.5,2018-06-18 04:00:00, 10.83,25
None, 10.8, 0.981, 87.5, 88.7,2018-06-18 05:00:00, 11.49,25
None, 11.5, 0.578, 88.7, 84.4,2018-06-18 06:00:00, 13.55,25
None, 13.6, 0.582, 84.4, 77.11,2018-06-18 07:00:00, 15.26,25
None, 15.3, 0.492, 77.1, 66.42,2018-06-18 08:00:00, 17.71,25
None, 17.7, 0.889, 66.4, 58.63,2018-06-18 09:00:00, 20.2,25
None, 20.2, 0.884, 58.6, 53.64,2018-06-18 10:00:00, 22.05,25
None, 22.1, 0.914, 53.6, 48.61,2018-06-18 11:00:00, 24.16,25
None, 24.2, 1.78, 48.6, 43.9,2018-06-18 12:00:00, 26.75,25
None, 26.8, 1.913, 43.9, 35.01,2018-06-18 13:00:00, 28.9,25
None, 28.9, 1.925, 35.0, 29.02,2018-06-18 14:00:00, 30.27,25
None, 30.3, 1.605, 29.0, 25.75,2018-06-18 15:00:00, 30.96,25
None, 31.0, 1.463, 25.8, 24.05,2018-06-18 16:00:00, 31.27,25
None, 31.3, 2.217, 24.1, 25.06,2018-06-18 17:00:00, 31.04,25
None, 31.0, 2.121, 25.1, 26.46,2018-06-18 18:00:00, 30.43,25
None, 30.4, 1.961, 26.5, 32.17,2018-06-18 19:00:00, 28.28,25
None, 28.3, 2.143, 32.2, 39.11,2018-06-18 20:00:00, 25.32,25
None, 25.3, 2.426, 39.1, 36.91,2018-06-18 21:00:00, 24.19,25
None, 24.2, 1.574, 36.9, 43.62,2018-06-18 22:00:00, 21.9,25
None, 21.9, 2.504, 43.6, 59.79,2018-06-18 23:00:00, 18.86,25
None, 18.9, 2.311, 59.8, 68.28,2018-06-19 00:00:00, 17.0,25
None, 17.0, 3.219, 68.3, 73.35,2018-06-19 01:00:00, 15.79,25
None, 15.8, 0.538, 73.4, 77.17,2018-06-19 02:00:00, 14.38,25
None, 14.4, 1.524, 77.2, 82.4,2018-06-19 03:00:00, 12.84,25
None, 12.8, 1.735, 82.4, 84.2,2018-06-19 04:00:00, 12.45,25
None, 12.5, 1.215, 84.2, 85.5,2018-06-19 05:00:00, 13.16,25
None, 13.2, 1.97, 85.5, 81.9,2018-06-19 06:00:00, 14.67,25
None, 14.7, 1.92, 81.9, 72.66,2018-06-19 07:00:00, 17.09,25
None, 17.1, 2.137, 72.7, 60.73,2018-06-19 08:00:00, 19.94,25
None, 19.9, 1.51, 60.7, 54.72,2018-06-19 09:00:00, 22.25,25
None, 22.3, 1.687, 54.7, 49.19,2018-06-19 10:00:00, 24.53,25
None, 24.5, 2.158, 49.2, 43.83,2018-06-19 11:00:00, 26.58,25
None, 26.6, 1.773, 43.8, 40.73,2018-06-19 12:00:00, 28.23,25
None, 28.2, 1.918, 40.7, 35.39,2018-06-19 13:00:00, 29.89,25
None, 29.9, 1.643, 35.4, 30.31,2018-06-19 14:00:00, 31.05,25
None, 31.1, 1.813, 30.3, 28.15,2018-06-19 15:00:00, 31.66,25
None, 31.7, 1.548, 28.2, 27.08,2018-06-19 16:00:00, 32.1,25
None, 32.1, 1.475, 27.1, 28.95,2018-06-19 17:00:00, 31.68,25
None, 31.7, 1.043, 29.0, 33.29,2018-06-19 18:00:00, 31.09,25
None, 31.1, 0.844, 33.3, 53.26,2018-06-19 19:00:00, 28.28,25
None, 28.3, 0.933, 53.3, 56.2,2018-06-19 20:00:00, 24.26,25
None, 24.3, 0.353, 56.2, 59.47,2018-06-19 21:00:00, 22.19,25
None, 22.2, 0.627, 59.5, 67.1,2018-06-19 22:00:00, 20.19,25
None, 20.2, 0.122, 67.1, 74.41,2018-06-19 23:00:00, 18.63,25
None, 18.6, 0.435, 74.4, 77.88,2018-06-20 00:00:00, 17.79,25
None, 17.8, 0.392, 77.9, 78.79,2018-06-20 01:00:00, 17.41,25
None, 17.4, 0.129, 78.8, 83.0,2018-06-20 02:00:00, 16.07,25
None, 16.1, 0.167, 83.0, 84.2,2018-06-20 03:00:00, 15.84,25
None, 15.8, 0.013, 84.2, 84.7,2018-06-20 04:00:00, 15.29,25
None, 15.3, 0.502, 84.7, 88.5,2018-06-20 05:00:00, 14.47,25
None, 14.5, 0.485, 88.5, 88.8,2018-06-20 06:00:00, 16.0,25
None, 16.0, 0.475, 88.8, 82.5,2018-06-20 07:00:00, 17.66,25
None, 17.7, 0.467, 82.5, 76.38,2018-06-20 08:00:00, 19.38,25
None, 19.4, 1.098, 76.4, 71.37,2018-06-20 09:00:00, 21.14,25
None, 21.1, 1.5, 71.4, 65.3,2018-06-20 10:00:00, 22.74,25
None, 22.7, 1.435, 65.3, 62.56,2018-06-20 11:00:00, 24.2,25
None, 24.2, 1.016, 62.6, 58.3,2018-06-20 12:00:00, 26.41,25
None, 26.4, 1.436, 58.3, 42.21,2018-06-20 13:00:00, 29.68,25
None, 29.7, 1.726, 42.2, 31.7,2018-06-20 14:00:00, 31.33,25
None, 31.3, 2.146, 31.7, 25.23,2018-06-20 15:00:00, 32.36,25
None, 32.4, 1.578, 25.2, 25.14,2018-06-20 16:00:00, 32.2,25
None, 32.2, 1.097, 25.1, 37.95,2018-06-20 17:00:00, 28.5,25
None, 28.5, 2.426, 38.0, 54.93,2018-06-20 18:00:00, 24.55,25
None, 24.6, 3.559, 54.9, 45.63,2018-06-20 19:00:00, 24.87,25
None, 24.9, 2.427, 45.6, 50.46,2018-06-20 20:00:00, 23.2,25
None, 23.2, 1.384, 50.5, 52.53,2018-06-20 21:00:00, 21.59,25
None, 21.6, 0.732, 52.5, 59.3,2018-06-20 22:00:00, 19.4,25
None, 19.4, 1.139, 59.3, 71.15,2018-06-20 23:00:00, 17.06,25
None, 17.1, 0.48, 71.2, 75.18,2018-06-21 00:00:00, 16.39,25
None, 16.4, 1.046, 75.2, 80.5,2018-06-21 01:00:00, 15.17,25
None, 15.2, 1.581, 80.5, 84.4,2018-06-21 02:00:00, 14.23,25
None, 14.2, 0.981, 84.4, 85.5,2018-06-21 03:00:00, 13.55,25
None, 13.6, 0.804, 85.5, 85.3,2018-06-21 04:00:00, 12.9,25
None, 12.9, 0.751, 85.3, 86.4,2018-06-21 05:00:00, 12.97,25
None, 13.0, 0.789, 86.4, 86.3,2018-06-21 06:00:00, 14.63,25
None, 14.6, 1.212, 86.3, 81.6,2018-06-21 07:00:00, 16.2,25
None, 16.2, 0.921, 81.6, 77.67,2018-06-21 08:00:00, 17.07,25
None, 17.1, 1.007, 77.7, 77.52,2018-06-21 09:00:00, 17.15,25
None, 17.2, 0.962, 77.5, 72.99,2018-06-21 10:00:00, 17.47,25
None, 17.5, 0.901, 73.0, 69.33,2018-06-21 11:00:00, 18.67,25
None, 18.7, 2.11, 69.3, 60.54,2018-06-21 12:00:00, 21.8,25
None, 21.8, 2.576, 60.5, 49.4,2018-06-21 13:00:00, 25.22,25
None, 25.2, 3.081, 49.4, 47.98,2018-06-21 14:00:00, 26.58,25
None, 26.6, 2.521, 48.0, 40.79,2018-06-21 15:00:00, 28.39,25
None, 28.4, 1.435, 40.8, 40.69,2018-06-21 16:00:00, 28.95,25
None, 29.0, 2.498, 40.7, 48.11,2018-06-21 17:00:00, 27.07,25
None, 27.1, 1.816, 48.1, 56.59,2018-06-21 18:00:00, 25.37,25
None, 25.4, 3.742, 56.6, 56.78,2018-06-21 19:00:00, 23.8,25
