pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,snwfl_amt_pst1hr,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None,5.503,94.8, None, None, None, None, None, None, None, None, None,5.0,866.0, None, None, None,2019-10-08 00:00:00, None, 0.088, None,41
None,4.882,95.1, None, None, None, None, None, None, None, None, None,4.0,865.0, None, None, None,2019-10-08 01:00:00, None, 0.15, None,41
None,4.306,95.1, None, None, None, None, None, None, None, None, None,4.0,865.0, None, None, None,2019-10-08 02:00:00, None, -0.018, None,41
None,4.218,95.1, None, None, None, None, None, None, None, None, None,3.0,866.0, None, None, None,2019-10-08 03:00:00, None, 0.263, None,41
None,2.956,89.7, None, None, None, None, None, None, None, None, None,1.0,867.0, None, None, None,2019-10-08 04:00:00, None, 0.21, None,41
None,2.338,93.7, None, None, None, None, None, None, None, None, None,1.0,867.0, None, None, None,2019-10-08 05:00:00, None, 0.003, None,41
None,1.25,94.2, None, None, None, None, None, None, None, None, None,0.0,867.0, None, None, None,2019-10-08 06:00:00, None, -0.085, None,41
None,0.471,95.2, None, None, None, None, None, None, None, None, None,0.0,868.0, None, None, None,2019-10-08 07:00:00, None, -0.131, None,41
None,-0.724,95.7, None, None, None, None, None, None, None, None, None,-1.0,868.0, None, None, None,2019-10-08 08:00:00, None, 0.081, None,41
None,-0.665,96.3, None, None, None, None, None, None, None, None, None,-1.0,868.0, None, None, None,2019-10-08 09:00:00, None, 0.087, None,41
None,0.298,96.1, None, None, None, None, None, None, None, None, None,0.0,869.0, None, None, None,2019-10-08 10:00:00, None, 0.294, None,41
None,1.361,84.6, None, None, None, None, None, None, None, None, None,-1.0,869.0, None, None, None,2019-10-08 11:00:00, None, 0.303, None,41
None,-0.318,85.1, None, None, None, None, None, None, None, None, None,-2.0,871.0, None, None, None,2019-10-08 12:00:00, None, 0.218, None,41
None,-1.503,93.3, None, None, None, None, None, None, None, None, None,-2.0,873.0, None, None, None,2019-10-08 13:00:00, None, -0.07, None,41
None,-2.029,94.0, None, None, None, None, None, None, None, None, None,-3.0,874.0, None, None, None,2019-10-08 14:00:00, None, 2.224, None,41
None,-2.216,94.2, None, None, None, None, None, None, None, None, None,-3.0,876.0, None, None, None,2019-10-08 15:00:00, None, 3.499, None,41
None,-2.022,93.8, None, None, None, None, None, None, None, None, None,-3.0,877.0, None, None, None,2019-10-08 16:00:00, None, 3.492, None,41
None,-2.218,91.5, None, None, None, None, None, None, None, None, None,-3.0,877.0, None, None, None,2019-10-08 17:00:00, None, 3.943, None,41
None,-2.84,90.2, None, None, None, None, None, None, None, None, None,-4.0,878.0, None, None, None,2019-10-08 18:00:00, None, 2.685, None,41
None,-2.865,93.0, None, None, None, None, None, None, None, None, None,-4.0,879.0, None, None, None,2019-10-08 19:00:00, None, 2.403, None,41
None,-3.171,93.1, None, None, None, None, None, None, None, None, None,-4.0,880.0, None, None, None,2019-10-08 20:00:00, None, 2.394, None,41
None,-3.604,93.4, None, None, None, None, None, None, None, None, None,-4.0,881.0, None, None, None,2019-10-08 21:00:00, None, 2.37, None,41
None,-4.018,93.5, None, None, None, None, None, None, None, None, None,-5.0,881.0, None, None, None,2019-10-08 22:00:00, None, 2.208, None,41
None,-4.114,93.6, None, None, None, None, None, None, None, None, None,-5.0,882.0, None, None, None,2019-10-08 23:00:00, None, 1.662, None,41
None,-4.114,93.6, None, None, None, None, None, None, None, None, None,-5.0,883.0, None, None, None,2019-10-09 00:00:00, None, 1.291, None,41
None,-4.308,90.6, None, None, None, None, None, None, None, None, None,-5.0,883.0, None, None, None,2019-10-09 01:00:00, None, 1.8, None,41
None,-4.598,89.9, None, None, None, None, None, None, None, None, None,-6.0,884.0, None, None, None,2019-10-09 02:00:00, None, 1.704, None,41
None,-4.923,90.7, None, None, None, None, None, None, None, None, None,-6.0,885.0, None, None, None,2019-10-09 03:00:00, None, 1.67, None,41
None,-5.217,90.3, None, None, None, None, None, None, None, None, None,-6.0,885.0, None, None, None,2019-10-09 04:00:00, None, 1.631, None,41
None,-5.451,91.2, None, None, None, None, None, None, None, None, None,-6.0,886.0, None, None, None,2019-10-09 05:00:00, None, 1.517, None,41
None,-5.593,91.9, None, None, None, None, None, None, None, None, None,-7.0,887.0, None, None, None,2019-10-09 06:00:00, None, 1.495, None,41
None,-5.881,91.5, None, None, None, None, None, None, None, None, None,-7.0,887.0, None, None, None,2019-10-09 07:00:00, None, 1.61, None,41
