CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None,5.773,87.0, None, None, None, None, 22.65, None, 13.0, 192.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 00:00:00, None, None,34
None,5.341,88.0, None, None, None, None, 20.48, None, 13.77, 180.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 01:00:00, None, None,34
None,5.341,83.7, None, None, None, None, 13.44, None, 16.3, 181.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 02:00:00, None, None,34
None,5.607,76.99, None, None, None, None, 12.75, None, 14.17, 191.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 03:00:00, None, None,34
None,5.527,76.81, None, None, None, None, 16.52, None, 13.65, 190.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 04:00:00, None, None,34
None,5.687,75.96, None, None, None, None, 23.34, None, 13.33, 202.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 05:00:00, None, None,34
None,5.45,79.97, None, None, None, None, 25.65, None, 10.75, 202.6, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 06:00:00, None, None,34
None,5.478,80.0, None, None, None, None, 26.23, None, 9.21, 195.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 07:00:00, None, None,34
None,6.668,75.37, None, None, None, None, 25.31, None, 12.09, 195.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 08:00:00, None, None,34
None,9.22,66.97, None, None, None, None, 65.98, None, 4.653, 235.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 09:00:00, None, None,34
None,8.55,72.3, None, None, None, None, 61.27, None, 5.294, 263.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 10:00:00, None, None,34
None,9.93,70.11, None, None, None, None, 47.5, None, 6.353, 273.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 11:00:00, None, None,34
None,11.6,66.03, None, None, None, None, 57.01, None, 6.027, 289.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 12:00:00, None, None,34
None,11.54,66.92, None, None, None, None, 26.56, None, 9.52, 315.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 13:00:00, None, None,34
None,13.08,64.42, None, None, None, None, 43.75, None, 7.798, 328.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 14:00:00, None, None,34
None,13.69,57.55, None, None, None, None, 60.96, None, 6.16, 293.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 15:00:00, None, None,34
None,14.37,55.42, None, None, None, None, 32.88, None, 9.57, 321.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 16:00:00, None, None,34
None,14.49,54.12, None, None, None, None, 33.68, None, 9.17, 314.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 17:00:00, None, None,34
None,12.61,63.8, None, None, None, None, 46.18, None, 9.46, 271.3, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 18:00:00, None, None,34
None,12.41,62.55, None, None, None, None, 30.92, None, 12.03, 244.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 19:00:00, None, None,34
None,10.98,70.23, None, None, None, None, 26.1, None, 10.24, 278.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 20:00:00, None, None,34
None,9.75,77.11, None, None, None, None, 27.85, None, 9.32, 268.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 21:00:00, None, None,34
None,9.43,77.91, None, None, None, None, 11.72, None, 13.57, 238.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 22:00:00, None, None,34
None,9.52,76.53, None, None, None, None, 8.57, None, 13.17, 243.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-20 23:00:00, None, None,34
None,9.49,74.36, None, None, None, None, 18.1, None, 11.99, 277.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-21 00:00:00, None, None,34
None,9.33,75.82, None, None, None, None, 7.518, None, 8.46, 315.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-21 01:00:00, None, None,34
None,9.43,75.01, None, None, None, None, 37.53, None, 4.198, 288.0, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-21 02:00:00, None, None,34
None,9.63,58.3, None, None, None, None, 22.56, None, 7.018, 235.1, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-21 03:00:00, None, None,34
None,10.16,57.36, None, None, None, None, 37.36, None, 6.34, 252.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-08-21 04:00:00, None, None,34
