wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,Snow_WE,SNOW_ON_THE_GROUND,MAX_TEMP
105.0, None, None, 0.0, None, 3.1, None, -1.8, None, None, None, 98.0,2022-03-19 00:00:00,12,,,,,,
150.0, 98.0, 2.7, 0.0, -2.1, 6.8, -1.8, -1.5, 351.0, 0.0, 2.0, 99.0,2022-03-19 01:00:00,12,,,,,,
158.0, None, None, 0.0, None, 12.1, None, -1.3, None, None, None, 100.0,2022-03-19 02:00:00,12,,,,,,
146.0, 99.0, 6.8, 0.0, -1.6, 8.8, -1.5, -1.5, 150.0, 0.0, 2.0, 100.0,2022-03-19 03:00:00,12,,,,,,
144.0, 100.0, 12.1, 0.0, -1.3, 6.9, -1.3, -1.6, 158.0, 0.0, 2.0, 100.0,2022-03-19 04:00:00,12,,,,,,
151.0, 100.0, 8.8, 0.0, -1.5, 9.5, -1.5, -1.4, 146.0, 0.0, 2.0, 100.0,2022-03-19 05:00:00,12,,,,,,
158.0, 100.0, 6.9, 0.0, -1.6, 10.3, -1.6, -1.3, 144.0, 0.0, 2.0, 100.0,2022-03-19 06:00:00,12,,,,,,
155.0, 100.0, 9.5, 0.0, -1.4, 9.2, -1.4, -1.0, 151.0, 0.0, 2.0, 100.0,2022-03-19 07:00:00,12,,,,,,
167.0, 100.0, 10.3, 0.0, -1.3, 7.8, -1.3, -0.5, 158.0, 0.0, 2.0, 100.0,2022-03-19 08:00:00,12,,,,,,
169.0, 100.0, 9.2, 0.0, -1.0, 8.1, -1.0, 0.4, 155.0, 0.0, 2.0, 97.0,2022-03-19 09:00:00,12,,,,,,
160.0, 100.0, 7.8, 0.0, -0.5, 9.1, -0.5, 1.2, 167.0, 0.0, 2.0, 93.0,2022-03-19 10:00:00,12,,,,,,
301.0, 97.0, 8.1, 2.0, 0.0, 4.5, 0.4, 0.8, 169.0, 0.0, 1.8, 83.0,2022-03-19 11:00:00,12,,,,,,
256.0, 93.0, 9.1, 2.8, 0.2, 7.7, 1.2, 2.6, 160.0, 0.0, 1.8, 67.0,2022-03-19 12:00:00,12,,,,,,
275.0, 83.0, 4.5, 0.0, -1.8, 11.8, 0.8, 3.9, 301.0, 2.0, 3.8, 50.0,2022-03-19 13:00:00,12,,,,,,
289.0, 67.0, 7.7, 0.0, -2.9, 16.5, 2.6, 2.8, 256.0, 2.8, 6.6, 47.0,2022-03-19 14:00:00,12,,,,,,
269.0, 50.0, 11.8, 0.0, -5.6, 11.9, 3.9, 2.5, 275.0, 0.0, 6.6, 46.0,2022-03-19 15:00:00,12,,,,,,
331.0, 47.0, 16.5, 0.0, -7.4, 18.6, 2.8, -0.7, 289.0, 0.0, 6.6, 53.0,2022-03-19 16:00:00,12,,,,,,
282.0, 46.0, 11.9, 0.0, -7.9, 16.5, 2.5, -2.6, 269.0, 0.0, 5.6, 59.0,2022-03-19 17:00:00,12,,,,,,
292.0, 53.0, 18.6, 0.0, -9.1, 13.9, -0.7, -3.9, 331.0, 0.0, 4.8, 63.0,2022-03-19 18:00:00,12,,,,,,
319.0, 59.0, 16.5, 0.0, -9.5, 13.1, -2.6, -4.5, 282.0, 0.0, 4.8, 66.0,2022-03-19 19:00:00,12,,,,,,
307.0, 63.0, 13.9, 0.0, -9.9, 16.1, -3.9, -4.7, 292.0, 0.0, 4.8, 63.0,2022-03-19 20:00:00,12,,,,,,
304.0, 66.0, 13.1, 0.0, -9.9, 15.7, -4.5, -4.9, 319.0, 0.0, 4.8, 64.0,2022-03-19 21:00:00,12,,,,,,
319.0, 63.0, 16.1, 0.0, -10.7, 17.7, -4.7, -5.0, 307.0, 0.0, 4.8, 65.0,2022-03-19 22:00:00,12,,,,,,
, 64.0, 15.7, None, -10.7, None, -4.9, None, 304.0, 0.0, 4.8, None,2022-03-19 23:00:00,12,,,,,,
320.0, 65.0, 17.7, 0.0, -10.6, 13.8, -5.0, -4.9, 319.0, 0.0, 4.8, 64.0,2022-03-20 00:00:00,12,,,,,,
318.0, 64.0, 16.7, 0.0, -10.8, 12.5, -5.1, -5.5, 315.0, 0.0, 4.8, 68.0,2022-03-20 01:00:00,12,,,,,,
314.0, 64.0, 13.8, 0.0, -10.7, 11.5, -4.9, -5.7, 320.0, 0.0, 4.8, 69.0,2022-03-20 02:00:00,12,,,,,,
