pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None,15.4,15.4, 0.0, None,19.8,91.0,2022-08-20 00:00:00,14.0,34
None,14.5,14.4, 0.0, None,19.8,92.0,2022-08-20 01:00:00,13.0,34
None,13.7,13.7, 0.0, None,19.8,92.0,2022-08-20 02:00:00,12.0,34
None,13.2,13.2, 0.0, None,19.8,92.0,2022-08-20 03:00:00,12.0,34
None,13.0,13.0, 0.0, None,19.8,90.0,2022-08-20 04:00:00,11.0,34
None,12.5,12.5, 0.0, None,19.8,91.0,2022-08-20 05:00:00,11.0,34
None,12.2,12.1, 0.0, None,19.8,91.0,2022-08-20 06:00:00,11.0,34
None,11.8,11.8, 0.0, None,12.2,90.0,2022-08-20 07:00:00,10.0,34
None,12.4,11.8, 0.0, None,12.4,87.0,2022-08-20 08:00:00,10.0,34
None,14.8,11.8, 0.0, None,14.7,79.0,2022-08-20 09:00:00,11.0,34
None,18.4,11.8, 0.0, None,18.2,72.0,2022-08-20 10:00:00,13.0,34
None,21.7,11.8, 0.0, None,21.6,56.0,2022-08-20 11:00:00,14.0,34
None,25.1,11.8, 0.0, None,25.3,46.0,2022-08-20 12:00:00,12.0,34
None,27.7,11.8, 0.0, None,27.9,40.0,2022-08-20 13:00:00,13.0,34
None,26.4,11.8, 0.0, None,28.4,46.0,2022-08-20 15:00:00,14.0,34
None,28.3,11.8, 0.0, None,28.4,37.0,2022-08-20 16:00:00,12.0,34
None,26.9,11.8, 0.0, None,28.5,46.0,2022-08-20 17:00:00,14.0,34
None,18.5,11.8, 8.0, None,28.5,89.0,2022-08-20 18:00:00,17.0,34
None,17.8,17.7, 4.0, None,18.6,98.0,2022-08-20 19:00:00,18.0,34
None,18.0,17.5, 0.0, None,18.6,97.0,2022-08-20 20:00:00,18.0,34
None,17.5,17.3, 0.0, None,18.6,98.0,2022-08-20 21:00:00,17.0,34
None,17.0,16.8, 0.0, None,18.6,98.0,2022-08-20 22:00:00,17.0,34
None,16.7,16.7, 0.2, None,18.6,98.0,2022-08-20 23:00:00,17.0,34
