pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,stn_pres,week_of_year
None, 10.9, 10.0, 1007.5, None, None, 12.2, 96.0,2022-06-04 00:00:00, 10.0, 972.0,23
None, 10.6, 10.0, 1007.6, 0.0, 0.0, 12.2, 92.0,2022-06-04 01:00:00, 9.0, 972.0,23
None, 10.2, 10.0, 1007.6, 0.0, 0.0, 12.2, 93.0,2022-06-04 02:00:00, 9.0, 972.0,23
None, 10.4, 10.0, 1007.6, 0.0, 0.0, 12.2, 96.0,2022-06-04 03:00:00, 10.0, 972.0,23
None, 10.4, 10.0, 1008.6, 0.0, 0.0, 12.2, 96.0,2022-06-04 04:00:00, 10.0, 973.0,23
None, 10.5, 10.0, 1008.5, 0.0, 0.0, 12.2, 96.0,2022-06-04 05:00:00, 10.0, 973.0,23
None, 10.3, 10.0, 1007.5, 0.0, 0.0, 12.2, 96.0,2022-06-04 06:00:00, 10.0, 972.0,23
None, 10.3, 10.2, 1008.6, 0.0, 0.0, 10.4, 96.0,2022-06-04 07:00:00, 10.0, 973.0,23
None, 10.4, 10.2, 1007.6, 0.3, 0.0, 10.5, 98.0,2022-06-04 08:00:00, 10.0, 972.0,23
None, 10.4, 10.2, None, None, None, 10.5, 99.0,2022-06-04 09:00:00, 10.0, None,23
None, 10.4, 10.2, 1007.6, 1.5, 0.0, 10.5, 99.0,2022-06-04 10:00:00, 10.0, 972.0,23
None, 10.3, 10.2, 1007.6, 2.0, 0.0, 10.5, 99.0,2022-06-04 11:00:00, 10.0, 972.0,23
None, 10.7, 10.2, 1007.6, 2.1, 0.0, 10.9, 98.0,2022-06-04 12:00:00, 10.0, 972.0,23
None, 10.8, 10.2, 1007.6, 1.7, 0.0, 10.9, 99.0,2022-06-04 13:00:00, 11.0, 972.0,23
None, 11.3, 10.2, 1007.6, 1.3, 0.0, 11.3, 99.0,2022-06-04 14:00:00, 11.0, 972.0,23
None, 11.4, 10.2, 1006.5, 0.4, 0.0, 11.5, 99.0,2022-06-04 15:00:00, 11.0, 971.0,23
None, 11.3, 10.2, 1006.5, 1.2, 0.0, 11.5, 99.0,2022-06-04 16:00:00, 11.0, 971.0,23
None, 11.3, 10.2, 1006.5, 0.4, 0.0, 11.5, 99.0,2022-06-04 17:00:00, 11.0, 971.0,23
None, 11.4, 10.2, 1005.5, 0.2, 0.0, 11.5, 98.0,2022-06-04 18:00:00, 11.0, 970.0,23
None, 11.6, 11.3, 1005.5, 0.2, 0.0, 11.6, 97.0,2022-06-04 19:00:00, 11.0, 970.0,23
None, 11.7, 11.3, 1004.4, 0.2, 0.0, 11.8, 96.0,2022-06-04 20:00:00, 11.0, 969.0,23
None, 11.8, 11.3, 1003.4, 0.1, 0.0, 11.8, 96.0,2022-06-04 21:00:00, 11.0, 968.0,23
None, 11.9, 11.3, 1003.4, 0.3, 0.0, 11.9, 97.0,2022-06-04 22:00:00, 11.0, 968.0,23
None, 11.7, 11.3, 1003.4, 0.5, 0.0, 11.9, 98.0,2022-06-04 23:00:00, 11.0, 968.0,23
None, 11.9, 11.3, 1002.4, 0.6, 0.0, 11.9, 98.0,2022-06-05 00:00:00, 12.0, 967.0,23
None, 11.9, 11.3, 1002.3, 0.4, 0.0, 12.0, 98.0,2022-06-05 01:00:00, 11.0, 967.0,23
None, 12.1, 11.3, 1002.3, 0.5, 0.0, 12.1, 98.0,2022-06-05 02:00:00, 12.0, 967.0,23
None, 12.3, 11.3, 1001.3, 1.1, 0.0, 12.3, 98.0,2022-06-05 03:00:00, 12.0, 966.0,23
None, 12.1, 11.3, 1001.3, 0.3, 0.0, 12.3, 99.0,2022-06-05 04:00:00, 12.0, 966.0,23
None, 12.1, 11.3, 1001.3, 0.5, 0.0, 12.3, 99.0,2022-06-05 05:00:00, 12.0, 966.0,23
None, 12.1, 11.3, 1001.3, 0.8, 0.0, 12.3, 99.0,2022-06-05 06:00:00, 12.0, 966.0,23
None, 11.8, 11.9, 1001.3, 3.1, 0.0, 12.1, 99.0,2022-06-05 07:00:00, 12.0, 966.0,23
None, 11.9, 11.7, 1001.3, 2.3, 0.0, 12.1, 99.0,2022-06-05 08:00:00, 12.0, 966.0,23
22.2, 12.3, 11.7, 1001.3, 0.6, 0.0, 12.3, 99.0,2022-06-05 09:00:00, 12.0, 966.0,23
