X,Y,Name,CAUSE_GENERAL_KMZ,CURRENTSIZE,FIRENUMBER,FIRETYPE,FIREYEAR,Field_1,LATITUDE,LONGITUDE
-122.874931421496,49.3404558415996,V10006,Human,0.009,V10006,Fire,2015,2015,49.34045,-122.874916
-121.708450169703,49.0984401622351,V10010,Human,0.3,V10010,Fire,2015,2015,49.098434,-121.708435
-121.849647461365,49.3694553562716,V10018,Human,0.7,V10018,Fire,2015,2015,49.36945,-121.849632
-121.903617858617,49.326471350654,V10078,Human,0.3,V10078,Fire,2015,2015,49.326466,-121.903603
-122.01303090464,49.0454044246873,V10081,Lightning,0.1,V10081,Fire,2015,2015,49.045399,-122.013016
-121.962829610223,49.447172150069,V10089,Lightning,0.009,V10089,Fire,2015,2015,49.447166,-121.962814
-122.120330902971,49.7068385485803,V10107,Lightning,0.009,V10107,Fire,2015,2015,49.706833,-122.120316
-122.873680229251,49.371122238024,V10111,Human,0.009,V10111,Fire,2015,2015,49.371117,-122.873665
-121.431480400461,49.7616558250225,V10117,Human,0.009,V10117,Fire,2015,2015,49.76165,-121.431465
-131.929720654347,53.3581206995139,V10123,Human,0.009,V10123,Fire,2015,2015,53.358116,-131.929703
-123.097351270234,49.3704737164356,V10128,Human,0.009,V10128,Fire,2015,2015,49.370468,-123.097336
-121.806465109287,49.5594730747911,V10132,Human,0.009,V10132,Fire,2015,2015,49.559467,-121.80645
-121.604217379881,49.2227725825671,V10136,Human,0.009,V10136,Fire,2015,2015,49.222767,-121.604202
-121.563865577088,49.2471561876675,V10140,Human,2.7,V10140,Fire,2015,2015,49.24715,-121.56385
-121.516098077631,50.0036068320792,V10146,Human,0.1,V10146,Fire,2015,2015,50.003601,-121.516083
-121.516098077631,50.0036068320792,V10151,Human,0.009,V10151,Fire,2015,2015,50.003601,-121.516083
-121.120734999676,49.2338047378746,V10152,Human,0.5,V10152,Fire,2015,2015,49.233799,-121.12072
-122.109451271977,49.2475223252753,V10156,Human,0.009,V10156,Fire,2015,2015,49.247517,-122.109436
-122.243934614114,49.3113384111724,V10157,Human,0.09,V10157,Fire,2015,2015,49.311333,-122.243919
-122.248283411109,49.3098239089284,V10174,Human,0.009,V10174,Fire,2015,2015,49.309818,-122.248268
-122.243850719538,49.3115215088897,V10176,Human,1,V10176,Fire,2015,2015,49.311516,-122.243835
-121.645728976824,49.1824054715761,V10182,Lightning,0.009,V10182,Fire,2015,2015,49.1824,-121.645714
-123.274315099373,49.365354397828,V10208,Human,0.009,V10208,Fire,2015,2015,49.365349,-123.2743
-121.805351145209,49.3126735664704,V10211,Human,0.5,V10211,Fire,2015,2015,49.312668,-121.805336
-132.223940859743,53.7868048603135,V10220,Human,0.25,V10220,Fire,2015,2015,53.7868,-132.223923
-121.766784691932,49.5170230740018,V10226,Human,0.009,V10226,Fire,2015,2015,49.517017,-121.766769
-121.285331593826,49.4406376316794,V10229,Human,0.2,V10229,Fire,2015,2015,49.440632,-121.285316
-121.426765333684,49.4939556114223,V10236,Lightning,0.4,V10236,Fire,2015,2015,49.49395,-121.42675
-122.249565116691,49.3092899103751,V10237,Human,0.3,V10237,Fire,2015,2015,49.309284,-122.24955
-122.245567316743,49.3110217151488,V10243,Human,0.009,V10243,Fire,2015,2015,49.311016,-122.245552
-121.889434923645,49.9154567800962,V10247,Lightning,2985,V10247,Fire,2015,2015,49.915451,-121.88942
-121.901802234193,49.9500560791854,V10248,Lightning,0.1,V10248,Fire,2015,2015,49.95005,-121.901787
-121.254768291574,49.4684391373887,V10267,Human,7.7,V10267,Fire,2015,2015,49.468433,-121.254753
-122.909233211442,49.2823733359783,V10281,Human,0.1,V10281,Fire,2015,2015,49.282368,-122.909218
-122.62506878227,49.3563898704767,V10292,Human,0.009,V10292,Fire,2015,2015,49.356384,-122.625053
-121.491348234125,49.5031719057094,V10296,Human,0.1,V10296,Fire,2015,2015,49.503166,-121.491333
-132.151568192012,53.382405068596,V10301,Human,0.009,V10301,Fire,2015,2015,53.382401,-132.15155
-121.496215873544,49.9770375272488,V10307,Human,0.2,V10307,Fire,2015,2015,49.977032,-121.496201
-121.82174680963,49.5769214710426,V10308,Human,0.009,V10308,Fire,2015,2015,49.576916,-121.821732
-122.017845241465,49.9231738689694,V10317,Lightning,0.009,V10317,Fire,2015,2015,49.923168,-122.01783
-122.243751509314,49.3116206140601,V10319,Human,0.009,V10319,Fire,2015,2015,49.311615,-122.243736
