WDIR_VECT,time,TEMP_MEAN,HUMIDITY,week_of_year
256.9,2019-12-17 00:00:00,4.2,99.1,51
185.3,2019-12-17 01:00:00,4.5,99.9,51
102.3,2019-12-17 02:00:00,4.9,99.5,51
93.8,2019-12-17 03:00:00,4.8,99.5,51
135.9,2019-12-17 04:00:00,4.8,99.1,51
150.8,2019-12-17 05:00:00,4.5,99.1,51
191.6,2019-12-17 06:00:00,4.7,99.1,51
128.3,2019-12-17 07:00:00,5.1,99.7,51
82.2,2019-12-17 08:00:00,5.0,99.4,51
17.4,2019-12-17 09:00:00,5.0,100.0,51
66.2,2019-12-17 10:00:00,5.3,100.0,51
67.3,2019-12-17 11:00:00,5.7,99.7,51
328.7,2019-12-17 12:00:00,6.1,99.7,51
304.4,2019-12-17 13:00:00,6.9,99.5,51
218.8,2019-12-17 14:00:00,7.1,99.2,51
304.9,2019-12-17 15:00:00,7.2,94.4,51
315.7,2019-12-17 16:00:00,7.0,100.0,51
277.7,2019-12-17 17:00:00,6.7,99.7,51
207.5,2019-12-17 18:00:00,6.7,94.7,51
236.0,2019-12-17 19:00:00,6.5,95.4,51
236.6,2019-12-17 20:00:00,6.5,91.7,51
306.2,2019-12-17 21:00:00,6.9,98.6,51
189.7,2019-12-17 22:00:00,6.4,100.0,51
117.6,2019-12-17 23:00:00,6.2,99.9,51
217.2,2019-12-18 00:00:00,6.0,99.7,51
135.4,2019-12-18 01:00:00,5.7,99.9,51
133.7,2019-12-18 02:00:00,5.6,100.0,51
115.4,2019-12-18 03:00:00,5.4,100.0,51
290.5,2019-12-18 04:00:00,5.6,94.4,51
188.2,2019-12-18 05:00:00,5.6,98.8,51
133.5,2019-12-18 06:00:00,5.6,98.9,51
150.4,2019-12-18 07:00:00,5.8,96.9,51
132.8,2019-12-18 08:00:00,6.2,96.6,51
4.9,2019-12-18 09:00:00,6.3,94.9,51
117.3,2019-12-18 10:00:00,7.1,84.7,51
294.2,2019-12-18 11:00:00,7.0,90.3,51
354.7,2019-12-18 12:00:00,6.8,92.6,51
121.1,2019-12-18 13:00:00,7.3,88.0,51
124.7,2019-12-18 14:00:00,7.1,86.6,51
143.2,2019-12-18 15:00:00,6.9,89.5,51
320.8,2019-12-18 16:00:00,6.4,93.7,51
117.8,2019-12-18 17:00:00,5.8,91.6,51
137.8,2019-12-18 18:00:00,5.8,88.8,51
127.5,2019-12-18 19:00:00,5.9,87.7,51
131.7,2019-12-18 20:00:00,6.1,89.3,51
142.9,2019-12-18 21:00:00,6.0,91.2,51
131.1,2019-12-18 22:00:00,5.6,92.8,51
145.7,2019-12-18 23:00:00,4.8,93.6,51
48.9,2019-12-19 00:00:00,3.9,90.6,51
308.6,2019-12-19 01:00:00,3.6,95.6,51
293.6,2019-12-19 02:00:00,3.7,99.2,51
260.5,2019-12-19 03:00:00,3.7,99.1,51
294.1,2019-12-19 04:00:00,4.0,98.6,51
169.4,2019-12-19 05:00:00,4.1,99.5,51
223.6,2019-12-19 06:00:00,4.2,99.1,51
4.5,2019-12-19 07:00:00,4.3,99.1,51
92.3,2019-12-19 08:00:00,4.3,99.1,51
324.5,2019-12-19 09:00:00,4.5,98.1,51
339.1,2019-12-19 10:00:00,4.6,99.4,51
328.1,2019-12-19 11:00:00,5.3,100.0,51
29.0,2019-12-19 12:00:00,5.5,100.0,51
120.9,2019-12-19 13:00:00,6.3,85.7,51
127.9,2019-12-19 14:00:00,6.8,88.1,51
104.3,2019-12-19 15:00:00,6.3,86.1,51
112.5,2019-12-19 16:00:00,5.8,95.3,51
102.5,2019-12-19 17:00:00,4.5,93.4,51
115.7,2019-12-19 18:00:00,4.1,90.5,51
118.5,2019-12-19 19:00:00,5.0,97.3,51
141.5,2019-12-19 20:00:00,5.6,93.6,51
131.6,2019-12-19 21:00:00,5.8,93.1,51
3.6,2019-12-19 22:00:00,6.1,94.6,51
115.1,2019-12-19 23:00:00,6.3,98.7,51
103.5,2019-12-20 00:00:00,6.6,99.7,51
11.3,2019-12-20 01:00:00,6.5,100.0,51
20.5,2019-12-20 02:00:00,6.3,100.0,51
279.3,2019-12-20 03:00:00,6.4,100.0,51
114.0,2019-12-20 04:00:00,6.7,100.0,51
126.1,2019-12-20 05:00:00,6.9,99.7,51
107.3,2019-12-20 06:00:00,7.2,100.0,51
104.7,2019-12-20 07:00:00,7.1,100.0,51
103.9,2019-12-20 08:00:00,7.2,99.8,51
95.9,2019-12-20 09:00:00,7.2,99.7,51
88.8,2019-12-20 10:00:00,7.2,99.7,51
116.3,2019-12-20 11:00:00,7.3,100.0,51
94.5,2019-12-20 12:00:00,7.2,100.0,51
104.7,2019-12-20 13:00:00,7.3,97.9,51
121.0,2019-12-20 14:00:00,7.1,95.9,51
108.7,2019-12-20 15:00:00,6.9,97.9,51
90.7,2019-12-20 16:00:00,6.4,96.3,51
101.4,2019-12-20 17:00:00,6.1,98.6,51
