WDIR_VECT,BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, 1009.0, -4.9, None, 92.4, 92.4,2019-12-17 00:00:00, -4.906,51
None, 1008.0, -4.7, None, 92.5, 92.5,2019-12-17 01:00:00, -4.739,51
None, 1007.0, -3.8, None, 92.8, 92.8,2019-12-17 02:00:00, -3.769,51
None, 1007.0, -4.1, None, 92.7, 92.7,2019-12-17 03:00:00, -4.146,51
None, 1006.0, -4.0, None, 92.8, 92.8,2019-12-17 04:00:00, -4.046,51
None, 1004.0, -3.8, None, 93.2, 93.2,2019-12-17 05:00:00, -3.764,51
None, 1003.0, -3.0, None, 93.5, 93.5,2019-12-17 06:00:00, -3.008,51
None, 1002.0, -2.8, None, 93.7, 93.7,2019-12-17 07:00:00, -2.787,51
None, 1001.0, -2.3, None, 94.0, 94.0,2019-12-17 08:00:00, -2.317,51
None, 1000.0, -2.2, None, 94.2, 94.2,2019-12-17 09:00:00, -2.204,51
None, 1001.0, -1.6, None, 94.3, 94.3,2019-12-17 10:00:00, -1.609,51
210.3, 1001.0, -0.4, 2.195, 94.6, 94.6,2019-12-17 11:00:00, -0.352999,51
223.8, 1009.0, 1.4, 5.639, 92.3, 92.3,2019-12-17 12:00:00, 1.428,51
241.5, 1008.0, 1.7, 6.414, 81.3, 81.3,2019-12-17 13:00:00, 1.694,51
226.7, 1009.0, 1.9, 7.052, 73.4, 73.37,2019-12-17 14:00:00, 1.866,51
230.5, 1006.0, 1.9, 6.718, 71.2, 71.15,2019-12-17 15:00:00, 1.914,51
242.1, 1004.0, 1.4, 5.227, 76.3, 76.31,2019-12-17 16:00:00, 1.415,51
239.5, 1003.0, 0.8, 4.318, 70.5, 70.47,2019-12-17 17:00:00, 0.842,51
299.0, 999.0, 0.4, 1.773, 76.0, 76.01,2019-12-17 18:00:00, 0.400999,51
232.8, 1000.0, 0.4, 3.479, 68.9, 68.94,2019-12-17 19:00:00, 0.407999,51
251.5, 999.0, 0.4, 2.958, 68.4, 68.4,2019-12-17 20:00:00, 0.367,51
212.9, 998.0, 0.0, 2.203, 71.5, 71.5,2019-12-17 21:00:00, -0.008999,51
191.8, 1005.0, -0.2, 1.971, 64.6, 64.58,2019-12-17 22:00:00, -0.15,51
182.5, 1005.0, 0.1, 0.948, 62.9, 62.91,2019-12-17 23:00:00, 0.123998,51
93.3, 1004.0, -0.8, 2.074, 85.5, 85.5,2019-12-18 00:00:00, -0.801998,51
73.1, 1004.0, -1.9, 2.551, 79.9, 79.86,2019-12-18 01:00:00, -1.859,51
97.6, 1003.0, -1.3, 3.079, 70.6, 70.64,2019-12-18 02:00:00, -1.345,51
68.5, 1003.0, -1.8, 2.88, 90.8, 90.8,2019-12-18 03:00:00, -1.835,51
65.5, 1003.0, -2.9, 2.83, 94.2, 94.2,2019-12-18 04:00:00, -2.873,51
63.3, 1002.0, -2.6, 2.286, 94.2, 94.2,2019-12-18 05:00:00, -2.62,51
62.6, 1001.0, -2.6, 3.374, 94.2, 94.2,2019-12-18 06:00:00, -2.644,51
64.4, 1000.0, -2.6, 3.448, 94.2, 94.2,2019-12-18 07:00:00, -2.625,51
69.1, 1000.0, -2.5, 2.332, 94.2, 94.2,2019-12-18 08:00:00, -2.468,51
61.6, 1000.0, -2.2, 2.579, 94.4, 94.4,2019-12-18 09:00:00, -2.182,51
61.6, 1000.0, -2.0, 2.52, 94.4, 94.4,2019-12-18 10:00:00, -1.994,51
45.4, 1000.0, -1.9, 2.455, 94.2, 94.2,2019-12-18 11:00:00, -1.898,51
57.2, 999.0, -1.6, 2.789, 94.1, 94.1,2019-12-18 12:00:00, -1.636,51
62.8, 998.0, -1.4, 3.275, 94.3, 94.3,2019-12-18 13:00:00, -1.406,51
56.3, 998.0, -1.5, 3.336, 94.5, 94.5,2019-12-18 14:00:00, -1.491,51
54.8, 998.0, -1.5, 3.29, 94.8, 94.8,2019-12-18 15:00:00, -1.484,51
66.9, 997.0, -1.6, 4.266, 94.9, 94.9,2019-12-18 16:00:00, -1.552,51
60.2, 997.0, -1.5, 4.477, 95.0, 95.0,2019-12-18 17:00:00, -1.459,51
67.1, 997.0, -1.4, 3.284, 95.0, 95.0,2019-12-18 18:00:00, -1.38,51
59.9, 996.0, -1.4, 3.591, 95.1, 95.1,2019-12-18 19:00:00, -1.423,51
64.5, 996.0, -1.6, 3.616, 95.0, 95.0,2019-12-18 20:00:00, -1.635,51
67.5, 996.0, -1.8, 3.413, 94.9, 94.9,2019-12-18 21:00:00, -1.845,51
67.6, 996.0, -2.2, 2.846, 94.6, 94.6,2019-12-18 22:00:00, -2.226,51
69.4, 996.0, -2.5, 2.812, 94.4, 94.4,2019-12-18 23:00:00, -2.461,51
61.0, 996.0, -2.5, 2.558, 94.3, 94.3,2019-12-19 00:00:00, -2.523,51
44.0, 996.0, -2.7, 1.658, 94.1, 94.1,2019-12-19 01:00:00, -2.691,51
61.9, 997.0, -2.7, 1.127, 94.1, 94.1,2019-12-19 02:00:00, -2.742,51
207.3, 997.0, -2.2, 2.245, 91.5, 91.5,2019-12-19 03:00:00, -2.232,51
215.3, 997.0, -2.3, 2.741, 90.8, 90.8,2019-12-19 04:00:00, -2.293,51
210.5, 997.0, -2.3, 2.847, 90.2, 90.2,2019-12-19 05:00:00, -2.3,51
211.1, 997.0, -2.4, 2.224, 88.6, 88.6,2019-12-19 06:00:00, -2.374,51
164.8, 998.0, -2.7, 1.734, 92.4, 92.4,2019-12-19 07:00:00, -2.684,51
144.8, 998.0, -2.6, 1.467, 90.8, 90.8,2019-12-19 08:00:00, -2.573,51
191.5, 999.0, -2.4, 1.132, 91.8, 91.8,2019-12-19 09:00:00, -2.352,51
103.2, 999.0, -2.8, 1.361, 90.0, 90.0,2019-12-19 10:00:00, -2.771,51
79.4, 999.0, -3.3, 2.838, 89.8, 89.8,2019-12-19 11:00:00, -3.34,51
88.3, 999.0, -3.9, 3.081, 90.5, 90.5,2019-12-19 12:00:00, -3.888,51
77.7, 999.0, -4.1, 3.468, 90.9, 90.9,2019-12-19 13:00:00, -4.118,51
70.4, 998.0, -4.3, 3.393, 89.4, 89.4,2019-12-19 14:00:00, -4.27,51
61.6, 998.0, -4.1, 3.265, 90.8, 90.8,2019-12-19 15:00:00, -4.133,51
54.9, 998.0, -4.9, 3.462, 92.7, 92.7,2019-12-19 16:00:00, -4.88,51
