AirTemperature,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
3.6,0.0,5.0, None,2016-03-04 00:00:00,248.0,100.0,10
4.0,0.0,2.0, None,2016-03-04 00:15:00,80.0,100.0,10
3.7,0.0,3.8, None,2016-03-04 00:30:00,252.0,100.0,10
3.4,0.0,4.4, None,2016-03-04 00:45:00,253.0,100.0,10
3.6,0.0,3.9, None,2016-03-04 01:00:00,270.0,100.0,10
3.8,0.0,5.3, None,2016-03-04 01:15:00,287.0,100.0,10
3.9,0.0,2.1, None,2016-03-04 01:30:00,244.0,100.0,10
3.7,0.0,5.7, None,2016-03-04 01:45:00,270.0,100.0,10
3.8,0.0,4.4, None,2016-03-04 02:00:00,167.0,100.0,10
4.1,0.0,4.1, None,2016-03-04 02:15:00,268.0,100.0,10
4.2,0.0,3.2, None,2016-03-04 02:30:00,246.0,100.0,10
3.9,0.0,4.8, None,2016-03-04 02:45:00,280.0,100.0,10
4.1,0.0,4.8, None,2016-03-04 03:00:00,280.0,100.0,10
4.3,0.0,5.3, None,2016-03-04 03:15:00,275.0,100.0,10
3.9,0.0,4.1, None,2016-03-04 03:30:00,115.0,100.0,10
4.1,0.0,4.5, None,2016-03-04 03:45:00,266.0,100.0,10
3.9,0.0,7.1, None,2016-03-04 04:00:00,285.0,100.0,10
3.9,0.0,5.3, None,2016-03-04 04:15:00,281.0,100.0,10
3.9,0.0,7.3, None,2016-03-04 04:30:00,279.0,100.0,10
3.8,0.0,6.2, None,2016-03-04 04:45:00,271.0,100.0,10
4.0,0.0,6.2, None,2016-03-04 05:00:00,269.0,100.0,10
4.0,0.0,3.8, None,2016-03-04 05:15:00,293.0,100.0,10
4.2,0.0,6.3, None,2016-03-04 05:30:00,282.0,100.0,10
4.3,0.0,4.0, None,2016-03-04 05:45:00,264.0,100.0,10
4.0,0.0,4.7, None,2016-03-04 06:00:00,272.0,100.0,10
4.3,0.0,3.5, None,2016-03-04 06:15:00,254.0,100.0,10
4.6,0.0,1.7, None,2016-03-04 06:30:00,111.0,100.0,10
4.8,0.0,2.8, None,2016-03-04 06:45:00,156.0,100.0,10
4.7,0.0,3.7, None,2016-03-04 07:00:00,221.0,100.0,10
5.5,0.26,4.9, None,2016-03-04 07:15:00,212.0,100.0,10
6.0,0.0,6.0, None,2016-03-04 07:30:00,214.0,100.0,10
6.3,0.0,3.1, None,2016-03-04 07:45:00,125.0,100.0,10
5.9,0.0,3.0, None,2016-03-04 08:00:00,309.0,100.0,10
6.1,0.0,4.7, None,2016-03-04 08:15:00,99.0,100.0,10
6.4,0.0,3.5, None,2016-03-04 08:30:00,262.0,100.0,10
6.5,0.0,2.5, None,2016-03-04 08:45:00,285.0,100.0,10
6.5,0.0,2.0, None,2016-03-04 09:00:00,215.0,100.0,10
6.4,0.25,1.2, None,2016-03-04 09:15:00,246.0,100.0,10
6.5,0.51,2.1, None,2016-03-04 09:30:00,311.0,100.0,10
6.5,0.0,3.6, None,2016-03-04 09:45:00,273.0,100.0,10
6.6,0.51,1.3, None,2016-03-04 10:00:00,174.0,100.0,10
6.8,0.25,0.1, None,2016-03-04 10:15:00,247.0,100.0,10
7.1,0.25,1.1, None,2016-03-04 10:30:00,99.0,100.0,10
7.6,0.26,0.3, None,2016-03-04 10:45:00,332.0,100.0,10
7.7,0.25,4.0, None,2016-03-04 11:00:00,294.0,100.0,10
7.6,0.26,2.8, None,2016-03-04 11:15:00,129.0,100.0,10
7.2,0.0,0.7, None,2016-03-04 11:30:00,340.0,100.0,10
7.3,0.0,2.6, None,2016-03-04 11:45:00,113.0,100.0,10
7.2,0.25,4.0, None,2016-03-04 12:00:00,277.0,100.0,10
7.7,0.25,3.8, None,2016-03-04 12:15:00,249.0,100.0,10
