RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
None, None, None, 24.2, 14.94, 68.18, -47.0, 10.7, None, None, 68.0, None, None, -6999.0, None, None, None, None, 11.1, None, 13.6, -6999.0, None, 11.39, 14.9, 11.1, 0.1, -6999.0,2020-09-23 00:00:00, -6999.0,39
None, None, None, 20.5, 11.45, 66.18, -47.0, 10.2, None, None, 66.0, None, None, -6999.0, None, None, None, None, 10.21, None, 13.6, -6999.0, None, 11.76, 11.5, 10.2, -0.1, -6999.0,2020-09-23 01:00:00, -6999.0,39
None, None, None, 17.6, 10.98, 67.97, -47.0, 10.0, None, None, 68.0, None, None, -6999.0, None, None, None, None, 9.99, None, 13.6, -6999.0, None, 11.93, 11.0, 10.0, 0.0, -6999.0,2020-09-23 02:00:00, -6999.0,39
None, None, None, 19.6, 10.88, 66.35, -47.0, 10.0, None, None, 66.0, None, None, -6999.0, None, None, None, None, 10.49, None, 13.6, -6999.0, None, 13.53, 10.9, 10.5, -0.1, -6999.0,2020-09-23 03:00:00, -6999.0,39
None, None, None, 19.6, 7.17, 88.5, -48.0, 8.9, None, None, 89.0, None, None, -6999.0, None, None, None, None, 8.93, None, 13.6, -6999.0, None, 31.35, 7.2, 8.9, 0.5, -6999.0,2020-09-23 04:00:00, -6999.0,39
None, None, None, 21.5, 10.53, 69.79, -48.0, 8.9, None, None, 70.0, None, None, -6999.0, None, None, None, None, 9.22, None, 13.6, -6999.0, None, 17.89, 10.5, 9.2, 0.0, -6999.0,2020-09-23 05:00:00, -6999.0,39
None, None, None, 23.0, 11.06, 64.28, -47.0, 8.9, None, None, 64.0, None, None, -6999.0, None, None, None, None, 9.64, None, 13.6, -6999.0, None, 17.01, 11.1, 9.6, -0.2, -6999.0,2020-09-23 06:00:00, -6999.0,39
None, None, None, 18.0, None, None, -47.0, 9.6, None, None, 71.0, None, None, -6999.0, None, None, None, None, None, None, 10.1, -6999.0, None, None, 10.1, 10.1, 0.0, -6999.0,2020-09-23 07:00:00, -6999.0,39
None, None, None, 17.8, 7.79, 72.1, -47.0, 9.6, None, None, 72.0, None, None, -6999.0, None, None, None, None, 10.49, None, 10.5, -6999.0, None, 27.39, 7.8, 10.5, 0.0, -6999.0,2020-09-23 08:00:00, -6999.0,39
None, None, None, 12.5, 0.862, 177.4, -48.0, 9.1, None, None, 177.0, None, None, -6999.0, None, None, None, None, 9.1, None, 10.5, -6999.0, None, 71.0, 0.9, 9.1, 0.8, -6999.0,2020-09-23 09:00:00, -6999.0,39
None, None, None, 13.5, 5.332, 86.6, -48.0, 8.9, None, None, 87.0, None, None, -6999.0, None, None, None, None, 8.93, None, 10.5, -6999.0, None, 22.5, 5.3, 8.9, 0.5, -6999.0,2020-09-23 10:00:00, -6999.0,39
None, None, None, 24.6, 11.05, 78.7, -48.0, 8.9, None, None, 79.0, None, None, -6999.0, None, None, None, None, 8.95, None, 10.5, -6999.0, None, 18.53, 11.1, 9.0, 0.2, -6999.0,2020-09-23 11:00:00, -6999.0,39
None, None, None, 33.3, 17.12, 63.69, -48.0, 8.9, None, None, 64.0, None, None, -6999.0, None, None, None, None, 9.29, None, 10.5, -6999.0, None, 13.76, 17.1, 9.3, 0.0, -6999.0,2020-09-23 12:00:00, -6999.0,39
None, None, None, 37.5, 24.77, 56.28, -47.0, 8.9, None, None, 56.0, None, None, -6999.0, None, None, None, None, 9.52, None, 10.5, -6999.0, None, 10.1, 24.8, 9.5, -0.1, -6999.0,2020-09-23 13:00:00, -6999.0,39
None, None, None, 30.6, 17.25, 68.18, -48.0, 8.9, None, None, 68.0, None, None, -6999.0, None, None, None, None, 9.3, None, 10.5, -6999.0, None, 15.9, 17.3, 9.3, 0.1, -6999.0,2020-09-23 14:00:00, -6999.0,39
None, None, None, 30.2, 13.56, 68.35, -48.0, 8.9, None, None, 68.0, None, None, -6999.0, None, None, None, None, 8.91, None, 10.5, -6999.0, None, 15.08, 13.6, 8.9, 1.0, -6999.0,2020-09-23 15:00:00, -6999.0,39
None, None, None, 31.5, 18.54, 57.39, -48.0, 8.8, None, None, 57.0, None, None, -6999.0, None, None, None, None, 8.83, None, 10.5, -6999.0, None, 13.1, 18.5, 8.8, 0.3, -6999.0,2020-09-23 16:00:00, -6999.0,39
None, None, None, 25.0, 12.1, 65.98, -48.0, 8.7, None, None, 66.0, None, None, -6999.0, None, None, None, None, 8.72, None, 10.5, -6999.0, None, 15.13, 12.1, 8.7, 1.3, -6999.0,2020-09-23 17:00:00, -6999.0,39
None, None, None, 23.0, 10.97, 63.15, -48.0, 8.5, None, None, 63.0, None, None, -6999.0, None, None, None, None, 8.49, None, 10.5, -6999.0, None, 13.89, 11.0, 8.5, 2.2, -6999.0,2020-09-23 18:00:00, -6999.0,39
None, None, None, 31.8, 16.55, 60.99, -48.0, 8.0, None, None, 61.0, None, None, -6999.0, None, None, None, None, 7.97, None, 8.5, -6999.0, None, 13.3, 16.6, 8.0, 1.3, -6999.0,2020-09-23 19:00:00, -6999.0,39
None, None, None, 37.7, 21.64, 57.46, -48.0, 7.8, None, None, 57.0, None, None, -6999.0, None, None, None, None, 7.83, None, 8.5, -6999.0, None, 11.3, 21.6, 7.8, 0.3, -6999.0,2020-09-23 20:00:00, -6999.0,39
None, None, None, 26.3, 13.16, 65.62, -48.0, 7.8, None, None, 66.0, None, None, -6999.0, None, None, None, None, 7.84, None, 8.5, -6999.0, None, 15.8, 13.2, 7.8, 0.1, -6999.0,2020-09-23 21:00:00, -6999.0,39
None, None, None, 30.6, 13.76, 69.72, -48.0, 7.8, None, None, 70.0, None, None, -6999.0, None, None, None, None, 7.85, None, 8.5, -6999.0, None, 19.0, 13.8, 7.9, 0.3, -6999.0,2020-09-23 22:00:00, -6999.0,39
None, None, None, 23.2, 4.04, 67.09, -48.0, 7.8, None, None, 67.0, None, None, -6999.0, None, None, None, None, 8.15, None, 8.5, -6999.0, None, 48.82, 4.0, 8.2, 0.9, -6999.0,2020-09-23 23:00:00, -6999.0,39
None, None, None, 11.9, 0.4, 133.1, -48.0, 7.8, None, None, 133.0, None, None, -6999.0, None, None, None, None, 8.28, None, 8.5, -6999.0, None, 74.9, 0.4, 8.3, 1.5, -6999.0,2020-09-24 00:00:00, -6999.0,39
None, None, None, 40.3, 5.836, 213.6, -49.0, 7.5, None, None, 214.0, None, None, -6999.0, None, None, None, None, 7.63, None, 8.5, -6999.0, None, 45.1, 5.8, 7.6, 4.0, -6999.0,2020-09-24 01:00:00, -6999.0,39
None, None, None, 23.0, 4.559, 181.0, -49.0, 7.0, None, None, 181.0, None, None, -6999.0, None, None, None, None, 7.01, None, 8.5, -6999.0, None, 51.7, 4.6, 7.0, 0.6, -6999.0,2020-09-24 02:00:00, -6999.0,39
None, None, None, 20.9, 2.033, 98.8, -49.0, 6.4, None, None, 99.0, None, None, -6999.0, None, None, None, None, 6.451, None, 8.5, -6999.0, None, 68.02, 2.0, 6.5, 0.0, -6999.0,2020-09-24 03:00:00, -6999.0,39
