wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,relative_humidity,time,snw_dpth,week_of_year
114.0, None, None,0.0, None,0.0, None,7.3, None, None,99.0,2018-04-30 00:00:00, None,18
144.0, None, None,0.0, None,0.0, None,7.3, None, None,99.0,2018-04-30 01:00:00, None,18
86.0, None, None,0.4, None,0.0, None,7.4, None, None,100.0,2018-04-30 02:00:00, None,18
152.0, None, None,0.2, None,0.0, None,7.2, None, None,100.0,2018-04-30 03:00:00, None,18
139.0, None, None,0.4, None,0.0, None,7.2, None, None,100.0,2018-04-30 04:00:00, None,18
164.0, None, None,0.2, None,0.0, None,7.0, None, None,100.0,2018-04-30 05:00:00, None,18
153.0, None, None,0.0, None,0.0, None,7.3, None, None,100.0,2018-04-30 06:00:00, None,18
19.0, None, None,0.0, None,2.1, None,7.6, None, None,100.0,2018-04-30 07:00:00, None,18
311.0, None, None,0.0, None,2.2, None,8.3, None, None,100.0,2018-04-30 08:00:00, None,18
245.0, None, None,0.0, None,3.1, None,10.1, None, None,95.0,2018-04-30 09:00:00, None,18
247.0, None, None,0.0, None,3.6, None,11.9, None, None,76.0,2018-04-30 10:00:00, None,18
269.0, None, None,0.0, None,3.5, None,12.2, None, None,82.0,2018-04-30 11:00:00, None,18
196.0, None, None,0.0, None,3.1, None,12.9, None, None,72.0,2018-04-30 12:00:00, None,18
256.0, None, None,0.0, None,5.4, None,14.2, None, None,65.0,2018-04-30 13:00:00, None,18
262.0, None, None,0.0, None,5.0, None,14.4, None, None,68.0,2018-04-30 14:00:00, None,18
258.0, None, None,0.0, None,3.7, None,14.0, None, None,64.0,2018-04-30 15:00:00, None,18
336.0, None, None,0.0, None,4.0, None,14.5, None, None,63.0,2018-04-30 16:00:00, None,18
352.0, None, None,0.0, None,3.5, None,13.6, None, None,69.0,2018-04-30 17:00:00, None,18
60.0, None, None,0.0, None,1.6, None,13.2, None, None,76.0,2018-04-30 18:00:00, None,18
116.0, None, None,0.0, None,4.4, None,10.7, None, None,88.0,2018-04-30 19:00:00, None,18
101.0, None, None,0.0, None,4.6, None,8.5, None, None,94.0,2018-04-30 20:00:00, None,18
104.0, None, None,0.0, None,3.8, None,7.3, None, None,96.0,2018-04-30 21:00:00, None,18
153.0, None, None,0.0, None,4.5, None,6.8, None, None,98.0,2018-04-30 22:00:00, None,18
138.0, None, None,0.0, None,2.9, None,7.1, None, None,98.0,2018-04-30 23:00:00, None,18
109.0, None, None,0.0, None,3.0, None,7.0, None, None,99.0,2018-05-01 00:00:00, None,18
149.0, None, None,0.0, None,4.9, None,6.2, None, None,98.0,2018-05-01 01:00:00, None,18
108.0, None, None,0.0, None,3.6, None,5.2, None, None,98.0,2018-05-01 02:00:00, None,18
115.0, None, None,0.0, None,4.0, None,4.2, None, None,99.0,2018-05-01 03:00:00, None,18
97.0, None, None,0.0, None,3.4, None,3.9, None, None,100.0,2018-05-01 04:00:00, None,18
127.0, None, None,0.0, None,2.3, None,4.3, None, None,100.0,2018-05-01 05:00:00, None,18
106.0, None, None,0.0, None,3.6, None,3.9, None, None,100.0,2018-05-01 06:00:00, None,18
89.0, None, None,0.0, None,3.4, None,4.5, None, None,100.0,2018-05-01 07:00:00, None,18
102.0, None, None,0.0, None,3.7, None,5.2, None, None,100.0,2018-05-01 08:00:00, None,18
84.0, None, None,0.0, None,4.4, None,8.0, None, None,95.0,2018-05-01 09:00:00, None,18
238.0, None, None,0.0, None,6.1, None,13.4, None, None,64.0,2018-05-01 10:00:00, None,18
239.0, None, None,0.0, None,8.1, None,16.1, None, None,59.0,2018-05-01 11:00:00, None,18
214.0, None, None,0.0, None,9.4, None,17.2, None, None,52.0,2018-05-01 12:00:00, None,18
212.0, None, None,0.0, None,12.8, None,17.2, None, None,52.0,2018-05-01 13:00:00, None,18
223.0, None, None,0.0, None,12.0, None,17.7, None, None,51.0,2018-05-01 14:00:00, None,18
210.0, None, None,0.0, None,11.8, None,18.2, None, None,47.0,2018-05-01 15:00:00, None,18
198.0, None, None,0.0, None,10.9, None,17.3, None, None,48.0,2018-05-01 16:00:00, None,18
192.0, None, None,0.0, None,7.9, None,16.6, None, None,50.0,2018-05-01 17:00:00, None,18
188.0, None, None,0.0, None,6.8, None,15.0, None, None,55.0,2018-05-01 18:00:00, None,18
112.0, None, None,0.0, None,4.5, None,11.1, None, None,82.0,2018-05-01 19:00:00, None,18
122.0, None, None,0.0, None,4.3, None,9.2, None, None,90.0,2018-05-01 20:00:00, None,18
130.0, None, None,0.0, None,3.9, None,7.7, None, None,95.0,2018-05-01 21:00:00, None,18
122.0, None, None,0.0, None,4.2, None,7.0, None, None,97.0,2018-05-01 22:00:00, None,18
150.0, None, None,0.0, None,4.4, None,6.5, None, None,98.0,2018-05-01 23:00:00, None,18
