station_observations
WDIR_VECT, BAR_PRESS, TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, None, 1.261, None, 89.4, 2016-01-01 00:00:00, -13.51
None, None, None, 1.424, None, 87.6, 2016-01-01 01:00:00, -13.51
None, None, None, 1.454, None, 85.3, 2016-01-01 02:00:00, -13.33
None, None, None, 1.621, None, 85.0, 2016-01-01 03:00:00, -13.35
None, None, None, 2.093, None, 84.4, 2016-01-01 04:00:00, -13.46
None, None, None, 1.721, None, 83.9, 2016-01-01 05:00:00, -13.48
None, None, None, 1.979, None, 84.0, 2016-01-01 06:00:00, -13.6
None, None, None, 1.706, None, 83.7, 2016-01-01 07:00:00, -13.69
None, None, None, 1.585, None, 83.2, 2016-01-01 08:00:00, -13.97
None, None, None, 1.341, None, 82.9, 2016-01-01 09:00:00, -13.97
None, None, None, 1.448, None, 80.3, 2016-01-01 10:00:00, -13.61
None, None, None, 1.87, None, 77.9, 2016-01-01 11:00:00, -13.24
None, None, None, 1.059, None, 76.5, 2016-01-01 12:00:00, -12.43
None, None, None, 1.119, None, 70.4, 2016-01-01 13:00:00, -10.51
None, None, None, 1.01, None, 65.15, 2016-01-01 14:00:00, -9.02
None, None, None, 0.455, None, 68.18, 2016-01-01 15:00:00, -9.79
None, None, None, 0.621999, None, 84.4, 2016-01-01 16:00:00, -13.75
None, None, None, 0.541, None, 89.4, 2016-01-01 17:00:00, -15.65
None, None, None, 0.690998, None, 92.0, 2016-01-01 18:00:00, -16.47
None, None, None, 0.718999, None, 90.4, 2016-01-01 19:00:00, -17.12
None, None, None, 0.949998, None, 90.1, 2016-01-01 20:00:00, -18.31
None, None, None, 0.472999, None, 89.5, 2016-01-01 21:00:00, -18.61
None, None, None, 0.56, None, 87.2, 2016-01-01 22:00:00, -19.62
None, None, None, 0.725, None, 86.9, 2016-01-01 23:00:00, -20.34
None, None, None, 0.61, None, 86.9, 2016-01-02 00:00:00, -20.67
None, None, None, 0.363, None, 86.8, 2016-01-02 01:00:00, -20.59
None, None, None, 0.712, None, 86.0, 2016-01-02 02:00:00, -21.25
None, None, None, 0.514998, None, 85.7, 2016-01-02 03:00:00, -21.88
None, None, None, 0.294999, None, 85.5, 2016-01-02 04:00:00, -22.16
None, None, None, 0.528998, None, 84.6, 2016-01-02 05:00:00, -22.56
None, None, None, 0.646, None, 84.2, 2016-01-02 06:00:00, -22.9
None, None, None, 0.259, None, 84.0, 2016-01-02 07:00:00, -23.36
None, None, None, 0.711, None, 83.3, 2016-01-02 08:00:00, -23.53
None, None, None, 0.647, None, 84.0, 2016-01-02 09:00:00, -23.11
None, None, None, 0.689998, None, 84.1, 2016-01-02 10:00:00, -21.0
None, None, None, 0.704999, None, 78.7, 2016-01-02 11:00:00, -17.21
None, None, None, 1.053, None, 73.9, 2016-01-02 12:00:00, -16.58
None, None, None, 0.717998, None, 70.5, 2016-01-02 13:00:00, -15.65
None, None, None, 0.656, None, 64.72, 2016-01-02 14:00:00, -13.9
None, None, None, 0.614, None, 65.3, 2016-01-02 15:00:00, -13.72
None, None, None, 0.370999, None, 78.7, 2016-01-02 16:00:00, -17.0
None, None, None, 0.219999, None, 85.3, 2016-01-02 17:00:00, -18.05
None, None, None, 0.214, None, 86.9, 2016-01-02 18:00:00, -18.78
None, None, None, 0.456, None, 87.5, 2016-01-02 19:00:00, -19.23
None, None, None, 0.541, None, 87.7, 2016-01-02 20:00:00, -19.32
None, None, None, 0.842, None, 86.3, 2016-01-02 21:00:00, -20.59
None, None, None, 0.768, None, 87.6, 2016-01-02 22:00:00, -20.6
None, None, None, 0.669, None, 87.2, 2016-01-02 23:00:00, -20.57
None, None, None, 0.407, None, 85.3, 2016-01-03 00:00:00, -21.57
None, None, None, 0.474, None, 85.7, 2016-01-03 01:00:00, -21.62
None, None, None, 0.898, None, 86.3, 2016-01-03 02:00:00, -21.85
None, None, None, 0.852998, None, 85.2, 2016-01-03 03:00:00, -21.88
None, None, None, 0.524999, None, 84.6, 2016-01-03 04:00:00, -22.45
None, None, None, 0.642, None, 84.3, 2016-01-03 05:00:00, -22.85
None, None, None, 0.157, None, 83.9, 2016-01-03 06:00:00, -23.2
None, None, None, 0.535, None, 84.2, 2016-01-03 07:00:00, -22.84
None, None, None, 0.368, None, 84.4, 2016-01-03 08:00:00, -22.9
None, None, None, 0.412999, None, 84.1, 2016-01-03 09:00:00, -23.02
None, None, None, 0.583, None, 85.2, 2016-01-03 10:00:00, -21.68
None, None, None, 0.632, None, 83.2, 2016-01-03 11:00:00, -17.99
None, None, None, 0.523, None, 82.2, 2016-01-03 12:00:00, -17.06
None, None, None, 0.952, None, 77.9, 2016-01-03 13:00:00, -15.61
None, None, None, 0.728999, None, 79.2, 2016-01-03 14:00:00, -15.18
None, None, None, 0.393, None, 77.0, 2016-01-03 15:00:00, -14.37
None, None, None, 0.503, None, 78.8, 2016-01-03 16:00:00, -13.8
None, None, None, 0.582, None, 79.3, 2016-01-03 17:00:00, -13.28
None, None, None, 0.617999, None, 82.0, 2016-01-03 18:00:00, -13.08
None, None, None, 0.643998, None, 82.8, 2016-01-03 19:00:00, -12.68
None, None, None, 0.419999, None, 88.1, 2016-01-03 20:00:00, -12.59
