station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, PRECIP_TOTAL, avg_rel_hum_pst1hr, time, HUMIDITY, avg_air_temp_pst1hr
None, None, 3.143, 0.0, 82.8, 2016-01-01 00:00:00, None, 0.884998
None, None, 3.623, 0.0, 82.4, 2016-01-01 01:00:00, None, 1.277
None, None, 3.04, 0.0, 84.5, 2016-01-01 02:00:00, None, 0.865998
None, None, 3.16, 0.0, 86.1, 2016-01-01 03:00:00, None, 0.671998
None, None, 3.315, 0.0, 86.8, 2016-01-01 04:00:00, None, 0.753
None, None, 2.503, 0.0, 86.0, 2016-01-01 05:00:00, None, 0.751999
None, None, 2.856, 0.0, 87.9, 2016-01-01 06:00:00, None, 0.368
None, None, 2.189, 0.0, 92.1, 2016-01-04 13:00:00, None, 2.678
None, None, 1.936, 0.0, 91.7, 2016-01-04 14:00:00, None, 2.905
None, None, 2.038, 0.0, 90.7, 2016-01-04 15:00:00, None, 2.923
None, None, 1.534, 0.0, 89.8, 2016-01-04 16:00:00, None, 2.988
None, None, 1.664, 0.0, 88.3, 2016-01-04 17:00:00, None, 2.965
None, None, 1.833, 0.0, 88.1, 2016-01-04 18:00:00, None, 2.67
None, None, 2.019, 0.0, 87.0, 2016-01-04 19:00:00, None, 2.485
None, None, 2.289, 0.0, 87.2, 2016-01-04 20:00:00, None, 2.345
None, None, 2.901, 0.0, 87.8, 2016-01-04 21:00:00, None, 2.316
None, None, 2.136, 0.0, 87.2, 2016-01-04 22:00:00, None, 2.224
None, None, 2.56, 0.0, 85.3, 2016-01-04 23:00:00, None, 2.362
None, None, 2.691, 0.0, 84.8, 2016-01-05 00:00:00, None, 2.479
None, None, 2.65, 0.0, 85.7, 2016-01-05 01:00:00, None, 2.429
None, None, 3.54, 0.0, 85.4, 2016-01-05 02:00:00, None, 2.511
None, None, 3.079, 0.1, 89.8, 2016-01-05 03:00:00, None, 2.216
None, None, 2.551, 0.6, 92.8, 2016-01-05 04:00:00, None, 1.798
None, None, 2.532, 0.1, 94.1, 2016-01-05 05:00:00, None, 1.507
None, None, 2.977, 0.0, 93.7, 2016-01-05 06:00:00, None, 1.522
None, None, 3.303, 0.0, 92.6, 2016-01-05 07:00:00, None, 1.785
None, None, 3.649, 0.1, 92.1, 2016-01-05 08:00:00, None, 1.717
None, None, 3.463, 0.1, 93.2, 2016-01-05 09:00:00, None, 1.737
None, None, 3.119, 0.0, 93.4, 2016-01-05 10:00:00, None, 1.846
None, None, 3.287, 0.0, 92.5, 2016-01-05 11:00:00, None, 2.054
None, None, 2.856, 0.0, 92.7, 2016-01-05 12:00:00, None, 2.348
None, None, 2.622, 0.2, 92.5, 2016-01-05 13:00:00, None, 2.553
None, None, 3.901, 0.0, 92.8, 2016-01-05 14:00:00, None, 2.729
None, None, 3.535, 0.0, 92.9, 2016-01-05 15:00:00, None, 2.899
None, None, 3.223, 0.0, 92.7, 2016-01-05 16:00:00, None, 3.242
None, None, 3.199, 0.0, 93.3, 2016-01-05 17:00:00, None, 2.834
None, None, 2.876, 0.0, 93.6, 2016-01-05 18:00:00, None, 3.018
None, None, 3.753, 0.0, 93.0, 2016-01-05 19:00:00, None, 3.202
None, None, 3.817, 0.0, 91.7, 2016-01-05 20:00:00, None, 3.403
None, None, 3.723, 0.0, 91.5, 2016-01-05 21:00:00, None, 3.456
None, None, 3.72, 0.0, 91.7, 2016-01-05 22:00:00, None, 3.544
None, None, 3.832, 0.0, 92.0, 2016-01-05 23:00:00, None, 3.725
None, None, 3.346, 0.0, 92.1, 2016-01-06 00:00:00, None, 3.965
None, None, 3.392, 0.0, 91.8, 2016-01-06 01:00:00, None, 4.006
None, None, 4.155, 0.0, 89.6, 2016-01-06 02:00:00, None, 4.154
None, None, 5.075, 0.0, 89.3, 2016-01-06 03:00:00, None, 4.284
None, None, 4.176, 0.0, 90.0, 2016-01-06 04:00:00, None, 4.326
None, None, 2.851, 0.1, 90.2, 2016-01-06 05:00:00, None, 4.454
None, None, 3.589, 0.0, 90.6, 2016-01-06 06:00:00, None, 4.477
None, None, 3.399, 0.0, 89.3, 2016-01-06 07:00:00, None, 4.899
None, None, 4.069, 0.0, 89.1, 2016-01-06 08:00:00, None, 4.714
None, None, 3.859, 0.0, 89.2, 2016-01-06 09:00:00, None, 4.642
None, None, 3.763, 0.0, 87.4, 2016-01-06 10:00:00, None, 5.139
None, None, 3.788, 0.0, 85.4, 2016-01-06 11:00:00, None, 5.822
None, None, 3.877, 0.0, 80.5, 2016-01-06 12:00:00, None, 6.913
None, None, 4.191, 0.0, 75.4, 2016-01-06 13:00:00, None, 7.51
None, None, 4.002, 0.0, 75.3, 2016-01-06 14:00:00, None, 7.63
None, None, 3.904, 0.0, 75.0, 2016-01-06 15:00:00, None, 7.85
None, None, 3.127, 0.0, 76.8, 2016-01-06 16:00:00, None, 7.83
None, None, 2.604, 0.0, 82.7, 2016-01-06 17:00:00, None, 7.08
None, None, 2.892, 0.0, 85.7, 2016-01-06 18:00:00, None, 6.601
None, None, 2.805, 0.0, 89.0, 2016-01-06 19:00:00, None, 5.937
None, None, 1.916, 0.0, 92.8, 2016-01-06 20:00:00, None, 5.277
