station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, 9.06, None, 48.69, 2016-01-26 14:00:00, 8.03
None, 7.807, None, 51.12, 2016-01-26 15:00:00, 7.936
None, 7.425, None, 45.66, 2016-01-26 16:00:00, 7.833
None, 7.864, None, 45.76, 2016-01-26 17:00:00, 7.143
None, 7.313, None, 47.46, 2016-01-26 18:00:00, 6.889
None, 6.51, None, 45.15, 2016-01-26 19:00:00, 6.759
None, 6.516, None, 44.74, 2016-01-26 20:00:00, 6.588
None, 6.38, None, 44.6, 2016-01-26 21:00:00, 6.314
None, 6.322, None, 46.99, 2016-01-26 22:00:00, 6.126
None, 6.966, None, 49.17, 2016-01-26 23:00:00, 6.112
None, 5.283, None, 50.05, 2016-01-27 00:00:00, 5.972
None, 5.294, None, 53.46, 2016-01-27 01:00:00, 5.933
None, 4.241, None, 52.3, 2016-01-27 02:00:00, 5.965
None, 6.078, None, 55.3, 2016-01-27 03:00:00, 6.477
None, 7.987, None, 54.89, 2016-01-27 04:00:00, 6.616
None, 8.15, None, 56.93, 2016-01-27 05:00:00, 6.691
None, 5.607, None, 58.26, 2016-01-27 06:00:00, 6.344
None, 3.392, None, 58.91, 2016-01-27 07:00:00, 5.995
None, 2.211, None, 60.13, 2016-01-27 08:00:00, 5.602
None, 1.117, None, 64.56, 2016-01-27 09:00:00, 3.768
None, 0.856, None, 61.03, 2016-01-27 10:00:00, 3.992
None, 1.77, None, 56.84, 2016-01-27 11:00:00, 4.903
None, 1.27, None, 59.6, 2016-01-27 12:00:00, 5.33
None, 1.151, None, 60.59, 2016-01-27 13:00:00, 4.769
None, 1.223, None, 55.06, 2016-01-27 14:00:00, 5.463
None, 1.394, None, 56.36, 2016-01-27 15:00:00, 5.36
None, 1.1, None, 66.03, 2016-01-27 16:00:00, 4.781
None, 0.851998, None, 65.93, 2016-01-27 17:00:00, 3.825
None, 0.954999, None, 67.56, 2016-01-27 18:00:00, 3.636
None, 1.191, None, 68.12, 2016-01-27 19:00:00, 3.485
None, 1.198, None, 72.96, 2016-01-27 20:00:00, 2.287
None, 1.116, None, 76.36, 2016-01-27 21:00:00, 1.374
None, 1.061, None, 79.29, 2016-01-27 22:00:00, 0.776
None, 1.015, None, 82.2, 2016-01-27 23:00:00, 0.266
None, 0.568, None, 86.9, 2016-01-28 00:00:00, -0.532998
None, 0.925998, None, 89.6, 2016-01-28 01:00:00, -1.154
None, 0.837998, None, 91.3, 2016-01-28 02:00:00, -1.568
None, 1.118, None, 87.9, 2016-01-28 03:00:00, -1.29
None, 0.986998, None, 87.4, 2016-01-28 04:00:00, -0.985
None, 0.522, None, 87.4, 2016-01-28 05:00:00, -1.127
None, 0.778998, None, 85.3, 2016-01-28 06:00:00, -0.816999
None, 0.462, None, 83.7, 2016-01-28 07:00:00, -0.293998
None, 0.768, None, 85.2, 2016-01-28 08:00:00, -0.514998
None, 0.372999, None, 84.9, 2016-01-28 09:00:00, -0.6
None, 0.959999, None, 85.9, 2016-01-28 10:00:00, -0.46
None, 0.391999, None, 77.53, 2016-01-28 11:00:00, 0.190999
None, 0.612999, None, 64.03, 2016-01-28 12:00:00, 2.763
None, 3.301, None, 49.35, 2016-01-28 13:00:00, 8.03
None, 7.355, None, 43.42, 2016-01-28 14:00:00, 9.58
None, 7.699, None, 44.17, 2016-01-28 15:00:00, 8.98
None, 8.63, None, 49.17, 2016-01-28 16:00:00, 7.748
None, 7.822, None, 52.04, 2016-01-28 17:00:00, 7.073
None, 6.38, None, 53.27, 2016-01-28 18:00:00, 6.438
None, 5.727, None, 55.17, 2016-01-28 19:00:00, 6.304
None, 6.222, None, 52.71, 2016-01-28 20:00:00, 6.194
None, 6.41, None, 52.03, 2016-01-28 21:00:00, 6.065
None, 6.65, None, 51.59, 2016-01-28 22:00:00, 5.75
None, 6.033, None, 49.95, 2016-01-28 23:00:00, 5.5
None, 5.11, None, 51.75, 2016-01-29 00:00:00, 5.305
None, 5.463, None, 50.49, 2016-01-29 01:00:00, 5.096
None, 7.136, None, 51.22, 2016-01-29 02:00:00, 4.91
None, 5.04, None, 51.89, 2016-01-29 03:00:00, 4.748
None, 2.762, None, 50.6, 2016-01-29 04:00:00, 4.581
None, 2.784, None, 53.26, 2016-01-29 05:00:00, 3.93
None, 2.09, None, 52.91, 2016-01-29 06:00:00, 3.429
None, 1.813, None, 56.26, 2016-01-29 07:00:00, 2.954
None, 1.309, None, 53.93, 2016-01-29 08:00:00, 2.334
None, 1.989, None, 53.05, 2016-01-29 09:00:00, 2.585
None, 3.607, None, 51.38, 2016-01-29 10:00:00, 3.146
None, 4.214, None, 50.26, 2016-01-29 11:00:00, 3.739
None, 4.374, None, 47.09, 2016-01-29 12:00:00, 4.605
None, 5.601, None, 43.31, 2016-01-29 13:00:00, 5.463
None, 5.306, None, 41.98, 2016-01-29 14:00:00, 6.149
None, 5.269, None, 43.38, 2016-01-29 15:00:00, 6.073
None, 2.523, None, 47.23, 2016-01-29 16:00:00, 4.985
None, 2.275, None, 51.69, 2016-01-29 17:00:00, 4.102
None, 1.342, None, 50.26, 2016-01-29 18:00:00, 3.499
None, 2.149, None, 49.88, 2016-01-29 19:00:00, 3.486
None, 1.346, None, 63.5, 2016-01-29 20:00:00, 2.023
None, 1.113, None, 56.9, 2016-01-29 21:00:00, 1.334
None, 0.87, None, 61.36, 2016-01-29 22:00:00, 1.116
None, 1.112, None, 61.46, 2016-01-29 23:00:00, 0.177
None, 0.97, None, 60.92, 2016-01-30 00:00:00, -0.773998
None, 1.21, None, 77.13, 2016-01-30 01:00:00, -1.378
None, 1.204, None, 78.05, 2016-01-30 02:00:00, -2.615
None, 1.07, None, 70.87, 2016-01-30 03:00:00, -2.118
None, 0.797999, None, 74.45, 2016-01-30 04:00:00, -3.072
None, 0.537, None, 80.6, 2016-01-30 05:00:00, -3.729
None, 0.825999, None, 88.6, 2016-01-30 06:00:00, -4.132
None, 0.922999, None, 84.7, 2016-01-30 07:00:00, -5.002
None, 1.042, None, 79.08, 2016-01-30 08:00:00, -5.227
None, 1.11, None, 83.5, 2016-01-30 09:00:00, -6.058
None, 0.472, None, 79.15, 2016-01-30 10:00:00, -5.184
None, 0.232998, None, 64.71, 2016-01-30 11:00:00, -2.956
None, 0.382999, None, 66.85, 2016-01-30 12:00:00, -0.583998
None, 0.596, None, 61.9, 2016-01-30 13:00:00, -0.289
None, 0.43, None, 55.4, 2016-01-30 14:00:00, 0.538999
None, 0.407999, None, 58.57, 2016-01-30 15:00:00, 1.479
None, 0.495, None, 65.11, 2016-01-30 16:00:00, 0.423
None, 1.403, None, 66.88, 2016-01-30 17:00:00, -0.754
None, 1.413, None, 68.1, 2016-01-30 18:00:00, -1.873
None, 0.568, None, 71.85, 2016-01-30 19:00:00, -2.075
None, 0.216998, None, 76.07, 2016-01-30 20:00:00, -2.136
None, 0.609, None, 79.96, 2016-01-30 21:00:00, -2.31
None, 0.739, None, 77.91, 2016-01-30 22:00:00, -2.536
None, 0.510999, None, 86.4, 2016-01-30 23:00:00, -3.197
None, 0.570999, None, 83.9, 2016-01-31 00:00:00, -4.204
None, 1.135, None, 76.14, 2016-01-31 01:00:00, -3.923
None, 1.926, None, 79.21, 2016-01-31 02:00:00, -3.304
None, 2.866, None, 73.48, 2016-01-31 03:00:00, -3.296
None, 3.061, None, 72.06, 2016-01-31 04:00:00, -3.488
None, 1.325, None, 74.24, 2016-01-31 05:00:00, -3.51
None, 1.613, None, 73.05, 2016-01-31 06:00:00, -3.801
None, 2.19, None, 76.63, 2016-01-31 07:00:00, -3.461
None, 1.484, None, 77.65, 2016-01-31 08:00:00, -3.879
None, 1.591, None, 78.16, 2016-01-31 09:00:00, -4.038
None, 0.972, None, 80.3, 2016-01-31 10:00:00, -3.98
None, 1.377, None, 74.18, 2016-01-31 11:00:00, -3.363
None, 1.337, None, 74.78, 2016-01-31 12:00:00, -2.926
None, 2.371, None, 74.92, 2016-01-31 13:00:00, -2.725
None, 2.619, None, 74.54, 2016-01-31 14:00:00, -2.716
None, 2.054, None, 74.17, 2016-01-31 15:00:00, -2.645
None, 1.02, None, 72.6, 2016-01-31 16:00:00, -2.707
None, 1.18, None, 74.17, 2016-01-31 17:00:00, -2.984
None, 0.967998, None, 76.38, 2016-01-31 18:00:00, -3.285
None, 1.342, None, 78.8, 2016-01-31 19:00:00, -3.634
None, 1.179, None, 76.55, 2016-01-31 20:00:00, -3.756
None, 1.115, None, 75.98, 2016-01-31 21:00:00, -3.635
None, 0.777, None, 77.1, 2016-01-31 22:00:00, -3.759
None, 1.248, None, 76.83, 2016-01-31 23:00:00, -3.85
None, 0.857999, None, 80.5, 2016-02-01 00:00:00, -3.791
None, 0.625, None, 84.2, 2016-02-01 01:00:00, -4.25
None, 0.680998, None, 86.2, 2016-02-01 02:00:00, -4.025
None, 0.533999, None, 88.6, 2016-02-01 03:00:00, -4.462
