CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 8.53, 42.86, None, None, None, None, 8.4, None, 15.64, 297.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 00:00:00, None, None,43
None, 8.74, 41.2, None, None, None, None, 9.21, None, 9.42, 296.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 01:00:00, None, None,43
None, 9.69, 36.54, None, None, None, None, 16.28, None, 6.215, 323.4, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 02:00:00, None, None,43
None, 10.02, 33.73, None, None, None, None, 17.14, None, 4.63, 0.235, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 03:00:00, None, None,43
None, 10.57, 31.98, None, None, None, None, 14.02, None, 6.6, 40.63, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 04:00:00, None, None,43
None, 10.51, 32.12, None, None, None, None, 5.914, None, 9.17, 68.55, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 05:00:00, None, None,43
None, 10.44, 31.68, None, None, None, None, 5.272, None, 8.36, 75.53, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 06:00:00, None, None,43
None, 10.16, 32.15, None, None, None, None, 13.94, None, 6.228, 91.8, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 07:00:00, None, None,43
None, 10.18, 31.93, None, None, None, None, 5.639, None, 5.751, 61.77, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 08:00:00, None, None,43
None, 10.58, 30.7, None, None, None, None, 13.43, None, 3.947, 79.28, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 09:00:00, None, None,43
None, 12.62, 30.25, None, None, None, None, 35.51, None, 2.81, 70.64, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 10:00:00, None, None,43
None, 14.01, 27.53, None, None, None, None, 37.66, None, 3.098, 112.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 11:00:00, None, None,43
None, 14.3, 30.44, None, None, None, None, 61.73, None, 1.73, 340.7, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 12:00:00, None, None,43
None, 15.44, 26.84, None, None, None, None, 53.39, None, 2.079, 4.308, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 13:00:00, None, None,43
None, 15.63, 25.87, None, None, None, None, 73.46, None, 1.313, 311.9, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 14:00:00, None, None,43
None, 15.2, 26.92, None, None, None, None, 75.87, None, 1.037, 222.5, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 15:00:00, None, None,43
None, 16.25, 26.97, None, None, None, None, 69.33, None, 1.286, 39.03, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 16:00:00, None, None,43
None, 16.4, 25.22, None, None, None, None, 69.42, None, 0.818, 144.2, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 17:00:00, None, None,43
None, 16.23, 27.0, None, None, None, None, 68.39, None, 0.563, 68.03, None, None, None, None, None, None, None, None, None, None, None, None, None,2018-10-22 18:00:00, None, None,43
