WDIR_VECT,TEMP_MEAN,WSPD_SCLR,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 0.888,83.2,2016-08-05 00:00:00,15.87,32
None, None, 1.6,85.3,2016-08-05 01:00:00,15.37,32
None, None, 0.680998,87.1,2016-08-05 02:00:00,15.05,32
None, None, 1.62,88.2,2016-08-05 03:00:00,14.7,32
None, None, 0.437,89.5,2016-08-05 04:00:00,14.45,32
None, None, 1.51,90.1,2016-08-05 05:00:00,14.55,32
None, None, 0.882,90.2,2016-08-05 06:00:00,14.75,32
None, None, None,87.1,2016-08-05 07:00:00,16.12,32
None, None, 0.068,81.6,2016-08-05 08:00:00,16.97,32
None, None, 1.228,76.6,2016-08-05 09:00:00,17.63,32
None, None, 2.307,71.4,2016-08-05 10:00:00,18.4,32
None, None, 4.238,72.1,2016-08-05 11:00:00,18.27,32
None, None, 5.846,70.8,2016-08-05 12:00:00,17.99,32
None, None, 5.582,66.75,2016-08-05 13:00:00,18.41,32
None, None, 4.84,54.76,2016-08-05 14:00:00,19.62,32
None, None, 6.199,55.91,2016-08-05 15:00:00,19.64,32
None, None, 6.329,57.21,2016-08-05 16:00:00,19.54,32
None, None, 5.876,62.06,2016-08-05 17:00:00,19.48,32
None, None, 3.305,55.24,2016-08-05 18:00:00,20.42,32
None, None, 1.384,61.19,2016-08-05 19:00:00,19.95,32
None, None, 1.138,67.3,2016-08-05 20:00:00,17.81,32
None, None, 1.404,70.1,2016-08-05 21:00:00,16.54,32
None, None, 1.458,73.6,2016-08-05 22:00:00,15.62,32
None, None, 1.669,73.6,2016-08-05 23:00:00,15.07,32
None, None, 1.662,75.1,2016-08-06 00:00:00,14.71,32
None, None, 0.903998,76.9,2016-08-06 01:00:00,14.54,32
None, None, 2.06,78.9,2016-08-06 02:00:00,14.64,32
None, None, 2.4,79.5,2016-08-06 03:00:00,14.37,32
None, None, 2.533,81.0,2016-08-06 04:00:00,14.59,32
None, None, 1.977,81.1,2016-08-06 05:00:00,14.72,32
None, None, 0.518998,82.6,2016-08-06 06:00:00,14.52,32
None, None, 1.0,78.2,2016-08-06 07:00:00,15.61,32
None, None, 2.6,76.3,2016-08-06 08:00:00,15.3,32
None, None, 1.499,72.1,2016-08-06 09:00:00,16.15,32
None, None, 1.122,65.95,2016-08-06 10:00:00,17.05,32
None, None, 4.456,66.26,2016-08-06 11:00:00,17.21,32
None, None, 5.491,66.29,2016-08-06 12:00:00,17.14,32
None, None, 3.939,68.76,2016-08-06 13:00:00,17.29,32
None, None, 4.037,67.71,2016-08-06 14:00:00,17.49,32
None, None, 3.57,64.81,2016-08-06 15:00:00,18.28,32
None, None, 3.086,62.94,2016-08-06 16:00:00,18.57,32
None, None, 3.064,65.02,2016-08-06 17:00:00,18.35,32
None, None, 2.94,67.21,2016-08-06 18:00:00,17.82,32
None, None, 1.384,68.39,2016-08-06 19:00:00,17.57,32
None, None, 0.418998,74.7,2016-08-06 20:00:00,16.78,32
None, None, 1.714,79.9,2016-08-06 21:00:00,15.34,32
None, None, 1.404,78.9,2016-08-06 22:00:00,14.66,32
None, None, 0.898998,83.1,2016-08-06 23:00:00,13.89,32
None, None, 0.321999,84.2,2016-08-07 00:00:00,13.61,32
None, None, 1.83,82.6,2016-08-07 01:00:00,13.37,32
None, None, 1.574,82.3,2016-08-07 02:00:00,13.16,32
None, None, 0.601998,83.7,2016-08-07 03:00:00,13.07,32
None, None, 1.1,83.0,2016-08-07 04:00:00,13.3,32
None, None, 0.962,83.9,2016-08-07 05:00:00,13.07,32
None, None, 1.419,82.2,2016-08-07 06:00:00,13.1,32
None, None, 0.172,79.1,2016-08-07 07:00:00,14.41,32
None, None, 0.0,76.3,2016-08-07 08:00:00,15.85,32
None, None, 0.0,75.7,2016-08-07 09:00:00,16.53,32
