AirTemp,ONE_DAY_PRECIPITATION,Snow_WE,time,MIN_TEMP,MAX_TEMP,week_of_year,pcpn_amt_pst1hr,snw_dpth_wtr_equiv,SWE,ONE_DAY_SNOW,air_temp_1
,9.0, None,2019-09-10,5.3,10.2,37,,,,,
,4.2, None,2019-09-11,4.0,11.5,37,,,,,
,0.0, None,2019-09-12,5.0,12.9,37,,,,,
,2.2, None,2019-09-13,4.0,12.5,37,,,,,
,1.1, None,2019-09-14,5.4,9.9,37,,,,,
,22.4, None,2019-09-15,5.6,8.5,37,,,,,
,10.3, None,2019-09-16,1.0,7.5,37,,,,,
,,,2019-09-10 00:00:00, None, None,37, 733.0, None, None, None, 9.2
,,,2019-09-10 01:00:00, None, None,37, 733.0, None, None, None, 8.7
,,,2019-09-10 02:00:00, None, None,37, 733.0, None, None, None, 7.9
,,,2019-09-10 03:00:00, None, None,37, 733.0, None, None, None, 7.2
,,,2019-09-10 04:00:00, None, None,37, 733.0, None, None, None, 6.9
,,,2019-09-10 05:00:00, None, None,37, 733.0, None, None, None, 6.4
,,,2019-09-10 06:00:00, None, None,37, 733.0, None, None, None, 6.4
,,,2019-09-10 10:00:00, None, None,37, 733.0, None, None, None, 6.4
,,,2019-09-10 12:00:00, None, None,37, 734.0, None, None, None, 6.1
,,,2019-09-10 13:00:00, None, None,37, 734.0, None, None, None, 6.2
,,,2019-09-10 14:00:00, None, None,37, 734.0, None, None, None, 6.4
,,,2019-09-10 16:00:00, None, None,37, None, None, 78.0, None, None
,,,2019-09-10 21:00:00, None, None,37, 736.0, None, None, None, 9.3
,,,2019-09-11 00:00:00, None, None,37, 740.0, None, None, None, 8.3
,,,2019-09-11 01:00:00, None, None,37, 742.0, None, None, None, 7.5
,,,2019-09-11 02:00:00, None, None,37, 742.0, None, None, None, 7.4
,,,2019-09-11 03:00:00, None, None,37, 742.0, None, None, None, 6.5
,,,2019-09-11 04:00:00, None, None,37, 742.0, None, None, None, 5.3
,,,2019-09-11 05:00:00, None, None,37, 743.0, None, None, None, 5.7
,,,2019-09-11 06:00:00, None, None,37, 743.0, None, None, None, 6.1
