pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None,8.9,8.9, 0.0, None,20.1,75.0,2022-08-06 00:00:00,5.0,32
None,7.6,7.7, 0.0, None,20.1,79.0,2022-08-06 01:00:00,4.0,32
None,6.7,6.8, 0.0, None,20.1,81.0,2022-08-06 02:00:00,4.0,32
None,5.5,5.5, 0.0, None,20.1,86.0,2022-08-06 03:00:00,3.0,32
None,5.2,5.1, 0.0, None,20.1,85.0,2022-08-06 04:00:00,3.0,32
None,4.3,4.3, 0.0, None,20.1,88.0,2022-08-06 05:00:00,3.0,32
None,3.8,3.8, 0.0, None,20.1,89.0,2022-08-06 06:00:00,2.0,32
None,4.0,3.8, 0.0, None,4.0,87.0,2022-08-06 07:00:00,2.0,32
None,6.1,3.8, 0.0, None,5.9,80.0,2022-08-06 08:00:00,3.0,32
None,10.9,3.8, 0.0, None,10.6,66.0,2022-08-06 09:00:00,5.0,32
None,14.7,3.8, 0.0, None,14.9,56.0,2022-08-06 10:00:00,5.0,32
None,18.9,3.8, 0.0, None,18.8,41.0,2022-08-06 11:00:00,5.0,32
None,20.4,3.8, 0.0, None,20.9,34.0,2022-08-06 12:00:00,4.0,32
None,23.6,3.8, 0.0, None,24.0,20.0,2022-08-06 14:00:00,-1.0,32
None,26.1,3.8, 0.0, None,26.4,19.0,2022-08-06 18:00:00,1.0,32
None,25.5,25.4, 0.0, None,26.1,19.0,2022-08-06 19:00:00,1.0,32
None,21.1,21.1, 0.0, None,26.1,34.0,2022-08-06 20:00:00,5.0,32
None,17.9,18.0, 0.0, None,26.1,47.0,2022-08-06 21:00:00,6.0,32
None,15.9,15.6, 0.0, None,26.1,55.0,2022-08-06 22:00:00,7.0,32
None,13.8,13.8, 0.0, None,26.1,61.0,2022-08-06 23:00:00,6.0,32
None,12.4,12.4, 0.0, None,26.1,67.0,2022-08-07 00:00:00,6.0,32
None,11.5,11.5, 0.0, None,26.1,69.0,2022-08-07 01:00:00,6.0,32
None,10.8,10.6, 0.0, None,26.1,70.0,2022-08-07 02:00:00,6.0,32
None,9.9,9.8, 0.0, None,26.1,73.0,2022-08-07 03:00:00,5.0,32
None,8.9,8.9, 0.0, None,26.1,76.0,2022-08-07 04:00:00,5.0,32
None,8.1,8.1, 0.0, None,26.1,79.0,2022-08-07 05:00:00,5.0,32
None,7.5,7.5, 0.0, None,26.1,81.0,2022-08-07 06:00:00,5.0,32
None,7.6,7.1, 0.0, None,7.6,79.0,2022-08-07 07:00:00,4.0,32
None,10.7,7.1, 0.0, None,10.7,65.0,2022-08-07 08:00:00,5.0,32
None,14.5,7.1, 0.0, None,14.2,54.0,2022-08-07 09:00:00,5.0,32
None,19.6,7.1, 0.0, None,19.5,46.0,2022-08-07 10:00:00,8.0,32
None,28.7,7.1, 0.0, None,28.7,23.0,2022-08-07 12:00:00,4.0,32
None,32.4,7.1, 0.0, None,33.2,12.0,2022-08-07 16:00:00,-1.0,32
None,32.3,7.1, 0.0, None,33.2,16.0,2022-08-07 18:00:00,2.0,32
None,30.2,30.4, 0.0, None,32.3,18.0,2022-08-07 19:00:00,4.0,32
None,24.7,24.8, 0.0, None,32.3,30.0,2022-08-07 20:00:00,6.0,32
None,21.1,21.2, 0.0, None,32.3,40.0,2022-08-07 21:00:00,6.0,32
None,18.8,18.9, 0.0, None,32.3,48.0,2022-08-07 22:00:00,8.0,32
None,16.4,16.5, 0.0, None,32.3,55.0,2022-08-07 23:00:00,8.0,32
None,14.8,14.8, 0.0, None,32.3,60.0,2022-08-08 00:00:00,7.0,32
None,13.5,13.7, 0.0, None,32.3,63.0,2022-08-08 01:00:00,7.0,32
None,12.6,12.6, 0.0, None,32.3,66.0,2022-08-08 02:00:00,6.0,32
None,11.7,11.7, 0.0, None,32.3,68.0,2022-08-08 03:00:00,6.0,32
None,11.0,10.8, 0.0, None,32.3,70.0,2022-08-08 04:00:00,6.0,32
None,10.1,9.9, 0.0, None,32.3,74.0,2022-08-08 05:00:00,6.0,32
None,9.2,9.1, 0.0, None,32.3,78.0,2022-08-08 06:00:00,6.0,32
None,9.2,8.8, 0.0, None,9.4,77.0,2022-08-08 07:00:00,5.0,32
None,11.2,8.8, 0.0, None,11.0,68.0,2022-08-08 08:00:00,5.0,32
None,15.6,8.8, 0.0, None,15.8,51.0,2022-08-08 09:00:00,5.0,32
None,20.6,8.8, 0.0, None,20.3,42.0,2022-08-08 10:00:00,7.0,32
None,33.4,8.8, 0.0, None,33.7,11.0,2022-08-08 15:00:00,-1.0,32
None,31.0,31.1, 0.0, None,33.2,14.0,2022-08-08 19:00:00,0.0,32
None,20.9,21.0, 0.0, None,33.2,37.0,2022-08-08 21:00:00,6.0,32
None,18.3,18.4, 0.0, None,33.2,46.0,2022-08-08 22:00:00,6.0,32
None,16.4,16.5, 0.0, None,33.2,52.0,2022-08-08 23:00:00,6.0,32
None,14.8,14.8, 0.0, None,33.2,55.0,2022-08-09 00:00:00,6.0,32
None,13.5,13.4, 0.0, None,33.2,59.0,2022-08-09 01:00:00,5.0,32
None,12.5,12.4, 0.0, None,33.2,61.0,2022-08-09 02:00:00,5.0,32
None,11.9,11.7, 0.0, None,33.2,62.0,2022-08-09 03:00:00,5.0,32
None,11.1,11.1, 0.0, None,33.2,63.0,2022-08-09 04:00:00,4.0,32
None,10.1,10.0, 0.0, None,33.2,69.0,2022-08-09 05:00:00,5.0,32
None,9.6,9.5, 0.0, None,33.2,69.0,2022-08-09 06:00:00,4.0,32
None,9.3,9.3, 0.0, None,9.7,71.0,2022-08-09 07:00:00,4.0,32
None,11.7,9.3, 0.0, None,11.6,61.0,2022-08-09 08:00:00,4.0,32
None,15.9,9.3, 0.0, None,15.9,50.0,2022-08-09 09:00:00,5.0,32
None,19.1,9.3, 0.0, None,19.2,38.0,2022-08-09 10:00:00,5.0,32
None,19.2,9.3, 0.0, None,19.2,42.0,2022-08-09 11:00:00,6.0,32
