pcpn_amt_pst24hrs,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,snwfl_amt_pst1hr,max_air_temp_snc_last_reset,rel_hum,time,dwpt_temp,week_of_year
None,11.6,11.5, 0.0, None,26.1,63.0,2022-07-23 00:00:00,5.0,30
None,10.8,10.7, 0.0, None,26.1,66.0,2022-07-23 01:00:00,5.0,30
None,10.1,10.1, 0.0, None,26.1,68.0,2022-07-23 02:00:00,5.0,30
None,9.2,9.2, 0.0, None,26.1,73.0,2022-07-23 03:00:00,5.0,30
None,8.5,8.5, 0.0, None,26.1,78.0,2022-07-23 04:00:00,5.0,30
None,7.8,7.8, 0.0, None,26.1,81.0,2022-07-23 05:00:00,5.0,30
None,7.4,7.3, 0.0, None,26.1,84.0,2022-07-23 06:00:00,5.0,30
None,8.7,7.2, 0.0, None,8.6,81.0,2022-07-23 07:00:00,5.0,30
None,11.4,7.2, 0.0, None,11.7,71.0,2022-07-23 08:00:00,6.0,30
None,14.6,7.2, 0.0, None,14.7,60.0,2022-07-23 09:00:00,7.0,30
None,20.6,7.2, 0.0, None,20.9,46.0,2022-07-23 11:00:00,8.0,30
None,21.9,7.2, 0.0, None,22.2,42.0,2022-07-23 12:00:00,9.0,30
None,23.5,7.2, 0.0, None,23.8,38.0,2022-07-23 13:00:00,8.0,30
None,27.1,7.2, 0.0, None,28.0,27.0,2022-07-23 16:00:00,7.0,30
None,26.9,7.2, 0.0, None,28.0,30.0,2022-07-23 17:00:00,8.0,30
None,27.9,7.2, 0.0, None,28.0,25.0,2022-07-23 18:00:00,5.0,30
None,26.3,26.3, 0.0, None,28.3,30.0,2022-07-23 19:00:00,7.0,30
None,23.9,24.0, 0.0, None,28.3,37.0,2022-07-23 20:00:00,9.0,30
None,20.9,20.9, 0.0, None,28.3,49.0,2022-07-23 21:00:00,10.0,30
None,18.2,18.2, 0.0, None,28.3,62.0,2022-07-23 22:00:00,11.0,30
None,17.0,17.0, 0.0, None,28.3,66.0,2022-07-23 23:00:00,10.0,30
None,15.7,15.5, 0.0, None,28.3,70.0,2022-07-24 00:00:00,10.0,30
None,14.7,14.6, 0.0, None,28.3,74.0,2022-07-24 01:00:00,10.0,30
None,13.7,13.7, 0.0, None,28.3,78.0,2022-07-24 02:00:00,10.0,30
None,12.9,12.9, 0.0, None,28.3,80.0,2022-07-24 03:00:00,10.0,30
None,12.1,12.1, 0.0, None,28.3,83.0,2022-07-24 04:00:00,9.0,30
None,11.2,11.0, 0.0, None,28.3,87.0,2022-07-24 05:00:00,9.0,30
None,10.7,10.7, 0.0, None,28.3,88.0,2022-07-24 06:00:00,9.0,30
None,11.0,10.6, 0.0, None,11.0,85.0,2022-07-24 07:00:00,9.0,30
None,13.7,10.6, 0.0, None,13.8,75.0,2022-07-24 08:00:00,10.0,30
None,17.3,10.6, 0.0, None,17.4,62.0,2022-07-24 09:00:00,10.0,30
None,21.7,10.6, 0.0, None,21.7,51.0,2022-07-24 10:00:00,11.0,30
None,25.8,10.6, 0.0, None,26.2,42.0,2022-07-24 11:00:00,12.0,30
None,27.6,10.6, 0.0, None,27.4,27.0,2022-07-24 12:00:00,6.0,30
None,28.8,10.6, 0.0, None,29.2,24.0,2022-07-24 13:00:00,6.0,30
None,29.8,10.6, 0.0, None,30.1,22.0,2022-07-24 14:00:00,6.0,30
None,28.9,10.6, 0.0, None,30.9,25.0,2022-07-24 15:00:00,7.0,30
None,29.6,10.6, 0.0, None,30.9,24.0,2022-07-24 17:00:00,7.0,30
None,28.5,10.6, 0.0, None,30.9,29.0,2022-07-24 18:00:00,9.0,30
None,28.8,28.5, 0.0, None,29.5,31.0,2022-07-24 19:00:00,9.0,30
None,25.2,25.2, 0.0, None,29.5,42.0,2022-07-24 20:00:00,11.0,30
None,21.9,22.0, 0.0, None,29.5,50.0,2022-07-24 21:00:00,11.0,30
None,19.6,19.7, 0.0, None,29.5,57.0,2022-07-24 22:00:00,11.0,30
None,17.6,17.6, 0.0, None,29.5,64.0,2022-07-24 23:00:00,11.0,30
None,15.8,15.8, 0.0, None,29.5,70.0,2022-07-25 00:00:00,10.0,30
None,14.5,14.5, 0.0, None,29.5,75.0,2022-07-25 01:00:00,10.0,30
None,13.5,13.5, 0.0, None,29.5,77.0,2022-07-25 02:00:00,10.0,30
None,12.5,12.5, 0.0, None,29.5,83.0,2022-07-25 03:00:00,10.0,30
None,11.7,11.7, 0.0, None,29.5,84.0,2022-07-25 04:00:00,9.0,30
None,10.8,10.7, 0.0, None,29.5,87.0,2022-07-25 05:00:00,9.0,30
None,10.4,10.3, 0.0, None,29.5,88.0,2022-07-25 06:00:00,8.0,30
None,10.7,10.1, 0.0, None,10.8,86.0,2022-07-25 07:00:00,9.0,30
None,12.7,10.1, 0.0, None,12.8,79.0,2022-07-25 08:00:00,9.0,30
None,18.9,10.1, 0.0, None,18.8,59.0,2022-07-25 09:00:00,11.0,30
None,22.0,10.1, 0.0, None,22.0,46.0,2022-07-25 10:00:00,10.0,30
None,24.5,10.1, 0.0, None,24.4,33.0,2022-07-25 11:00:00,7.0,30
None,29.5,10.1, 0.0, None,29.7,24.0,2022-07-25 16:00:00,7.0,30
None,30.1,10.1, 0.0, None,30.1,27.0,2022-07-25 17:00:00,9.0,30
None,29.0,29.0, 0.0, None,29.8,29.0,2022-07-25 19:00:00,9.0,30
None,22.3,22.4, 0.0, None,29.8,51.0,2022-07-25 21:00:00,12.0,30
None,20.2,20.0, 0.0, None,29.8,58.0,2022-07-25 22:00:00,12.0,30
None,18.4,18.4, 0.0, None,29.8,66.0,2022-07-25 23:00:00,12.0,30
None,16.9,17.0, 0.0, None,29.8,72.0,2022-07-26 00:00:00,12.0,30
None,15.5,15.3, 0.0, None,29.8,76.0,2022-07-26 01:00:00,11.0,30
None,14.4,14.3, 0.0, None,29.8,80.0,2022-07-26 02:00:00,11.0,30
None,13.5,13.5, 0.0, None,29.8,83.0,2022-07-26 03:00:00,11.0,30
None,12.7,12.7, 0.0, None,29.8,85.0,2022-07-26 04:00:00,10.0,30
None,11.9,11.9, 0.0, None,29.8,88.0,2022-07-26 05:00:00,10.0,30
None,11.5,11.4, 0.0, None,29.8,89.0,2022-07-26 06:00:00,10.0,30
None,12.1,11.2, 0.0, None,12.1,85.0,2022-07-26 07:00:00,10.0,30
None,13.9,11.2, 0.0, None,13.7,81.0,2022-07-26 08:00:00,11.0,30
None,23.0,11.2, 0.0, None,22.8,51.0,2022-07-26 10:00:00,13.0,30
None,25.9,11.2, 0.0, None,26.1,39.0,2022-07-26 11:00:00,10.0,30
None,27.0,11.2, 0.0, None,27.3,35.0,2022-07-26 12:00:00,10.0,30
None,28.3,11.2, 0.0, None,28.6,31.0,2022-07-26 13:00:00,9.0,30
None,29.4,11.2, 0.0, None,29.8,29.0,2022-07-26 14:00:00,9.0,30
None,30.6,11.2, 0.0, None,31.1,29.0,2022-07-26 15:00:00,11.0,30
None,31.3,31.2, 0.0, None,32.2,29.0,2022-07-26 19:00:00,11.0,30
None,27.2,27.2, 0.0, None,32.2,42.0,2022-07-26 20:00:00,13.0,30
None,23.7,23.8, 0.0, None,32.2,52.0,2022-07-26 21:00:00,13.0,30
None,21.4,21.3, 0.0, None,32.2,60.0,2022-07-26 22:00:00,13.0,30
None,19.5,19.5, 0.0, None,32.2,68.0,2022-07-26 23:00:00,13.0,30
None,18.1,18.0, 0.0, None,32.2,72.0,2022-07-27 00:00:00,13.0,30
None,16.7,16.9, 0.0, None,32.2,75.0,2022-07-27 01:00:00,13.0,30
None,16.0,15.8, 0.0, None,32.2,78.0,2022-07-27 02:00:00,12.0,30
None,15.1,14.9, 0.0, None,32.2,81.0,2022-07-27 03:00:00,12.0,30
None,14.1,14.1, 0.0, None,32.2,84.0,2022-07-27 04:00:00,11.0,30
None,13.3,13.3, 0.0, None,32.2,86.0,2022-07-27 05:00:00,11.0,30
None,12.8,12.8, 0.0, None,32.2,87.0,2022-07-27 06:00:00,11.0,30
None,13.3,12.8, 0.0, None,13.4,84.0,2022-07-27 07:00:00,11.0,30
None,16.0,12.8, 0.0, None,16.1,74.0,2022-07-27 08:00:00,12.0,30
None,20.0,12.8, 0.0, None,19.9,61.0,2022-07-27 09:00:00,12.0,30
None,25.2,12.8, 0.0, None,25.4,50.0,2022-07-27 10:00:00,14.0,30
None,28.6,12.8, 0.0, None,28.3,38.0,2022-07-27 11:00:00,13.0,30
None,30.9,12.8, 0.0, None,30.9,29.0,2022-07-27 12:00:00,11.0,30
None,32.9,12.8, 0.0, None,33.3,25.0,2022-07-27 14:00:00,10.0,30
None,33.6,12.8, 0.0, None,33.9,25.0,2022-07-27 15:00:00,11.0,30
None,33.5,12.8, 0.0, None,34.7,27.0,2022-07-27 17:00:00,12.0,30
None,30.6,12.8, 0.0, None,34.7,40.0,2022-07-27 18:00:00,16.0,30
None,32.1,29.8, 0.0, None,32.4,33.0,2022-07-27 19:00:00,14.0,30
None,29.5,29.4, 0.0, None,32.4,39.0,2022-07-27 20:00:00,15.0,30
None,25.9,25.9, 0.0, None,32.4,51.0,2022-07-27 21:00:00,15.0,30
None,23.1,23.2, 0.0, None,32.4,60.0,2022-07-27 22:00:00,15.0,30
None,21.3,21.3, 0.0, None,32.4,68.0,2022-07-27 23:00:00,15.0,30
None,20.0,19.9, 0.0, None,32.4,73.0,2022-07-28 00:00:00,15.0,30
None,18.7,18.5, 0.0, None,32.4,77.0,2022-07-28 01:00:00,14.0,30
None,17.8,17.6, 0.0, None,32.4,80.0,2022-07-28 02:00:00,14.0,30
None,16.5,16.4, 0.0, None,32.4,84.0,2022-07-28 03:00:00,13.0,30
None,15.6,15.5, 0.0, None,32.4,86.0,2022-07-28 04:00:00,13.0,30
None,15.0,15.0, 0.0, None,32.4,87.0,2022-07-28 05:00:00,13.0,30
None,14.6,14.3, 0.0, None,32.4,88.0,2022-07-28 06:00:00,12.0,30
None,15.0,14.2, 0.0, None,15.1,84.0,2022-07-28 07:00:00,12.0,30
None,17.5,14.2, 0.0, None,17.6,71.0,2022-07-28 08:00:00,12.0,30
None,21.2,14.2, 0.0, None,21.2,58.0,2022-07-28 09:00:00,13.0,30
None,34.3,14.2, 0.0, None,34.3,22.0,2022-07-28 14:00:00,9.0,30
None,34.8,14.2, 0.0, None,34.8,21.0,2022-07-28 15:00:00,8.0,30
None,32.9,33.0, None, None,34.6,14.0,2022-07-28 19:00:00,2.0,30
None,26.7,26.7, 0.0, None,34.6,28.0,2022-07-28 20:00:00,7.0,30
None,23.0,22.8, 0.0, None,34.6,40.0,2022-07-28 21:00:00,9.0,30
None,20.8,20.9, 0.0, None,34.6,47.0,2022-07-28 22:00:00,9.0,30
None,19.1,19.0, 0.0, None,34.6,52.0,2022-07-28 23:00:00,9.0,30
None,17.7,17.7, 0.0, None,34.6,57.0,2022-07-29 00:00:00,10.0,30
None,16.9,16.7, 0.0, None,34.6,60.0,2022-07-29 01:00:00,9.0,30
None,15.5,15.6, 0.0, None,34.6,64.0,2022-07-29 02:00:00,8.0,30
None,14.9,14.8, 0.0, None,34.6,65.0,2022-07-29 03:00:00,8.0,30
None,14.2,13.9, 0.0, None,34.6,69.0,2022-07-29 04:00:00,9.0,30
None,13.4,13.2, 0.0, None,34.6,72.0,2022-07-29 05:00:00,9.0,30
None,12.4,12.3, 0.0, None,34.6,77.0,2022-07-29 06:00:00,8.0,30
None,12.8,12.1, 0.0, None,12.7,74.0,2022-07-29 07:00:00,8.0,30
None,16.1,12.1, 0.0, None,16.0,61.0,2022-07-29 08:00:00,9.0,30
None,20.4,12.1, 0.0, None,20.5,48.0,2022-07-29 09:00:00,9.0,30
None,32.0,32.0, 0.0, None,33.6,13.0,2022-07-29 19:00:00,1.0,30
None,27.5,27.6, 0.0, None,33.6,22.0,2022-07-29 20:00:00,4.0,30
None,22.7,22.7, 0.0, None,33.6,32.0,2022-07-29 21:00:00,5.0,30
None,19.6,19.7, 0.0, None,33.6,43.0,2022-07-29 22:00:00,7.0,30
None,17.8,17.6, 0.0, None,33.6,45.0,2022-07-29 23:00:00,6.0,30
