RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
95.8, None, None, None, 0.571,32.4, None, None, 6.0,969.0, None, None, None, None, None, -0.462, None, None, 6.218, None, None, None, None,5.326, None, None, None, None, None, None,2018-04-30 00:00:00, None,18
96.4, None, None, None, 0.348,32.83, None, None, 5.0,969.0, None, None, None, None, None, -0.461, None, None, 5.926, None, None, None, None,49.3, None, None, None, None, None, None,2018-04-30 01:00:00, None,18
96.8, None, None, None, 0.893,31.82, None, None, 6.0,969.0, None, None, None, None, None, -0.407, None, None, 6.14, None, None, None, None,62.94, None, None, None, None, None, None,2018-04-30 02:00:00, None,18
96.6, None, None, None, 0.857,262.7, None, None, 5.0,969.0, None, None, None, None, None, -0.401, None, None, 5.985, None, None, None, None,61.43, None, None, None, None, None, None,2018-04-30 03:00:00, None,18
97.0, None, None, None, 0.25,308.5, None, None, 5.0,970.0, None, None, None, None, None, -0.339, None, None, 5.916, None, None, None, None,69.88, None, None, None, None, None, None,2018-04-30 04:00:00, None,18
96.5, None, None, None, 1.389,349.1, None, None, 5.0,970.0, None, None, None, None, None, -0.415, None, None, 5.926, None, None, None, None,49.76, None, None, None, None, None, None,2018-04-30 05:00:00, None,18
96.8, None, None, None, 0.509,316.1, None, None, 5.0,970.0, None, None, None, None, None, -0.388, None, None, 5.876, None, None, None, None,71.57, None, None, None, None, None, None,2018-04-30 06:00:00, None,18
96.9, None, None, None, 0.398,6.082, None, None, 6.0,971.0, None, None, None, None, None, -0.308, None, None, 6.169, None, None, None, None,74.82, None, None, None, None, None, None,2018-04-30 07:00:00, None,18
96.6, None, None, None, 1.034,276.6, None, None, 6.0,971.0, None, None, None, None, None, -0.33, None, None, 6.558, None, None, None, None,47.71, None, None, None, None, None, None,2018-04-30 08:00:00, None,18
95.8, None, None, None, 0.908,252.3, None, None, 6.0,971.0, None, None, None, None, None, -0.282, None, None, 6.988, None, None, None, None,35.15, None, None, None, None, None, None,2018-04-30 09:00:00, None,18
