pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,rel_hum,time,snw_dpth,stn_pres,week_of_year
None, -2.931, 82.3, -2.5, 23.9, 16.73, 11.27, 72.19, -5.0, 11.3, -2.9, -3.9, None, 0.0, -5.0, None, 72.0, 0.0, 82.0,2021-01-08 00:00:00, -6999.0, -7999.0,2
None, -2.676, 80.8, -2.5, 27.4, 16.09, 12.09, 62.87, -5.0, 12.1, -2.7, -3.9, None, 0.0, -5.0, None, 63.0, 0.0, 81.0,2021-01-08 01:00:00, -6999.0, -7999.0,2
None, -2.016, 76.86, -1.8, 35.0, 11.57, 19.64, 75.48, -5.0, 19.6, -2.0, -3.9, None, 0.0, -5.0, None, 75.0, 0.0, 77.0,2021-01-08 02:00:00, -6999.0, -7999.0,2
None, -1.691, 73.49, -1.6, 34.3, 10.72, 20.36, 76.39, -5.0, 20.4, -1.7, -3.9, None, 0.0, -5.0, None, 76.0, 0.0, 73.0,2021-01-08 03:00:00, -6999.0, -7999.0,2
None, -1.798, 72.86, -1.5, 30.8, 12.27, 19.03, 75.83, -6.0, 19.0, -1.8, -3.9, None, 0.0, -6.0, None, 76.0, 0.0, 73.0,2021-01-08 04:00:00, -6999.0, -7999.0,2
None, -1.642, 71.01, -1.5, 28.9, 11.22, 18.72, 78.48, -6.0, 18.7, -1.6, -3.9, None, 0.0, -6.0, None, 78.0, 0.0, 71.0,2021-01-08 05:00:00, -6999.0, -7999.0,2
None, -1.661, 71.16, -1.4, 29.4, 11.32, 16.01, 83.6, -6.0, 16.0, -1.7, -3.9, None, 0.0, -6.0, None, 84.0, 0.0, 71.0,2021-01-08 06:00:00, -6999.0, -7999.0,2
None, -1.328, 69.1, -1.3, 18.6, 11.35, 11.64, 78.86, -6.0, 11.6, -1.3, -1.7, None, 0.0, -6.0, None, 79.0, 0.0, 69.0,2021-01-08 07:00:00, -6999.0, -7999.0,2
None, -1.177, 68.92, -1.1, 17.4, 11.28, 9.63, 80.1, -5.0, 9.6, -1.2, -1.7, None, 0.0, -5.0, None, 80.0, 0.0, 69.0,2021-01-08 08:00:00, -6999.0, -7999.0,2
None, -0.569, 67.14, -0.6, 17.9, 23.69, 6.034, 81.5, -5.0, 6.0, -0.6, -1.7, None, 0.0, -5.0, None, 82.0, 0.0, 67.0,2021-01-08 09:00:00, -6999.0, -7999.0,2
0.0, -0.754, 68.84, -0.6, 8.0, 28.73, 2.219, 38.48, -5.0, 2.2, -0.8, -1.7, None, 0.0, -5.0, None, 38.0, 0.0, 69.0,2021-01-08 10:00:00, -6999.0, -7999.0,2
