BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, None,82.3, None,2022-01-01 00:00:00, None,1
None, None, None,83.9, None,2022-01-01 01:00:00, None,1
None, None, None,85.6, None,2022-01-01 02:00:00, None,1
None, None, None,87.4, None,2022-01-01 03:00:00, None,1
None, None, None,89.3, None,2022-01-01 04:00:00, None,1
None, None, None,91.4, None,2022-01-01 05:00:00, None,1
None, None, None,92.1, None,2022-01-01 06:00:00, None,1
None, None, None,93.0, None,2022-01-01 07:00:00, None,1
None, None, None,93.5, None,2022-01-01 08:00:00, None,1
None, None, None,93.8, None,2022-01-01 09:00:00, None,1
None, None, None,94.4, None,2022-01-01 10:00:00, None,1
None, None, None,94.7, None,2022-01-01 11:00:00, None,1
None, None, None,95.0, None,2022-01-01 12:00:00, None,1
None, None, None,95.1, None,2022-01-01 13:00:00, None,1
None, None, None,95.1, None,2022-01-01 14:00:00, None,1
None, None, None,94.9, None,2022-01-01 15:00:00, None,1
None, None, None,95.3, None,2022-01-01 16:00:00, None,1
None, None, None,95.1, None,2022-01-01 17:00:00, None,1
None, None, None,95.0, None,2022-01-01 18:00:00, None,1
None, None, None,94.9, None,2022-01-01 19:00:00, None,1
None, None, None,95.5, None,2022-01-01 20:00:00, None,1
None, None, None,93.9, None,2022-01-01 21:00:00, None,1
None, None, None,90.4, None,2022-01-01 22:00:00, None,1
None, None, None,86.8, None,2022-01-01 23:00:00, None,1
None, None, None,78.9, None,2022-01-02 00:00:00, None,1
None, None, None,70.1, None,2022-01-02 01:00:00, None,1
None, None, None,71.3, None,2022-01-02 02:00:00, None,1
None, None, None,79.2, None,2022-01-02 03:00:00, None,1
None, None, None,78.8, None,2022-01-02 04:00:00, None,1
None, None, None,76.7, None,2022-01-02 05:00:00, None,1
None, None, None,76.8, None,2022-01-02 06:00:00, None,1
None, None, None,75.2, None,2022-01-02 07:00:00, None,1
None, None, None,75.1, None,2022-01-02 08:00:00, None,1
None, None, None,67.9, None,2022-01-02 09:00:00, None,1
None, None, None,61.9, None,2022-01-02 10:00:00, None,1
None, None, None,54.0, None,2022-01-02 11:00:00, None,1
None, None, None,52.7, None,2022-01-02 12:00:00, None,1
None, None, None,55.6, None,2022-01-02 13:00:00, None,1
None, None, None,58.7, None,2022-01-02 14:00:00, None,1
