station_observations
TempC, time, RH
-16.786, 2022-01-01 00:00:00, 88.7
-16.284, 2022-01-01 01:00:00, 88.9
-16.078, 2022-01-01 02:00:00, 89.0
-15.144, 2022-01-01 03:00:00, 89.4
-14.314, 2022-01-01 04:00:00, 89.9
-13.088, 2022-01-01 05:00:00, 90.7
-12.602, 2022-01-01 06:00:00, 91.2
-12.049, 2022-01-01 07:00:00, 91.6
-10.827, 2022-01-01 08:00:00, 92.2
-10.023, 2022-01-01 09:00:00, 92.7
-9.337, 2022-01-01 10:00:00, 93.0
-8.264, 2022-01-01 11:00:00, 93.5
-7.348, 2022-01-01 12:00:00, 93.9
-7.348, 2022-01-01 13:00:00, 93.9
-6.579, 2022-01-01 14:00:00, 93.9
-5.948, 2022-01-01 15:00:00, 93.6
-6.01, 2022-01-01 16:00:00, 92.5
-5.791, 2022-01-01 17:00:00, 90.0
-6.357, 2022-01-01 18:00:00, 86.3
-5.667, 2022-01-01 19:00:00, 85.1
-5.11, 2022-01-01 20:00:00, 83.9
-5.018, 2022-01-01 21:00:00, 83.0
-4.59, 2022-01-01 22:00:00, 83.0
-4.348, 2022-01-01 23:00:00, 83.7
-4.682, 2022-01-02 00:00:00, 84.7
-4.227, 2022-01-02 01:00:00, 85.7
-4.408, 2022-01-02 02:00:00, 86.5
-4.773, 2022-01-02 03:00:00, 91.4
-4.621, 2022-01-02 04:00:00, 93.0
-4.865, 2022-01-02 05:00:00, 91.3
-4.682, 2022-01-02 06:00:00, 89.0
-4.804, 2022-01-02 07:00:00, 89.2
-5.049, 2022-01-02 08:00:00, 87.8
-4.712, 2022-01-02 09:00:00, 86.5
-4.743, 2022-01-02 10:00:00, 86.7
-3.717, 2022-01-02 11:00:00, 84.7
-3.807, 2022-01-02 12:00:00, 83.7
-4.137, 2022-01-02 13:00:00, 85.1
-4.804, 2022-01-02 14:00:00, 85.2
-5.202, 2022-01-02 15:00:00, 85.8
-5.605, 2022-01-02 16:00:00, 89.6
-6.231, 2022-01-02 17:00:00, 89.5
-6.199, 2022-01-02 18:00:00, 90.5
-6.199, 2022-01-02 19:00:00, 90.5
-6.325, 2022-01-02 20:00:00, 90.6
-6.579, 2022-01-02 21:00:00, 91.1
-6.802, 2022-01-02 22:00:00, 90.5
-8.364, 2022-01-02 23:00:00, 89.9
-9.989, 2022-01-03 00:00:00, 89.7
-11.65, 2022-01-03 01:00:00, 89.3
-13.088, 2022-01-03 02:00:00, 88.5
-13.772, 2022-01-03 03:00:00, 88.4
-14.392, 2022-01-03 04:00:00, 88.2
-15.104, 2022-01-03 05:00:00, 87.7
-15.385, 2022-01-03 06:00:00, 87.5
-15.264, 2022-01-03 07:00:00, 87.3
-15.064, 2022-01-03 08:00:00, 87.7
-15.064, 2022-01-03 09:00:00, 87.7
-14.746, 2022-01-03 10:00:00, 87.9
-15.024, 2022-01-03 11:00:00, 87.2
-14.628, 2022-01-03 12:00:00, 86.4
-15.144, 2022-01-03 13:00:00, 85.8
-16.16, 2022-01-03 14:00:00, 85.9
-17.082, 2022-01-03 15:00:00, 85.6
-17.683, 2022-01-03 16:00:00, 85.7
-18.164, 2022-01-03 17:00:00, 85.2
-18.429, 2022-01-03 18:00:00, 84.6
-18.652, 2022-01-03 19:00:00, 83.6
-18.832, 2022-01-03 20:00:00, 83.9
-19.012, 2022-01-03 21:00:00, 84.7
-19.194, 2022-01-03 22:00:00, 85.0
-19.24, 2022-01-03 23:00:00, 85.4
-19.607, 2022-01-04 00:00:00, 85.3
-20.214, 2022-01-04 01:00:00, 84.8
-20.98, 2022-01-04 02:00:00, 83.7
-21.766, 2022-01-04 03:00:00, 83.3
-23.515, 2022-01-04 04:00:00, 83.1
-24.709, 2022-01-04 05:00:00, 82.9
-24.214, 2022-01-04 06:00:00, 82.9
-23.093, 2022-01-04 07:00:00, 83.5
-23.198, 2022-01-04 08:00:00, 83.1
-22.989, 2022-01-04 09:00:00, 82.7
-22.067, 2022-01-04 10:00:00, 82.4
-21.716, 2022-01-04 11:00:00, 81.5
-21.223, 2022-01-04 12:00:00, 81.0
-21.469, 2022-01-04 13:00:00, 81.2
-21.174, 2022-01-04 14:00:00, 81.7
-21.272, 2022-01-04 15:00:00, 81.8
-22.781, 2022-01-04 16:00:00, 82.3
-22.729, 2022-01-04 17:00:00, 82.9
-22.989, 2022-01-04 18:00:00, 82.9
-23.515, 2022-01-04 19:00:00, 82.3
-23.781, 2022-01-04 20:00:00, 82.2
-24.269, 2022-01-04 21:00:00, 82.1
-24.543, 2022-01-04 22:00:00, 81.8
-24.821, 2022-01-04 23:00:00, 81.8
-25.384, 2022-01-05 00:00:00, 81.8
-25.498, 2022-01-05 01:00:00, 81.5
-25.728, 2022-01-05 02:00:00, 81.2
-25.786, 2022-01-05 03:00:00, 80.9
-25.844, 2022-01-05 04:00:00, 80.8
-25.902, 2022-01-05 05:00:00, 80.8
-26.136, 2022-01-05 06:00:00, 80.9
-26.077, 2022-01-05 07:00:00, 80.9
-26.136, 2022-01-05 08:00:00, 80.7
-25.96, 2022-01-05 09:00:00, 80.6
-25.556, 2022-01-05 10:00:00, 79.9
-24.433, 2022-01-05 11:00:00, 79.1
-24.214, 2022-01-05 12:00:00, 78.6
-23.943, 2022-01-05 13:00:00, 78.0
-23.943, 2022-01-05 14:00:00, 78.3
-24.214, 2022-01-05 15:00:00, 79.2
-24.709, 2022-01-05 16:00:00, 80.1
-24.988, 2022-01-05 17:00:00, 80.9
-25.101, 2022-01-05 18:00:00, 81.2
-25.27, 2022-01-05 19:00:00, 81.5
-25.902, 2022-01-05 20:00:00, 81.3
-26.849, 2022-01-05 21:00:00, 81.2
-28.086, 2022-01-05 22:00:00, 80.4
-28.469, 2022-01-05 23:00:00, 80.3
-28.404, 2022-01-06 00:00:00, 80.1
-27.522, 2022-01-06 01:00:00, 80.5
-26.55, 2022-01-06 02:00:00, 81.1
-26.136, 2022-01-06 03:00:00, 81.6
-25.902, 2022-01-06 04:00:00, 81.8
-26.55, 2022-01-06 05:00:00, 81.5
-25.613, 2022-01-06 06:00:00, 81.7
-25.214, 2022-01-06 07:00:00, 81.9
-25.045, 2022-01-06 08:00:00, 81.6
-24.488, 2022-01-06 09:00:00, 81.4
-24.433, 2022-01-06 10:00:00, 81.1
-23.515, 2022-01-06 11:00:00, 80.9
-22.781, 2022-01-06 12:00:00, 80.4
-22.218, 2022-01-06 13:00:00, 80.2
-22.117, 2022-01-06 14:00:00, 80.4
-21.866, 2022-01-06 15:00:00, 81.1
-21.816, 2022-01-06 16:00:00, 81.8
-21.966, 2022-01-06 17:00:00, 82.4
-21.966, 2022-01-06 18:00:00, 82.6
-21.966, 2022-01-06 19:00:00, 82.7
-21.916, 2022-01-06 20:00:00, 82.9
-22.117, 2022-01-06 21:00:00, 83.0
-22.067, 2022-01-06 22:00:00, 83.1
-22.016, 2022-01-06 23:00:00, 83.3
-22.016, 2022-01-07 00:00:00, 83.5
-21.966, 2022-01-07 01:00:00, 83.5
-21.966, 2022-01-07 02:00:00, 83.3
-21.866, 2022-01-07 03:00:00, 83.4
-21.766, 2022-01-07 04:00:00, 83.4
-22.016, 2022-01-07 05:00:00, 83.6
-22.371, 2022-01-07 06:00:00, 83.2
-22.524, 2022-01-07 07:00:00, 83.1
-22.473, 2022-01-07 08:00:00, 83.2
-21.966, 2022-01-07 09:00:00, 83.1
-21.667, 2022-01-07 10:00:00, 82.9
-21.077, 2022-01-07 11:00:00, 82.7
-20.451, 2022-01-07 12:00:00, 82.8
-20.167, 2022-01-07 13:00:00, 83.0
-19.886, 2022-01-07 14:00:00, 82.9
-19.746, 2022-01-07 15:00:00, 82.4
-21.816, 2022-01-07 16:00:00, 82.6
-22.678, 2022-01-07 17:00:00, 83.0
-24.051, 2022-01-07 18:00:00, 83.0
-23.943, 2022-01-07 19:00:00, 82.9
-23.997, 2022-01-07 20:00:00, 83.1
-24.709, 2022-01-07 21:00:00, 82.8
-25.384, 2022-01-07 22:00:00, 82.2
-25.045, 2022-01-07 23:00:00, 82.6
-25.671, 2022-01-08 00:00:00, 82.6
-25.844, 2022-01-08 01:00:00, 82.6
-23.728, 2022-01-08 02:00:00, 83.4
-22.32, 2022-01-08 03:00:00, 84.3
-21.028, 2022-01-08 04:00:00, 84.9
-19.058, 2022-01-08 05:00:00, 86.0
-18.429, 2022-01-08 06:00:00, 86.7
-17.813, 2022-01-08 07:00:00, 87.1
-16.997, 2022-01-08 08:00:00, 87.4
-16.119, 2022-01-08 09:00:00, 88.0
-14.549, 2022-01-08 10:00:00, 88.5
-13.013, 2022-01-08 11:00:00, 88.3
-11.903, 2022-01-08 12:00:00, 89.0
-11.005, 2022-01-08 13:00:00, 88.5
-10.058, 2022-01-08 14:00:00, 90.0
-9.713, 2022-01-08 15:00:00, 90.1
-9.269, 2022-01-08 16:00:00, 90.8
-8.697, 2022-01-08 17:00:00, 92.0
-8.231, 2022-01-08 18:00:00, 93.0
-7.836, 2022-01-08 19:00:00, 93.5
-7.413, 2022-01-08 20:00:00, 93.9
-6.866, 2022-01-08 21:00:00, 94.4
