station_observations
TempC, SolarRadiationWm, RH, WindSpeedms, Pressurembar, Rainmm, GustSpeedms, time, WindDirection, DewPtC
-12.788, 0.6, 78.9, 0.76, 872.65, 0.0, 3.78, 2022-01-01 00:00:00, 157.2, -15.696
-12.863, 0.6, 79.0, 3.02, 871.65, 0.0, 9.07, 2022-01-01 01:00:00, 220.4, -15.754
-12.086, 0.6, 78.8, 2.01, 871.05, 0.0, 7.05, 2022-01-01 02:00:00, 176.9, -15.026
-12.196, 0.6, 77.9, 4.28, 870.15, 0.0, 8.81, 2022-01-01 03:00:00, 219.0, -15.272
-11.005, 0.6, 77.8, 2.27, 869.35, 0.0, 7.3, 2022-01-01 04:00:00, 213.4, -14.127
-10.863, 0.6, 76.0, 4.03, 867.95, 0.0, 8.31, 2022-01-01 05:00:00, 224.6, -14.273
-10.023, 0.6, 77.1, 2.77, 866.95, 0.0, 8.06, 2022-01-01 06:00:00, 228.8, -13.281
-10.023, 0.6, 78.2, 5.04, 865.35, 0.0, 12.59, 2022-01-01 07:00:00, 237.3, -13.107
-9.782, 0.6, 79.7, 5.29, 864.85, 0.0, 13.35, 2022-01-01 08:00:00, 224.6, -12.638
-9.134, 9.4, 80.7, 4.53, 864.15, 0.0, 11.08, 2022-01-01 09:00:00, 227.4, -11.85
-8.264, 43.1, 81.6, 5.54, 863.55, 0.0, 11.33, 2022-01-01 10:00:00, 226.0, -10.86
-6.93, 84.4, 82.0, 4.53, 862.95, 0.0, 11.84, 2022-01-01 11:00:00, 226.0, -9.492
-5.511, 100.6, 81.9, 4.53, 861.95, 0.0, 11.08, 2022-01-01 12:00:00, 227.4, -8.117
-3.836, 129.4, 77.5, 3.53, 862.05, 0.0, 8.56, 2022-01-01 13:00:00, 230.2, -7.194
-3.301, 73.1, 73.9, 3.78, 861.85, 0.0, 9.32, 2022-01-01 14:00:00, 234.5, -7.29
-4.773, 8.1, 75.6, 3.27, 862.45, 0.0, 9.07, 2022-01-01 15:00:00, 233.1, -8.424
-5.295, 0.6, 78.6, 4.03, 862.75, 0.0, 9.32, 2022-01-01 16:00:00, 216.2, -8.434
-5.542, 0.6, 81.1, 3.53, 863.05, 0.0, 9.32, 2022-01-01 17:00:00, 214.8, -8.274
-6.01, 0.6, 86.4, 3.53, 863.45, 0.0, 7.81, 2022-01-01 18:00:00, 221.8, -7.92
-6.262, 0.6, 86.7, 3.27, 863.75, 0.0, 7.05, 2022-01-01 19:00:00, 230.2, -8.124
-6.073, 0.6, 86.8, 3.78, 863.85, 0.0, 8.56, 2022-01-01 20:00:00, 226.0, -7.923
-6.073, 0.6, 85.5, 3.78, 863.65, 0.0, 8.56, 2022-01-01 21:00:00, 221.8, -8.117
-5.326, 0.6, 82.2, 3.02, 863.55, 0.0, 7.05, 2022-01-01 22:00:00, 240.1, -7.889
-5.574, 0.6, 81.1, 0.76, 864.15, 0.0, 4.28, 2022-01-01 23:00:00, 252.7, -8.305
-6.042, 0.6, 83.8, 0.0, 864.55, 0.0, 1.26, 2022-01-02 00:00:00, 304.7, -8.344
-16.828, 0.6, 85.2, 1.76, 865.45, 0.0, 6.3, 2022-01-02 01:00:00, 355.2, -18.747
-21.419, 0.6, 81.3, 3.27, 867.95, 0.0, 7.3, 2022-01-02 02:00:00, 352.4, -23.791
-23.462, 0.6, 80.3, 2.52, 870.75, 0.0, 6.3, 2022-01-02 03:00:00, 345.4, -25.929
-24.598, 0.6, 79.2, 2.52, 872.75, 0.0, 6.3, 2022-01-02 04:00:00, 327.1, -27.19
-25.27, 0.6, 78.6, 2.52, 874.65, 0.0, 6.8, 2022-01-02 05:00:00, 317.3, -27.929
-25.671, 0.6, 78.6, 2.77, 876.25, 0.0, 6.3, 2022-01-02 06:00:00, 321.5, -28.321
-26.371, 0.6, 78.7, 2.77, 877.55, 0.0, 6.04, 2022-01-02 07:00:00, 325.7, -28.991
-26.669, 3.1, 78.7, 2.01, 879.35, 0.0, 5.54, 2022-01-02 08:00:00, 335.5, -29.283
-27.031, 16.9, 78.0, 1.76, 880.65, 0.0, 5.29, 2022-01-02 09:00:00, 335.5, -29.731
-26.609, 54.4, 77.0, 1.51, 881.45, 0.0, 4.53, 2022-01-02 10:00:00, 335.5, -29.455
-26.49, 68.1, 76.5, 1.76, 882.05, 0.0, 4.28, 2022-01-02 11:00:00, 342.6, -29.408
-26.97, 71.9, 75.9, 1.51, 882.35, 0.0, 4.78, 2022-01-02 12:00:00, 339.7, -29.958
-26.729, 56.9, 75.7, 1.51, 882.75, 0.0, 3.78, 2022-01-02 13:00:00, 346.8, -29.752
-27.708, 28.1, 75.8, 1.26, 883.35, 0.0, 4.28, 2022-01-02 14:00:00, 355.2, -30.691
-28.662, 5.6, 77.1, 1.76, 883.75, 0.0, 5.29, 2022-01-02 15:00:00, 1.4, -31.444
-29.253, 0.6, 77.1, 1.51, 884.45, 0.0, 4.53, 2022-01-02 16:00:00, 7.0, -32.021
-29.52, 0.6, 77.1, 1.26, 885.05, 0.0, 4.28, 2022-01-02 17:00:00, 4.2, -32.281
-30.27, 0.6, 77.0, 1.51, 885.05, 0.0, 4.03, 2022-01-02 18:00:00, 18.3, -33.026
-30.69, 0.6, 76.6, 1.51, 885.35, 0.0, 4.03, 2022-01-02 19:00:00, 11.2, -33.489
-30.973, 0.6, 76.2, 1.26, 885.45, 0.0, 3.78, 2022-01-02 20:00:00, 9.8, -33.818
-31.117, 0.6, 75.9, 1.26, 885.65, 0.0, 4.28, 2022-01-02 21:00:00, 4.2, -33.998
-31.045, 0.6, 75.9, 1.26, 885.45, 0.0, 3.78, 2022-01-02 22:00:00, 9.8, -33.928
-31.188, 0.6, 75.9, 1.51, 885.25, 0.0, 4.03, 2022-01-02 23:00:00, 7.0, -34.067
-31.188, 0.6, 75.9, 1.51, 885.05, 0.0, 4.03, 2022-01-03 00:00:00, 5.6, -34.067
