station_observations
TempC, SolarRadiationWm, RH, WindSpeedms, Pressurembar, Rainmm, GustSpeedms, time, WindDirection, DewPtC
-11.218, 0.6, 83.6, 1.01, 891.75, 0.0, 4.53, 2022-01-01 00:00:00, 244.3, -13.457
-10.511, 0.6, 83.0, 1.26, 890.95, 0.0, 6.8, 2022-01-01 01:00:00, 238.7, -12.851
-9.713, 0.6, 84.2, 0.5, 890.25, 0.0, 4.28, 2022-01-01 02:00:00, 279.4, -11.89
-8.898, 0.6, 81.8, 1.76, 889.15, 0.0, 6.55, 2022-01-01 03:00:00, 242.9, -11.45
-8.831, 0.6, 81.5, 1.76, 888.45, 0.0, 5.29, 2022-01-01 04:00:00, 237.3, -11.431
-8.099, 0.6, 79.2, 2.01, 887.55, 0.0, 6.55, 2022-01-01 05:00:00, 219.0, -11.073
-7.251, 0.6, 79.8, 1.51, 886.35, 0.0, 4.78, 2022-01-01 06:00:00, 219.0, -10.15
-6.834, 0.6, 80.7, 1.26, 885.15, 0.0, 6.8, 2022-01-01 07:00:00, 226.0, -9.601
-5.979, 0.6, 80.8, 1.26, 884.55, 0.0, 6.55, 2022-01-01 08:00:00, 230.2, -8.749
-5.511, 5.6, 79.9, 1.26, 883.95, 0.0, 5.29, 2022-01-01 09:00:00, 220.4, -8.434
-5.049, 18.1, 80.9, 2.01, 883.15, 0.0, 6.8, 2022-01-01 10:00:00, 220.4, -7.823
-4.682, 46.9, 84.6, 0.76, 882.25, 0.0, 5.54, 2022-01-01 11:00:00, 220.4, -6.885
-2.712, 96.9, 81.1, 2.52, 881.35, 0.0, 8.31, 2022-01-01 12:00:00, 210.6, -5.506
-1.157, 104.4, 75.2, 3.78, 880.95, 0.0, 12.09, 2022-01-01 13:00:00, 227.4, -4.986
-2.015, 25.6, 68.8, 4.28, 880.95, 0.0, 12.34, 2022-01-01 14:00:00, 221.8, -6.977
-2.015, 4.4, 70.5, 3.53, 881.45, 0.0, 9.32, 2022-01-01 15:00:00, 217.6, -6.66
-1.986, 0.6, 69.4, 3.27, 881.65, 0.0, 8.56, 2022-01-01 16:00:00, 219.0, -6.836
-2.771, 0.6, 74.5, 3.53, 881.95, 0.0, 10.07, 2022-01-01 17:00:00, 214.8, -6.672
-3.479, 0.6, 79.5, 3.02, 882.15, 0.0, 9.07, 2022-01-01 18:00:00, 219.0, -6.516
-3.212, 0.6, 80.4, 3.02, 882.25, 0.0, 8.81, 2022-01-01 19:00:00, 217.6, -6.108
-3.124, 0.6, 78.0, 3.02, 882.55, 0.0, 9.07, 2022-01-01 20:00:00, 216.2, -6.418
-3.212, 0.6, 77.4, 3.27, 882.55, 0.0, 8.31, 2022-01-01 21:00:00, 216.2, -6.604
-2.654, 0.6, 75.3, 2.77, 882.35, 0.0, 7.55, 2022-01-01 22:00:00, 217.6, -6.42
-3.986, 0.6, 74.4, 1.26, 883.05, 0.0, 6.55, 2022-01-01 23:00:00, 276.6, -7.867
-5.018, 0.6, 82.9, 0.25, 883.55, 0.0, 3.02, 2022-01-02 00:00:00, 355.2, -7.478
