pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -8.62, 92.4, -5.4, 92.0, -10.0, -8.6, -10.1, 1005.4, 0.2, -10.0, 908.0, 0.0,2020-02-26 00:00:00, 71.0, 70.5, 908.0,9
None, -7.803, 92.9, -5.4, 93.0, -9.0, -7.8, -10.1, 1005.0, 0.0, -9.0, 908.0, 0.0,2020-02-26 01:00:00, 70.0, 70.47, 908.0,9
None, -8.52, 94.2, -5.4, 94.0, -9.0, -8.5, -10.1, 1003.8, -0.1, -9.0, 907.0, 0.0,2020-02-26 02:00:00, 70.0, 70.41, 907.0,9
None, -8.49, 92.3, -5.4, 92.0, -9.0, -8.5, -10.1, 1002.7, 0.0, -9.0, 906.0, 0.0,2020-02-26 03:00:00, 70.0, 70.22, 906.0,9
None, -8.27, 91.5, -5.4, 92.0, -9.0, -8.3, -10.1, 1002.7, 0.0, -9.0, 906.0, 0.0,2020-02-26 04:00:00, 70.0, 70.22, 906.0,9
None, -9.12, 95.0, None, None, None, None, None, None, None, -10.0, 905.0, None,2020-02-26 05:00:00, None, 70.22, None,9
None, -8.98, 93.7, -5.4, 94.0, -10.0, -9.0, -10.1, 1000.7, 0.0, -10.0, 904.0, 0.0,2020-02-26 06:00:00, 70.0, 70.03, 904.0,9
None, -9.07, 93.1, -8.8, 93.0, -10.0, -9.1, -9.8, 1000.7, 0.0, -10.0, 904.0, 0.0,2020-02-26 07:00:00, 70.0, 69.75, 904.0,9
None, -8.68, 93.3, -8.7, 93.0, -9.0, -8.7, -9.8, 1000.8, 0.0, -9.0, 904.0, 0.0,2020-02-26 08:00:00, 70.0, 69.73, 904.0,9
None, -8.74, 90.8, -8.2, 91.0, -10.0, -8.7, -9.8, 1000.9, 0.1, -10.0, 904.0, 0.0,2020-02-26 09:00:00, 69.0, 69.37, 904.0,9
None, -7.121, 89.9, -7.2, 90.0, -8.0, -7.1, -9.8, 1000.9, 0.1, -8.0, 904.0, 1.0,2020-02-26 10:00:00, 70.0, 69.68, 904.0,9
None, -5.43, 85.3, -5.5, 85.0, -7.0, -5.4, -9.8, 1000.7, 0.1, -7.0, 904.0, 0.0,2020-02-26 11:00:00, 70.0, 69.74, 904.0,9
None, 1.773, 69.0, 1.7, 69.0, -3.0, 1.8, -9.8, 1001.0, 0.4, -3.0, 905.0, 0.0,2020-02-26 12:00:00, 70.0, 69.75, 905.0,9
None, 3.682, 60.01, 3.8, 60.0, -3.0, 3.7, -9.8, 1000.7, 0.0, -3.0, 905.0, 0.0,2020-02-26 13:00:00, 70.0, 69.97, 905.0,9
None, 5.491, 48.62, 5.5, 49.0, -5.0, 5.5, -9.8, 1000.6, 0.2, -5.0, 905.0, 0.0,2020-02-26 14:00:00, 70.0, 69.86, 905.0,9
None, 3.879, 56.49, 5.6, 56.0, -4.0, 3.9, -9.8, 1000.8, -0.3, -4.0, 905.0, 0.0,2020-02-26 15:00:00, 69.0, 69.47, 905.0,9
None, 2.87, 66.37, 5.6, 66.0, -3.0, 2.9, -9.8, 1000.9, -0.1, -3.0, 905.0, 0.0,2020-02-26 16:00:00, 69.0, 69.07, 905.0,9
