station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, 0.740998, None, 97.1, 2017-01-01 00:00:00, -0.754998
None, 0.416999, None, 97.0, 2017-01-01 01:00:00, -1.027
None, 0.490999, None, 97.7, 2017-01-01 02:00:00, -0.931999
None, 0.416999, None, 97.6, 2017-01-01 03:00:00, -0.569998
None, 0.68, None, 97.5, 2017-01-01 04:00:00, -0.337998
None, 1.031, None, 97.5, 2017-01-01 05:00:00, 0.067
None, 0.657998, None, 96.1, 2017-01-01 06:00:00, 0.352999
None, 0.453, None, 95.8, 2017-01-01 07:00:00, 0.119998
None, 0.597998, None, 90.5, 2017-01-01 08:00:00, 0.14
None, 1.228, None, 71.75, 2017-01-01 09:00:00, 1.849
None, 0.952, None, 70.07, 2017-01-01 10:00:00, 2.125
None, 1.403, None, 61.39, 2017-01-01 11:00:00, 2.955
None, 2.085, None, 51.0, 2017-01-01 12:00:00, 3.705
None, 1.869, None, 49.06, 2017-01-01 13:00:00, 3.174
None, 2.228, None, 48.47, 2017-01-01 14:00:00, 2.678
None, 2.333, None, 43.87, 2017-01-01 15:00:00, 2.308
None, 2.141, None, 44.54, 2017-01-01 16:00:00, 2.084
None, 2.048, None, 43.02, 2017-01-01 17:00:00, 1.734
None, 2.221, None, 42.89, 2017-01-01 18:00:00, 1.547
None, 2.456, None, 41.91, 2017-01-01 19:00:00, 1.4
None, 2.148, None, 43.1, 2017-01-01 20:00:00, 1.077
None, 1.621, None, 44.23, 2017-01-01 21:00:00, 0.796
None, 0.829999, None, 43.38, 2017-01-01 22:00:00, 0.625998
None, 1.159, None, 42.2, 2017-01-01 23:00:00, 0.564
None, 1.236, None, 40.23, 2017-01-02 00:00:00, 0.637
None, 1.315, None, 36.49, 2017-01-02 01:00:00, 0.462
None, 1.663, None, 33.04, 2017-01-02 02:00:00, 0.391999
None, 0.625, None, 36.52, 2017-01-02 03:00:00, -0.384999
None, 1.264, None, 39.71, 2017-01-02 04:00:00, -0.572
None, 1.431, None, 38.18, 2017-01-02 05:00:00, -0.448
None, 1.374, None, 39.79, 2017-01-02 06:00:00, -0.703998
None, 0.586, None, 41.41, 2017-01-02 07:00:00, -1.271
None, 0.902, None, 41.95, 2017-01-02 08:00:00, -1.554
None, 1.419, None, 39.58, 2017-01-02 09:00:00, -0.925998
None, 2.242, None, 32.71, 2017-01-02 10:00:00, 0.583
None, 1.643, None, 30.45, 2017-01-02 11:00:00, 1.312
None, 1.872, None, 27.59, 2017-01-02 12:00:00, 1.704
None, 1.655, None, 26.73, 2017-01-02 13:00:00, 2.042
None, 2.13, None, 27.35, 2017-01-02 14:00:00, 1.901
None, 1.478, None, 27.42, 2017-01-02 15:00:00, 1.952
None, 1.145, None, 29.74, 2017-01-02 16:00:00, 1.801
None, 1.653, None, 33.62, 2017-01-02 17:00:00, 0.192
None, 1.667, None, 35.16, 2017-01-02 18:00:00, -0.268999
None, 2.121, None, 33.14, 2017-01-02 19:00:00, -0.321999
None, 2.016, None, 32.08, 2017-01-02 20:00:00, -0.513998
None, 1.515, None, 33.88, 2017-01-02 21:00:00, -0.953998
None, 1.423, None, 33.62, 2017-01-02 22:00:00, -1.063
None, 1.262, None, 35.82, 2017-01-02 23:00:00, -1.266
None, 1.154, None, 40.75, 2017-01-03 00:00:00, -2.093
None, 1.385, None, 35.19, 2017-01-03 01:00:00, -1.735
None, 1.2, None, 46.04, 2017-01-03 02:00:00, -2.798
None, 0.981998, None, 70.99, 2017-01-03 03:00:00, -5.623
None, 1.159, None, 79.78, 2017-01-03 04:00:00, -6.96
None, 1.122, None, 82.3, 2017-01-03 05:00:00, -7.583
None, 1.426, None, 85.3, 2017-01-03 06:00:00, -8.07
None, 1.096, None, 85.9, 2017-01-03 07:00:00, -8.37
None, 1.026, None, 85.6, 2017-01-03 08:00:00, -8.48
None, 0.689, None, 84.4, 2017-01-03 09:00:00, -8.13
None, 0.586, None, 73.67, 2017-01-03 10:00:00, -5.383
None, 0.764998, None, 64.72, 2017-01-03 11:00:00, -2.988
None, 1.332, None, 39.13, 2017-01-03 12:00:00, -0.086
None, 2.082, None, 30.22, 2017-01-03 13:00:00, 0.948
None, 2.319, None, 29.47, 2017-01-03 14:00:00, 1.007
None, 2.076, None, 28.54, 2017-01-03 15:00:00, 1.037
None, 1.28, None, 31.11, 2017-01-03 16:00:00, 0.799
