station_observations
TEMP_MEAN, WSPD_SCLR, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, 3.422, None, 73.91, 2017-01-01 01:00:00, -8.57
None, 2.859, None, 74.29, 2017-01-01 02:00:00, -8.85
None, 2.172, None, 77.52, 2017-01-01 03:00:00, -9.1
None, 2.743, None, 85.6, 2017-01-01 04:00:00, -10.91
None, 3.224, None, 83.1, 2017-01-01 05:00:00, -11.32
None, 3.329, None, 85.1, 2017-01-01 06:00:00, -12.29
None, 2.957, None, 81.9, 2017-01-01 07:00:00, -12.7
None, 2.774, None, 87.0, 2017-01-01 08:00:00, -13.49
None, 2.42, None, 82.3, 2017-01-01 09:00:00, -12.68
None, 2.261, None, 82.1, 2017-01-01 10:00:00, -12.42
None, 2.315, None, 86.5, 2017-01-01 11:00:00, -12.77
None, 2.43, None, 80.3, 2017-01-01 12:00:00, -11.42
None, 2.153, None, 74.49, 2017-01-01 13:00:00, -10.72
None, 3.001, None, 84.1, 2017-01-01 14:00:00, -10.8
None, 2.301, None, 76.93, 2017-01-01 15:00:00, -10.88
None, 1.511, None, 71.09, 2017-01-01 16:00:00, -10.81
None, 2.284, None, 73.11, 2017-01-01 17:00:00, -10.98
None, 1.644, None, 71.82, 2017-01-01 18:00:00, -10.96
None, 1.303, None, 75.91, 2017-01-01 19:00:00, -10.87
None, 1.844, None, 85.9, 2017-01-01 20:00:00, -11.22
None, 1.237, None, 85.7, 2017-01-01 21:00:00, -11.92
None, 2.146, None, 85.3, 2017-01-01 22:00:00, -11.58
None, 2.885, None, 88.0, 2017-01-01 23:00:00, -11.06
None, 3.536, None, 86.9, 2017-01-02 00:00:00, -10.77
None, 2.892, None, 87.3, 2017-01-02 01:00:00, -11.04
None, 2.479, None, 73.76, 2017-01-02 02:00:00, -9.81
None, 3.351, None, 72.99, 2017-01-02 03:00:00, -8.86
None, 4.882, None, 75.07, 2017-01-02 04:00:00, -10.31
None, 4.574, None, 75.91, 2017-01-02 05:00:00, -11.17
None, 1.855, None, 75.3, 2017-01-02 06:00:00, -11.35
None, 1.879, None, 74.17, 2017-01-02 07:00:00, -11.5
None, 1.665, None, 75.43, 2017-01-02 08:00:00, -12.25
None, 0.832, None, 76.3, 2017-01-02 09:00:00, -12.68
None, 1.544, None, 75.48, 2017-01-02 10:00:00, -12.59
None, 1.551, None, 74.17, 2017-01-02 11:00:00, -12.6
None, 1.284, None, 72.21, 2017-01-02 12:00:00, -12.6
None, 1.119, None, 69.71, 2017-01-02 13:00:00, -12.0
None, 0.506, None, 73.5, 2017-01-02 14:00:00, -11.62
None, 1.612, None, 76.29, 2017-01-02 15:00:00, -11.8
None, 2.107, None, 79.39, 2017-01-02 16:00:00, -12.49
None, 1.838, None, 80.8, 2017-01-02 17:00:00, -12.62
None, 1.831, None, 81.5, 2017-01-02 18:00:00, -12.6
None, 1.53, None, 82.4, 2017-01-02 19:00:00, -12.53
