station_observations
WDIR_VECT, TEMP_MEAN, WSPD_SCLR, HUMIDITY, time
None, 5.8, 0.31, 81.2, 2017-05-26 01:00:00
None, 4.7, 0.23, 85.8, 2017-05-26 02:00:00
None, 3.7, 0.24, 89.2, 2017-05-26 03:00:00
None, 2.7, 0.19, 91.0, 2017-05-26 04:00:00
None, 2.2, 0.23, 92.3, 2017-05-26 05:00:00
None, 1.9, 0.15, 92.3, 2017-05-26 06:00:00
None, 4.0, 0.44, 84.1, 2017-05-26 07:00:00
None, 8.0, 1.64, 69.7, 2017-05-26 08:00:00
None, 10.3, 1.79, 57.9, 2017-05-26 09:00:00
None, 12.4, 1.54, 48.7, 2017-05-26 10:00:00
None, 14.6, 2.54, 40.4, 2017-05-26 11:00:00
None, 16.2, 1.94, 36.6, 2017-05-26 12:00:00
None, 18.0, 2.04, 33.0, 2017-05-26 13:00:00
None, 20.6, 2.06, 27.3, 2017-05-26 14:00:00
None, 22.3, 2.05, 24.5, 2017-05-26 15:00:00
None, 23.2, 1.81, 23.3, 2017-05-26 16:00:00
None, 24.0, 2.21, 22.2, 2017-05-26 17:00:00
None, 24.5, 1.44, 21.3, 2017-05-26 18:00:00
None, 24.0, 2.17, 21.8, 2017-05-26 19:00:00
None, 23.3, 2.05, 24.3, 2017-05-26 20:00:00
None, 20.8, 0.75, 33.3, 2017-05-26 21:00:00
None, 17.7, 1.32, 41.4, 2017-05-26 22:00:00
None, 15.7, 1.73, 47.2, 2017-05-26 23:00:00
None, 13.9, 1.28, 53.9, 2017-05-27 00:00:00
None, 11.6, 0.66, 64.0, 2017-05-27 01:00:00
None, 10.7, 1.07, 66.3, 2017-05-27 02:00:00
None, 9.8, 1.39, 69.1, 2017-05-27 03:00:00
None, 9.0, 0.9, 72.7, 2017-05-27 04:00:00
None, 6.9, 0.64, 81.6, 2017-05-27 05:00:00
None, 5.9, 0.53, 86.3, 2017-05-27 06:00:00
None, 7.9, 1.15, 77.4, 2017-05-27 07:00:00
None, 11.3, 1.81, 63.8, 2017-05-27 08:00:00
None, 13.4, 2.12, 55.5, 2017-05-27 09:00:00
None, 15.6, 2.56, 47.4, 2017-05-27 10:00:00
None, 18.1, 2.58, 39.7, 2017-05-27 11:00:00
None, 20.3, 2.41, 34.8, 2017-05-27 12:00:00
None, 23.0, 1.9, 28.3, 2017-05-27 13:00:00
None, 25.1, 1.62, 23.3, 2017-05-27 14:00:00
None, 26.4, 1.34, 19.7, 2017-05-27 15:00:00
None, 27.0, 1.79, 17.8, 2017-05-27 16:00:00
None, 27.0, 2.7, 15.9, 2017-05-27 17:00:00
None, 26.9, 3.57, 15.4, 2017-05-27 18:00:00
None, 26.6, 2.65, 16.7, 2017-05-27 19:00:00
None, 25.6, 1.88, 19.1, 2017-05-27 20:00:00
None, 22.6, 1.04, 27.2, 2017-05-27 21:00:00
None, 17.8, 0.54, 44.0, 2017-05-27 22:00:00
None, 16.9, 0.94, 40.6, 2017-05-27 23:00:00
None, 14.3, 0.81, 51.0, 2017-05-28 00:00:00
None, 12.2, 0.53, 59.0, 2017-05-28 01:00:00
None, 9.7, 0.54, 69.7, 2017-05-28 02:00:00
None, 9.0, 0.43, 71.3, 2017-05-28 03:00:00
None, 7.2, 0.35, 80.1, 2017-05-28 04:00:00
None, 6.2, 0.37, 84.0, 2017-05-28 05:00:00
None, 5.5, 0.13, 86.5, 2017-05-28 06:00:00
