station_observations
WDIR_VECT, TEMP_MEAN, HUMIDITY, avg_rel_hum_pst1hr, time, avg_air_temp_pst1hr
None, None, None, 63.88, 2017-01-01 00:00:00, -7.642
None, None, None, 62.84, 2017-01-01 01:00:00, -8.16
None, None, None, 65.73, 2017-01-01 02:00:00, -9.05
None, None, None, 60.69, 2017-01-01 03:00:00, -8.78
None, None, None, 72.28, 2017-01-01 04:00:00, -11.09
None, None, None, 75.37, 2017-01-01 05:00:00, -12.09
None, None, None, 77.79, 2017-01-01 06:00:00, -13.5
None, None, None, 78.25, 2017-01-01 07:00:00, -14.89
None, None, None, 78.42, 2017-01-01 08:00:00, -16.4
None, None, None, 78.12, 2017-01-01 09:00:00, -17.17
None, None, None, 77.14, 2017-01-01 10:00:00, -17.58
None, None, None, 75.01, 2017-01-01 11:00:00, -15.77
None, None, None, 72.03, 2017-01-01 12:00:00, -13.64
None, None, None, 71.59, 2017-01-01 13:00:00, -12.74
None, None, None, 67.39, 2017-01-01 14:00:00, -10.57
None, None, None, 74.48, 2017-01-01 15:00:00, -11.6
None, None, None, 78.43, 2017-01-01 16:00:00, -13.01
None, None, None, 79.27, 2017-01-01 17:00:00, -14.05
None, None, None, 80.2, 2017-01-01 18:00:00, -15.28
None, None, None, 79.62, 2017-01-01 19:00:00, -16.42
None, None, None, 78.58, 2017-01-01 20:00:00, -17.26
None, None, None, 77.29, 2017-01-01 21:00:00, -18.36
None, None, None, 75.68, 2017-01-01 22:00:00, -19.51
None, None, None, 74.29, 2017-01-01 23:00:00, -20.64
None, None, None, 74.27, 2017-01-02 00:00:00, -20.62
None, None, None, 73.67, 2017-01-02 01:00:00, -21.1
None, None, None, 73.18, 2017-01-02 02:00:00, -21.51
None, None, None, 72.35, 2017-01-02 03:00:00, -22.09
None, None, None, 71.89, 2017-01-02 04:00:00, -22.43
None, None, None, 71.47, 2017-01-02 05:00:00, -22.84
None, None, None, 71.64, 2017-01-02 06:00:00, -22.74
None, None, None, 72.5, 2017-01-02 07:00:00, -21.84
None, None, None, 74.03, 2017-01-02 08:00:00, -20.42
None, None, None, 74.64, 2017-01-02 09:00:00, -19.84
None, None, None, 75.22, 2017-01-02 10:00:00, -19.14
None, None, None, 76.44, 2017-01-02 11:00:00, -17.2
None, None, None, 76.75, 2017-01-02 12:00:00, -15.83
None, None, None, 75.78, 2017-01-02 13:00:00, -15.22
None, None, None, 75.91, 2017-01-02 14:00:00, -13.96
None, None, None, 76.61, 2017-01-02 15:00:00, -12.94
None, None, None, 77.91, 2017-01-02 16:00:00, -12.64
None, None, None, 78.69, 2017-01-02 17:00:00, -12.74
None, None, None, 78.49, 2017-01-02 18:00:00, -12.77
None, None, None, 78.71, 2017-01-02 19:00:00, -12.75
None, None, None, 78.77, 2017-01-02 20:00:00, -12.79
None, None, None, 79.81, 2017-01-02 21:00:00, -13.09
None, None, None, 79.66, 2017-01-02 22:00:00, -13.06
None, None, None, 80.5, 2017-01-02 23:00:00, -13.5
None, None, None, 80.1, 2017-01-03 00:00:00, -14.63
None, None, None, 79.75, 2017-01-03 01:00:00, -15.7
None, None, None, 78.96, 2017-01-03 02:00:00, -16.3
None, None, None, 78.18, 2017-01-03 03:00:00, -16.62
None, None, None, 78.32, 2017-01-03 04:00:00, -17.01
None, None, None, 77.93, 2017-01-03 05:00:00, -17.48
None, None, None, 78.24, 2017-01-03 06:00:00, -16.58
None, None, None, 78.9, 2017-01-03 07:00:00, -16.38
None, None, None, 79.54, 2017-01-03 08:00:00, -15.43
None, None, None, 78.92, 2017-01-03 09:00:00, -15.03
None, None, None, 78.37, 2017-01-03 10:00:00, -14.53
None, None, None, 78.64, 2017-01-03 11:00:00, -14.0
None, None, None, 78.63, 2017-01-03 12:00:00, -13.08
None, None, None, 76.66, 2017-01-03 13:00:00, -11.76
None, None, None, 77.29, 2017-01-03 14:00:00, -11.43
None, None, None, 77.11, 2017-01-03 15:00:00, -11.55
None, None, None, 79.27, 2017-01-03 16:00:00, -12.03
None, None, None, 81.2, 2017-01-03 17:00:00, -13.08
None, None, None, 81.1, 2017-01-03 18:00:00, -14.19
None, None, None, 80.4, 2017-01-03 19:00:00, -14.98
None, None, None, 79.35, 2017-01-03 20:00:00, -16.19
None, None, None, 78.7, 2017-01-03 21:00:00, -17.18
None, None, None, 77.89, 2017-01-03 22:00:00, -17.7
None, None, None, 77.56, 2017-01-03 23:00:00, -18.08
None, None, None, 77.42, 2017-01-04 00:00:00, -17.77
None, None, None, 77.45, 2017-01-04 01:00:00, -17.69
None, None, None, 77.41, 2017-01-04 02:00:00, -17.54
None, None, None, 77.19, 2017-01-04 03:00:00, -17.67
None, None, None, 76.73, 2017-01-04 04:00:00, -18.3
None, None, None, 78.13, 2017-01-04 05:00:00, -18.75
None, None, None, 77.57, 2017-01-04 06:00:00, -18.56
None, None, None, 75.73, 2017-01-04 07:00:00, -19.35
None, None, None, 75.75, 2017-01-04 08:00:00, -19.41
None, None, None, 74.83, 2017-01-04 09:00:00, -19.95
None, None, None, 75.07, 2017-01-04 10:00:00, -19.79
None, None, None, 76.41, 2017-01-04 11:00:00, -18.41
None, None, None, 78.12, 2017-01-04 12:00:00, -16.76
None, None, None, 80.5, 2017-01-04 13:00:00, -14.41
None, None, None, 81.0, 2017-01-04 14:00:00, -12.11
None, None, None, 81.0, 2017-01-04 15:00:00, -13.73
None, None, None, 80.5, 2017-01-04 16:00:00, -14.36
None, None, None, 80.4, 2017-01-04 17:00:00, -14.79
None, None, None, 80.2, 2017-01-04 18:00:00, -14.91
None, None, None, 80.1, 2017-01-04 19:00:00, -15.89
None, None, None, 78.94, 2017-01-04 20:00:00, -16.68
None, None, None, 78.19, 2017-01-04 21:00:00, -17.35
None, None, None, 77.8, 2017-01-04 22:00:00, -17.6
None, None, None, 77.81, 2017-01-04 23:00:00, -17.61
None, None, None, 76.94, 2017-01-05 00:00:00, -18.26
None, None, None, 76.21, 2017-01-05 01:00:00, -18.87
None, None, None, 75.44, 2017-01-05 02:00:00, -19.47
None, None, None, 74.56, 2017-01-05 03:00:00, -20.32
None, None, None, 73.92, 2017-01-05 04:00:00, -20.84
None, None, None, 74.58, 2017-01-05 05:00:00, -20.17
None, None, None, 75.56, 2017-01-05 06:00:00, -19.13
None, None, None, 75.81, 2017-01-05 07:00:00, -18.95
None, None, None, 76.43, 2017-01-05 08:00:00, -18.3
None, None, None, 77.58, 2017-01-05 09:00:00, -17.55
None, None, None, 79.03, 2017-01-05 10:00:00, -16.31
None, None, None, 80.8, 2017-01-05 11:00:00, -14.63
None, None, None, 81.5, 2017-01-05 12:00:00, -13.55
None, None, None, 82.2, 2017-01-05 13:00:00, -12.92
None, None, None, 81.7, 2017-01-05 14:00:00, -12.57
None, None, None, 81.1, 2017-01-05 15:00:00, -12.22
None, None, None, 80.6, 2017-01-05 16:00:00, -12.1
