AirTemperature,Rain,WindSpeed,SnowDepth,time,WindDirection,RelativeHumidity,week_of_year
5.3,0.0,9.0, None,2018-10-15 00:00:00,288.0,65.0,42
5.1,0.0,8.3, None,2018-10-15 00:15:00,284.0,67.0,42
4.5,0.0,7.7, None,2018-10-15 00:30:00,276.0,71.0,42
4.3,0.0,6.9, None,2018-10-15 00:45:00,274.0,71.0,42
4.5,0.0,7.9, None,2018-10-15 01:00:00,281.0,69.0,42
4.5,0.0,7.7, None,2018-10-15 01:15:00,285.0,70.0,42
4.4,0.0,8.9, None,2018-10-15 01:30:00,284.0,71.0,42
4.7,0.0,5.7, None,2018-10-15 01:45:00,275.0,69.0,42
4.3,0.0,6.7, None,2018-10-15 02:00:00,276.0,73.0,42
4.3,0.0,6.0, None,2018-10-15 02:15:00,271.0,75.0,42
4.1,0.0,6.7, None,2018-10-15 02:30:00,270.0,77.0,42
3.9,0.0,7.3, None,2018-10-15 02:45:00,276.0,77.0,42
4.1,0.0,7.4, None,2018-10-15 03:00:00,281.0,76.0,42
4.0,0.0,8.1, None,2018-10-15 03:15:00,282.0,77.0,42
4.2,0.0,6.7, None,2018-10-15 03:30:00,281.0,75.0,42
4.4,0.0,5.2, None,2018-10-15 03:45:00,279.0,77.0,42
4.6,0.0,6.4, None,2018-10-15 04:00:00,277.0,81.0,42
4.5,0.0,5.3, None,2018-10-15 04:15:00,270.0,82.0,42
4.5,0.0,1.9, None,2018-10-15 04:30:00,266.0,84.0,42
4.8,0.0,0.2, None,2018-10-15 04:45:00,16.0,82.0,42
4.3,0.0,1.0, None,2018-10-15 05:00:00,282.0,84.0,42
3.6,0.0,5.6, None,2018-10-15 05:15:00,288.0,85.0,42
4.0,0.0,5.6, None,2018-10-15 05:30:00,285.0,85.0,42
4.4,0.0,4.7, None,2018-10-15 05:45:00,289.0,85.0,42
4.7,0.0,3.2, None,2018-10-15 06:00:00,283.0,84.0,42
4.5,0.0,5.3, None,2018-10-15 06:15:00,285.0,87.0,42
4.6,0.0,4.8, None,2018-10-15 06:30:00,285.0,86.0,42
4.8,0.0,5.1, None,2018-10-15 06:45:00,302.0,85.0,42
4.3,0.0,5.8, None,2018-10-15 07:00:00,288.0,86.0,42
