time,TEMP_MEAN,HUMIDITY,week_of_year
2021-08-26 07:00:00, None,77.6,34
2021-08-26 08:00:00, None,65.3,34
2021-08-26 09:00:00, None,58.0,34
2021-08-26 10:00:00, None,49.6,34
2021-08-26 11:00:00, None,41.0,34
2021-08-26 12:00:00, None,30.7,34
2021-08-26 13:00:00, None,31.8,34
2021-08-26 14:00:00, None,30.6,34
2021-08-26 15:00:00, None,34.8,34
2021-08-26 16:00:00, None,37.0,34
2021-08-26 17:00:00, None,41.5,34
2021-08-26 18:00:00, None,41.1,34
2021-08-26 19:00:00, None,48.6,34
2021-08-26 20:00:00, None,51.5,34
2021-08-26 21:00:00, None,59.7,34
2021-08-26 22:00:00, None,64.8,34
2021-08-26 23:00:00, None,69.6,34
