air_temp,min_air_temp_snc_last_reset,mslp,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,time,avg_wnd_spd_10m_pst10mts,dwpt_temp,stn_pres,week_of_year
1.1,0.8, 1000.3, 75.0,1.3,90.0, 26.5,2020-02-05 00:00:00, 20.2,0.0, 993.0,6
1.2,0.8, 999.3, 82.0,1.3,89.0, 27.0,2020-02-05 01:00:00, 22.4,0.0, 992.0,6
1.1,0.8, 999.3, 83.0,1.3,90.0, 27.5,2020-02-05 02:00:00, 21.8,0.0, 992.0,6
1.0,0.8, 999.3, 78.0,1.3,90.0, 26.0,2020-02-05 03:00:00, 17.7,0.0, 992.0,6
1.5,0.8, 999.3, 72.0,1.5,90.0, 19.8,2020-02-05 04:00:00, 14.7,0.0, 992.0,6
1.7,0.8, 998.3, 67.0,1.7,90.0, 19.0,2020-02-05 05:00:00, 13.8,0.0, 991.0,6
2.3,0.8, 998.3, 68.0,2.3,89.0, 20.7,2020-02-05 06:00:00, 15.0,1.0, 991.0,6
2.2,2.1, 998.3, 70.0,2.3,90.0, 19.7,2020-02-05 07:00:00, 14.6,1.0, 991.0,6
2.5,2.1, 998.3, 70.0,2.5,89.0, 19.5,2020-02-05 08:00:00, 14.0,1.0, 991.0,6
2.6,2.1, 998.3, 69.0,2.6,90.0, 15.0,2020-02-05 09:00:00, 11.8,1.0, 991.0,6
2.8,2.1, 999.3, 69.0,2.8,91.0, 15.2,2020-02-05 10:00:00, 10.7,2.0, 992.0,6
3.3,2.1, 998.3, 69.0,3.3,92.0, 13.2,2020-02-05 11:00:00, 8.7,2.0, 991.0,6
3.6,2.1, 998.3, 63.0,3.6,92.0, 12.8,2020-02-05 12:00:00, 8.9,2.0, 991.0,6
3.9,2.1, 998.3, 66.0,3.9,92.0, 11.2,2020-02-05 13:00:00, 8.3,3.0, 991.0,6
4.7,2.1, 998.3, 61.0,4.7,92.0, 8.6,2020-02-05 14:00:00, 4.9,3.0, 991.0,6
4.6,2.1, 998.3, 53.0,4.7,92.0, 4.9,2020-02-05 15:00:00, 3.2,3.0, 991.0,6
4.9,2.1, 998.3, 212.0,5.3,92.0, 5.4,2020-02-05 16:00:00, 2.6,4.0, 991.0,6
4.7,2.1, 998.3, 256.0,5.3,92.0, 7.1,2020-02-05 17:00:00, 3.2,3.0, 991.0,6
4.7,2.1, 998.3, 274.0,5.3,92.0, 8.5,2020-02-05 18:00:00, 4.7,3.0, 991.0,6
4.3,4.3, 998.3, 290.0,4.7,92.0, 14.3,2020-02-05 19:00:00, 9.6,3.0, 991.0,6
4.2,4.0, 998.3, 307.0,4.7,92.0, 16.9,2020-02-05 20:00:00, 10.5,3.0, 991.0,6
3.9,3.9, 998.3, 294.0,4.7,92.0, 13.9,2020-02-05 21:00:00, 7.3,3.0, 991.0,6
3.9,3.8, 998.3, 280.0,4.7,92.0, 15.5,2020-02-05 22:00:00, 9.1,3.0, 991.0,6
3.9,3.8, 998.3, 285.0,4.7,92.0, 12.2,2020-02-05 23:00:00, 6.4,3.0, 991.0,6
3.7,3.7, 998.3, 243.0,4.7,92.0, 11.7,2020-02-06 00:00:00, 6.3,3.0, 991.0,6
3.8,3.6, 998.3, 269.0,4.7,92.0, 15.2,2020-02-06 01:00:00, 7.1,3.0, 991.0,6
3.9,3.6, 998.3, 288.0,4.7,91.0, 17.7,2020-02-06 02:00:00, 12.6,3.0, 991.0,6
4.0,3.6, 999.3, 282.0,4.7,89.0, 14.6,2020-02-06 03:00:00, 9.2,2.0, 992.0,6
4.0,3.6, 999.3, 276.0,4.7,89.0, 14.1,2020-02-06 04:00:00, 5.0,2.0, 992.0,6
4.0,3.6, 999.3, 239.0,4.7,88.0, 12.4,2020-02-06 05:00:00, 6.9,2.0, 992.0,6
4.3,3.6, 999.3, 178.0,4.7,88.0, 14.3,2020-02-06 06:00:00, 5.1,2.0, 992.0,6
3.5,3.5, 999.3, 144.0,4.3,89.0, 13.3,2020-02-06 07:00:00, 6.1,2.0, 992.0,6
4.5,3.5, 999.3, 162.0,4.4,87.0, 11.6,2020-02-06 08:00:00, 5.5,3.0, 992.0,6
4.1,3.5, 999.3, 158.0,4.8,87.0, 8.3,2020-02-06 09:00:00, 3.2,2.0, 992.0,6
4.0,3.5, 999.3, 134.0,4.8,88.0, 6.6,2020-02-06 10:00:00, 4.2,2.0, 992.0,6
4.1,3.5, 999.3, 116.0,4.8,89.0, 9.2,2020-02-06 11:00:00, 5.0,2.0, 992.0,6
