max_air_temp_snc_last_reset,rel_hum,max_wnd_spd_10m_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,snwfl_amt_pst1hr,time,snw_dpth,stn_pres,week_of_year
-3.3,-6999.0,14.3,7.8,-6999.0,-4.1,-4.2, 0.0,40.0,-2.0,2020-01-22 00:00:00,231.0,-6999.0,4
-3.3,-6999.0,11.9,6.8,-6999.0,-4.4,-4.5, 0.0,35.0,0.0,2020-01-22 01:00:00,231.0,-6999.0,4
-3.3,-6999.0,10.7,3.9,-6999.0,-4.2,-4.5, 0.0,27.0,-1.0,2020-01-22 02:00:00,230.0,-6999.0,4
-3.3,-6999.0,11.8,5.1,-6999.0,-3.7,-4.5, 0.0,37.0,0.0,2020-01-22 03:00:00,230.0,-6999.0,4
-3.3,-6999.0,11.9,3.8,-6999.0,-3.8,-4.6, 0.0,38.0,1.0,2020-01-22 04:00:00,231.0,-6999.0,4
-3.3,-6999.0,10.7,2.2,-6999.0,-3.9,-4.6, 0.0,32.0,0.0,2020-01-22 05:00:00,231.0,-6999.0,4
-3.3,-6999.0,14.2,6.6,-6999.0,-3.4,-4.6, 0.0,37.0,-1.0,2020-01-22 06:00:00,230.0,-6999.0,4
-3.3,-6999.0,13.9,6.7,-6999.0,-3.7,-3.7, 0.0,31.0,1.0,2020-01-22 07:00:00,231.0,-6999.0,4
-3.3,-6999.0,15.8,7.1,-6999.0,-3.7,-4.0, 0.0,35.0,0.0,2020-01-22 08:00:00,231.0,-6999.0,4
-3.3,-6999.0,15.7,8.5,-6999.0,-4.0,-4.2, 0.0,36.0,0.0,2020-01-22 09:00:00,231.0,-6999.0,4
-3.0,-6999.0,16.4,7.9,-6999.0,-3.1,-4.2, 0.0,32.0,0.0,2020-01-22 10:00:00,231.0,-6999.0,4
-3.0,-6999.0,18.7,9.2,-6999.0,-3.6,-4.2, 0.0,35.0,-1.0,2020-01-22 11:00:00,229.0,-6999.0,4
-2.7,-6999.0,18.6,10.0,-6999.0,-2.8,-4.2, 0.0,31.0,1.0,2020-01-22 12:00:00,230.0,-6999.0,4
-2.4,-6999.0,18.8,10.7,-6999.0,-2.4,-4.2, 0.0,27.0,-1.0,2020-01-22 13:00:00,229.0,-6999.0,4
-1.8,-6999.0,19.8,10.4,-6999.0,-2.0,-4.2, 0.0,26.0,1.0,2020-01-22 14:00:00,230.0,-6999.0,4
-1.8,-6999.0,19.1,11.0,-6999.0,-1.8,-4.2, 0.0,30.0,0.0,2020-01-22 15:00:00,230.0,-6999.0,4
