AirTemp,ONE_DAY_PRECIPITATION,MIN_TEMP,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year
1.9, 0.1, 1.6,2021-05-14 00:00:00, None, 10.7,20
1.9, None, None,2021-05-14 00:15:00, None, None,20
1.7, None, None,2021-05-14 00:30:00, None, None,20
1.6, None, None,2021-05-14 00:45:00, None, None,20
2.1, None, None,2021-05-14 01:00:00, None, None,20
2.2, None, None,2021-05-14 01:15:00, None, None,20
2.3, None, None,2021-05-14 01:30:00, None, None,20
2.4, None, None,2021-05-14 01:45:00, None, None,20
2.2, None, None,2021-05-14 02:00:00, None, None,20
2.6, None, None,2021-05-14 02:15:00, None, None,20
2.7, None, None,2021-05-14 02:30:00, None, None,20
2.6, None, None,2021-05-14 02:45:00, None, None,20
2.3, None, None,2021-05-14 03:00:00, None, None,20
1.6, None, None,2021-05-14 03:15:00, None, None,20
1.7, None, None,2021-05-14 03:30:00, None, None,20
1.8, None, None,2021-05-14 03:45:00, None, None,20
1.9, None, None,2021-05-14 04:00:00, None, None,20
2.5, None, None,2021-05-14 04:15:00, None, None,20
2.5, None, None,2021-05-14 04:30:00, None, None,20
2.4, None, None,2021-05-14 04:45:00, None, None,20
2.6, None, None,2021-05-14 05:00:00, None, None,20
2.7, None, None,2021-05-14 05:15:00, None, None,20
3.0, None, None,2021-05-14 05:30:00, None, None,20
3.2, None, None,2021-05-14 05:45:00, None, None,20
3.5, None, None,2021-05-14 06:00:00, None, None,20
3.8, None, None,2021-05-14 06:15:00, None, None,20
4.6, None, None,2021-05-14 06:30:00, None, None,20
4.8, None, None,2021-05-14 06:45:00, None, None,20
5.2, None, None,2021-05-14 07:00:00, None, None,20
5.5, None, None,2021-05-14 07:15:00, None, None,20
5.9, None, None,2021-05-14 07:30:00, None, None,20
6.4, None, None,2021-05-14 07:45:00, None, None,20
7.0, None, None,2021-05-14 08:00:00, None, None,20
7.7, None, None,2021-05-14 08:15:00, None, None,20
7.9, None, None,2021-05-14 08:30:00, None, None,20
8.2, None, None,2021-05-14 08:45:00, None, None,20
8.5, None, None,2021-05-14 09:00:00, None, None,20
9.1, None, None,2021-05-14 09:15:00, None, None,20
9.1, None, None,2021-05-14 09:30:00, None, None,20
8.1, None, None,2021-05-14 09:45:00, None, None,20
8.8, None, None,2021-05-14 10:00:00, None, None,20
9.2, None, None,2021-05-14 10:15:00, None, None,20
8.7, None, None,2021-05-14 10:30:00, None, None,20
10.7, None, None,2021-05-14 10:45:00, None, None,20
10.4, None, None,2021-05-14 11:00:00, None, None,20
9.4, None, None,2021-05-14 11:15:00, None, None,20
9.9, None, None,2021-05-14 11:30:00, None, None,20
9.7, None, None,2021-05-14 11:45:00, None, None,20
9.4, None, None,2021-05-14 12:00:00, None, None,20
9.1, None, None,2021-05-14 12:15:00, None, None,20
9.5, None, None,2021-05-14 12:30:00, None, None,20
8.9, None, None,2021-05-14 12:45:00, None, None,20
10.5, None, None,2021-05-14 13:00:00, None, None,20
10.0, None, None,2021-05-14 13:15:00, None, None,20
9.9, None, None,2021-05-14 13:30:00, None, None,20
9.7, None, None,2021-05-14 13:45:00, None, None,20
9.5, None, None,2021-05-14 14:00:00, None, None,20
9.7, None, None,2021-05-14 14:15:00, None, None,20
9.1, None, None,2021-05-14 14:30:00, None, None,20
9.0, None, None,2021-05-14 14:45:00, None, None,20
9.2, None, None,2021-05-14 15:00:00, None, None,20
8.2, None, None,2021-05-14 15:15:00, None, None,20
8.3, None, None,2021-05-14 15:30:00, None, None,20
8.0, None, None,2021-05-14 15:45:00, None, None,20
8.0, None, None,2021-05-14 16:00:00, None, None,20
7.7, None, None,2021-05-14 16:15:00, None, None,20
8.5, None, None,2021-05-14 16:30:00, None, None,20
8.8, None, None,2021-05-14 16:45:00, None, None,20
8.3, None, None,2021-05-14 17:00:00, None, None,20
8.4, None, None,2021-05-14 17:15:00, None, None,20
8.8, None, None,2021-05-14 17:30:00, None, None,20
9.2, None, None,2021-05-14 17:45:00, None, None,20
8.4, None, None,2021-05-14 18:00:00, None, None,20
8.3, None, None,2021-05-14 18:15:00, None, None,20
7.9, None, None,2021-05-14 18:30:00, None, None,20
6.5, None, None,2021-05-14 18:45:00, None, None,20
6.3, None, None,2021-05-14 19:00:00, None, None,20
6.2, None, None,2021-05-14 19:15:00, None, None,20
6.2, None, None,2021-05-14 19:30:00, None, None,20
5.9, None, None,2021-05-14 19:45:00, None, None,20
5.5, None, None,2021-05-14 20:00:00, None, None,20
5.4, None, None,2021-05-14 20:15:00, None, None,20
5.4, None, None,2021-05-14 20:30:00, None, None,20
5.2, None, None,2021-05-14 20:45:00, None, None,20
5.0, None, None,2021-05-14 21:00:00, None, None,20
4.8, None, None,2021-05-14 21:15:00, None, None,20
4.7, None, None,2021-05-14 21:30:00, None, None,20
4.9, None, None,2021-05-14 21:45:00, None, None,20
4.9, None, None,2021-05-14 22:00:00, None, None,20
4.8, None, None,2021-05-14 22:15:00, None, None,20
4.7, None, None,2021-05-14 22:30:00, None, None,20
4.6, None, None,2021-05-14 22:45:00, None, None,20
4.1, None, None,2021-05-14 23:00:00, None, None,20
3.8, None, None,2021-05-14 23:15:00, None, None,20
4.0, None, None,2021-05-14 23:30:00, None, None,20
4.1, None, None,2021-05-14 23:45:00, None, None,20
3.7, 0.0, 2.8,2021-05-15 00:00:00, None, 10.7,20
3.6, None, None,2021-05-15 00:15:00, None, None,20
3.4, None, None,2021-05-15 00:30:00, None, None,20
3.5, None, None,2021-05-15 00:45:00, None, None,20
3.5, None, None,2021-05-15 01:00:00, None, None,20
3.4, None, None,2021-05-15 01:15:00, None, None,20
3.1, None, None,2021-05-15 01:30:00, None, None,20
3.0, None, None,2021-05-15 01:45:00, None, None,20
2.9, None, None,2021-05-15 02:00:00, None, None,20
2.8, None, None,2021-05-15 02:15:00, None, None,20
3.0, None, None,2021-05-15 02:30:00, None, None,20
2.8, None, None,2021-05-15 02:45:00, None, None,20
2.8, None, None,2021-05-15 03:00:00, None, None,20
2.9, None, None,2021-05-15 03:15:00, None, None,20
3.1, None, None,2021-05-15 03:30:00, None, None,20
3.1, None, None,2021-05-15 03:45:00, None, None,20
3.2, None, None,2021-05-15 04:00:00, None, None,20
3.1, None, None,2021-05-15 04:15:00, None, None,20
3.0, None, None,2021-05-15 04:30:00, None, None,20
3.0, None, None,2021-05-15 04:45:00, None, None,20
3.0, None, None,2021-05-15 05:00:00, None, None,20
3.0, None, None,2021-05-15 05:15:00, None, None,20
3.1, None, None,2021-05-15 05:30:00, None, None,20
3.2, None, None,2021-05-15 05:45:00, None, None,20
3.2, None, None,2021-05-15 06:00:00, None, None,20
3.3, None, None,2021-05-15 06:15:00, None, None,20
3.4, None, None,2021-05-15 06:30:00, None, None,20
3.5, None, None,2021-05-15 06:45:00, None, None,20
3.6, None, None,2021-05-15 07:00:00, None, None,20
3.8, None, None,2021-05-15 07:15:00, None, None,20
3.8, None, None,2021-05-15 07:30:00, None, None,20
4.0, None, None,2021-05-15 07:45:00, None, None,20
4.0, None, None,2021-05-15 08:00:00, None, None,20
4.3, None, None,2021-05-15 08:15:00, None, None,20
5.1, None, None,2021-05-15 08:30:00, None, None,20
6.1, None, None,2021-05-15 08:45:00, None, None,20
6.0, None, None,2021-05-15 09:00:00, None, None,20
5.8, None, None,2021-05-15 09:15:00, None, None,20
7.5, None, None,2021-05-15 09:30:00, None, None,20
8.2, None, None,2021-05-15 09:45:00, None, None,20
8.3, None, None,2021-05-15 10:00:00, None, None,20
7.1, None, None,2021-05-15 10:15:00, None, None,20
8.0, None, None,2021-05-15 10:30:00, None, None,20
8.5, None, None,2021-05-15 10:45:00, None, None,20
9.0, None, None,2021-05-15 11:00:00, None, None,20
9.0, None, None,2021-05-15 11:15:00, None, None,20
9.2, None, None,2021-05-15 11:30:00, None, None,20
9.4, None, None,2021-05-15 11:45:00, None, None,20
9.6, None, None,2021-05-15 12:00:00, None, None,20
9.8, None, None,2021-05-15 12:15:00, None, None,20
10.1, None, None,2021-05-15 12:30:00, None, None,20
9.8, None, None,2021-05-15 12:45:00, None, None,20
9.5, None, None,2021-05-15 13:00:00, None, None,20
9.9, None, None,2021-05-15 13:15:00, None, None,20
9.6, None, None,2021-05-15 13:30:00, None, None,20
9.9, None, None,2021-05-15 13:45:00, None, None,20
10.2, None, None,2021-05-15 14:00:00, None, None,20
10.7, None, None,2021-05-15 14:15:00, None, None,20
10.7, None, None,2021-05-15 14:30:00, None, None,20
10.7, None, None,2021-05-15 14:45:00, None, None,20
10.4, None, None,2021-05-15 15:00:00, None, None,20
10.3, None, None,2021-05-15 15:15:00, None, None,20
9.8, None, None,2021-05-15 15:30:00, None, None,20
9.4, None, None,2021-05-15 15:45:00, None, None,20
9.8, None, None,2021-05-15 16:00:00, None, None,20
9.6, None, None,2021-05-15 16:15:00, None, None,20
9.1, None, None,2021-05-15 16:30:00, None, None,20
9.1, None, None,2021-05-15 16:45:00, None, None,20
8.5, None, None,2021-05-15 17:00:00, None, None,20
8.3, None, None,2021-05-15 17:15:00, None, None,20
8.5, None, None,2021-05-15 17:30:00, None, None,20
7.8, None, None,2021-05-15 17:45:00, None, None,20
8.0, None, None,2021-05-15 18:00:00, None, None,20
7.8, None, None,2021-05-15 18:15:00, None, None,20
7.3, None, None,2021-05-15 18:30:00, None, None,20
6.8, None, None,2021-05-15 18:45:00, None, None,20
6.1, None, None,2021-05-15 19:00:00, None, None,20
5.9, None, None,2021-05-15 19:15:00, None, None,20
5.8, None, None,2021-05-15 19:30:00, None, None,20
5.7, None, None,2021-05-15 19:45:00, None, None,20
5.6, None, None,2021-05-15 20:00:00, None, None,20
5.5, None, None,2021-05-15 20:15:00, None, None,20
5.4, None, None,2021-05-15 20:30:00, None, None,20
5.2, None, None,2021-05-15 20:45:00, None, None,20
5.0, None, None,2021-05-15 21:00:00, None, None,20
5.0, None, None,2021-05-15 21:15:00, None, None,20
4.7, None, None,2021-05-15 21:30:00, None, None,20
4.5, None, None,2021-05-15 21:45:00, None, None,20
4.8, None, None,2021-05-15 22:00:00, None, None,20
5.0, None, None,2021-05-15 22:15:00, None, None,20
5.0, None, None,2021-05-15 22:30:00, None, None,20
4.8, None, None,2021-05-15 22:45:00, None, None,20
4.6, None, None,2021-05-15 23:00:00, None, None,20
4.4, None, None,2021-05-15 23:15:00, None, None,20
4.0, None, None,2021-05-15 23:30:00, None, None,20
3.8, None, None,2021-05-15 23:45:00, None, None,20
3.8, 0.0, 1.2,2021-05-16 00:00:00, None, 10.0,20
3.6, None, None,2021-05-16 00:15:00, None, None,20
3.2, None, None,2021-05-16 00:30:00, None, None,20
3.1, None, None,2021-05-16 00:45:00, None, None,20
2.9, None, None,2021-05-16 01:00:00, None, None,20
2.9, None, None,2021-05-16 01:15:00, None, None,20
2.6, None, None,2021-05-16 01:30:00, None, None,20
2.5, None, None,2021-05-16 01:45:00, None, None,20
2.8, None, None,2021-05-16 02:00:00, None, None,20
2.8, None, None,2021-05-16 02:15:00, None, None,20
3.1, None, None,2021-05-16 02:30:00, None, None,20
2.9, None, None,2021-05-16 02:45:00, None, None,20
2.4, None, None,2021-05-16 03:00:00, None, None,20
