RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,PRECIP_DETECTOR_RATIO,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,rel_hum,time,stn_pres,week_of_year
18.16, None, None, None,6.053,53.47, None, None,-15.0, None, None, None, None, None, None, None, None,7.63, None, None, None, None,30.74, None, None, None, None, None,2017-06-04 00:00:00, None,23
18.14, None, None, None,8.18,58.46, None, None,-15.0, None, None, None, None, None, None, None, None,7.68, None, None, None, None,16.26, None, None, None, None, None,2017-06-04 01:00:00, None,23
18.0, None, None, None,6.911,56.42, None, None,-15.0, None, None, None, None, None, None, None, None,8.15, None, None, None, None,12.55, None, None, None, None, None,2017-06-04 02:00:00, None,23
18.38, None, None, None,0.203,356.6, None, None,-15.0, None, None, None, None, None, None, None, None,6.916, None, None, None, None,79.1, None, None, None, None, None,2017-06-04 03:00:00, None,23
18.24, None, None, None,4.763,250.8, None, None,-15.0, None, None, None, None, None, None, None, None,7.37, None, None, None, None,31.61, None, None, None, None, None,2017-06-04 04:00:00, None,23
18.19, None, None, None,3.84,202.1, None, None,-15.0, None, None, None, None, None, None, None, None,7.52, None, None, None, None,43.67, None, None, None, None, None,2017-06-04 05:00:00, None,23
18.2, None, None, None,8.78,192.9, None, None,-15.0, None, None, None, None, None, None, None, None,7.51, None, None, None, None,20.67, None, None, None, None, None,2017-06-04 06:00:00, None,23
18.29, None, None, None,7.53,251.1, None, None,-15.0, None, None, None, None, None, None, None, None,7.19, None, None, None, None,15.87, None, None, None, None, None,2017-06-04 07:00:00, None,23
18.08, None, None, None,4.601,216.2, None, None,-15.0, None, None, None, None, None, None, None, None,7.91, None, None, None, None,35.9, None, None, None, None, None,2017-06-04 08:00:00, None,23
17.97, None, None, None,4.078,167.5, None, None,-15.0, None, None, None, None, None, None, None, None,8.26, None, None, None, None,46.11, None, None, None, None, None,2017-06-04 09:00:00, None,23
17.64, None, None, None,4.322,174.5, None, None,-14.0, None, None, None, None, None, None, None, None,9.38, None, None, None, None,42.17, None, None, None, None, None,2017-06-04 10:00:00, None,23
18.26, None, None, None,3.693,208.8, None, None,-15.0, None, None, None, None, None, None, None, None,7.3, None, None, None, None,49.9, None, None, None, None, None,2017-06-04 11:00:00, None,23
17.82, None, None, None,7.15,232.4, None, None,-14.0, None, None, None, None, None, None, None, None,8.77, None, None, None, None,42.6, None, None, None, None, None,2017-06-04 12:00:00, None,23
19.05, None, None, None,10.19,275.3, None, None,-17.0, None, None, None, None, None, None, None, None,4.682, None, None, None, None,14.24, None, None, None, None, None,2017-06-04 13:00:00, None,23
