CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None, 2.741, 93.2, None,2016-04-15 00:00:00, None, None,15.5, 15.08,158.9, None, None, None, None, None, None,16
None, 2.913, 94.0, None,2016-04-15 01:00:00, None, None,14.1, 13.84,157.2, None, None, None, None, None, None,16
None, 2.975, 93.5, None,2016-04-15 02:00:00, None, None,15.69, 12.18,157.0, None, None, None, None, None, None,16
None, 2.896, 93.3, None,2016-04-15 03:00:00, None, None,13.93, 13.18,156.8, None, None, None, None, None, None,16
None, 2.856, 93.2, None,2016-04-15 04:00:00, None, None,13.36, 14.52,158.7, None, None, None, None, None, None,16
None, 2.915, 92.2, None,2016-04-15 05:00:00, None, None,12.82, 14.9,157.2, None, None, None, None, None, None,16
None, 2.784, 92.8, None,2016-04-15 06:00:00, None, None,13.1, 14.91,161.1, None, None, None, None, None, None,16
None, 2.847, 92.1, None,2016-04-15 07:00:00, None, None,12.82, 15.01,161.3, None, None, None, None, None, None,16
None, 3.09, 90.4, None,2016-04-15 08:00:00, None, None,13.41, 14.94,161.4, None, None, None, None, None, None,16
None, 3.253, 90.2, None,2016-04-15 09:00:00, None, None,13.95, 13.86,162.7, None, None, None, None, None, None,16
None, 3.387, 92.4, None,2016-04-15 10:00:00, None, None,15.79, 13.97,168.2, None, None, None, None, None, None,16
None, 4.119, 91.7, None,2016-04-15 11:00:00, None, None,16.71, 13.71,158.0, None, None, None, None, None, None,16
None, 4.237, 92.5, None,2016-04-15 12:00:00, None, None,16.66, 14.46,163.9, None, None, None, None, None, None,16
None, 4.223, 91.2, None,2016-04-15 13:00:00, None, None,14.93, 15.73,171.4, None, None, None, None, None, None,16
