pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,snwfl_amt_pst1hr,avg_wnd_spd_10m_pst10mts,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, None,2.969, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 00:00:00, None, 22.82, None,4
None, None,3.016, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 01:00:00, None, 23.12, None,4
None, None,3.025, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 02:00:00, None, 23.2, None,4
None, None,3.184, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 03:00:00, None, 23.14, None,4
None, None,3.307, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 04:00:00, None, 23.43, None,4
None, None,3.363, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 05:00:00, None, 23.4, None,4
None, None,3.279, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 06:00:00, None, 23.47, None,4
None, None,3.204, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 07:00:00, None, 23.43, None,4
None, None,3.1, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 08:00:00, None, 23.22, None,4
None, None,3.364, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 09:00:00, None, 22.97, None,4
None, None,3.476, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2017-01-22 10:00:00, None, 22.18, None,4
