WDIR_VECT,TEMP_MEAN,WSPD_SCLR,PRECIP_TOTAL,avg_rel_hum_pst1hr,time,HUMIDITY,avg_air_temp_pst1hr,week_of_year
None, None,1.344, None,94.4,2016-11-18 00:00:00, None,-1.758,47
None, None,1.235, None,94.4,2016-11-18 01:00:00, None,-2.754,47
None, None,0.248998, None,93.9,2016-11-18 02:00:00, None,-2.784,47
None, None,0.658999, None,94.2,2016-11-18 03:00:00, None,-2.42,47
None, None,0.787, None,93.9,2016-11-18 04:00:00, None,-2.241,47
None, None,0.915, None,92.4,2016-11-18 05:00:00, None,-2.133,47
None, None,0.5, None,91.9,2016-11-18 06:00:00, None,-1.907,47
None, None,0.194, None,91.6,2016-11-18 07:00:00, None,-1.645,47
None, None,0.788999, None,90.4,2016-11-18 08:00:00, None,-1.392,47
None, None,1.146, None,90.1,2016-11-18 09:00:00, None,-0.995998,47
None, None,2.614, None,89.6,2016-11-18 10:00:00, None,-0.412,47
None, None,2.62, None,81.3,2016-11-18 11:00:00, None,1.36,47
None, None,4.394, None,68.85,2016-11-18 12:00:00, None,3.056,47
None, None,3.629, None,63.15,2016-11-18 13:00:00, None,3.97,47
None, None,3.181, None,61.26,2016-11-18 14:00:00, None,4.394,47
None, None,3.242, None,57.76,2016-11-18 15:00:00, None,4.481,47
None, None,3.204, None,59.59,2016-11-18 16:00:00, None,4.268,47
None, None,3.09, None,60.41,2016-11-18 17:00:00, None,3.996,47
None, None,3.199, None,60.78,2016-11-18 18:00:00, None,4.123,47
None, None,3.048, None,61.34,2016-11-18 19:00:00, None,4.018,47
None, None,2.958, None,61.81,2016-11-18 20:00:00, None,3.962,47
None, None,5.347, None,71.3,2016-11-18 21:00:00, None,3.58,47
None, None,4.163, None,81.3,2016-11-18 22:00:00, None,2.734,47
None, None,3.295, None,82.7,2016-11-18 23:00:00, None,2.651,47
None, None,3.329, None,81.8,2016-11-19 00:00:00, None,2.721,47
None, None,1.843, None,81.4,2016-11-19 01:00:00, None,2.52,47
None, None,2.093, None,77.4,2016-11-19 02:00:00, None,2.601,47
None, None,2.327, None,74.9,2016-11-19 03:00:00, None,2.863,47
None, None,3.376, None,71.9,2016-11-19 04:00:00, None,3.186,47
None, None,4.348, None,74.1,2016-11-19 05:00:00, None,3.063,47
None, None,5.718, None,82.4,2016-11-19 06:00:00, None,2.542,47
None, None,3.557, None,88.3,2016-11-19 07:00:00, None,1.906,47
None, None,2.318, None,86.8,2016-11-19 08:00:00, None,2.103,47
None, None,1.65, None,85.4,2016-11-19 09:00:00, None,2.173,47
None, None,3.827, None,84.1,2016-11-19 10:00:00, None,2.515,47
None, None,3.801, None,83.9,2016-11-19 11:00:00, None,2.551,47
None, None,3.787, None,80.3,2016-11-19 12:00:00, None,3.248,47
None, None,4.679, None,77.2,2016-11-19 13:00:00, None,3.87,47
None, None,4.522, None,74.3,2016-11-19 14:00:00, None,4.525,47
