CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,rel_hum,time,stn_pres,week_of_year
13.24,31.64, None, None,24.14, 6.324,71.55, None, None, None, None, None, None,-3.0, 950.0, None, None,2019-05-28 00:00:00, None,22
11.72,40.99, None, None,34.12, 3.908,86.0, None, None, None, None, None, None,-1.0, 952.0, None, None,2019-05-28 01:00:00, None,22
8.93,55.28, None, None,19.66, 2.618,52.88, None, None, None, None, None, None,0.0, 953.0, None, None,2019-05-28 02:00:00, None,22
8.0,54.26, None, None,16.74, 1.266,62.28, None, None, None, None, None, None,-1.0, 954.0, None, None,2019-05-28 03:00:00, None,22
8.58,54.1, None, None,34.91, 0.704,72.8, None, None, None, None, None, None,0.0, 955.0, None, None,2019-05-28 04:00:00, None,22
7.161,59.65, None, None,32.07, 0.575,73.75, None, None, None, None, None, None,0.0, 955.0, None, None,2019-05-28 05:00:00, None,22
6.769,60.67, None, None,44.27, 1.038,75.24, None, None, None, None, None, None,0.0, 956.0, None, None,2019-05-28 06:00:00, None,22
6.383,68.12, None, None,21.69, 0.328,59.05, None, None, None, None, None, None,1.0, 957.0, None, None,2019-05-28 07:00:00, None,22
8.85,63.52, None, None,17.57, 0.378,58.19, None, None, None, None, None, None,2.0, 956.0, None, None,2019-05-28 08:00:00, None,22
13.44,44.93, None, None,61.77, 0.001,20.73, None, None, None, None, None, None,1.0, 956.0, None, None,2019-05-28 09:00:00, None,22
15.17,33.9, None, None,46.45, 1.221,247.9, None, None, None, None, None, None,0.0, 953.0, None, None,2019-05-28 10:00:00, None,22
17.74,28.68, None, None,51.05, 1.094,234.2, None, None, None, None, None, None,-1.0, 951.0, None, None,2019-05-28 11:00:00, None,22
18.79,25.56, None, None,37.12, 3.116,223.9, None, None, None, None, None, None,-1.0, 950.0, None, None,2019-05-28 12:00:00, None,22
20.46,20.08, None, None,44.72, 2.873,220.4, None, None, None, None, None, None,-3.0, 949.0, None, None,2019-05-28 13:00:00, None,22
22.77,17.14, None, None,61.6, 1.196,263.1, None, None, None, None, None, None,-3.0, 948.0, None, None,2019-05-28 14:00:00, None,22
24.08,14.05, None, None,67.58, 2.743,254.9, None, None, None, None, None, None,-6.0, 944.0, None, None,2019-05-28 15:00:00, None,22
24.04,15.51, None, None,43.65, 5.402,229.3, None, None, None, None, None, None,-5.0, 939.0, None, None,2019-05-28 16:00:00, None,22
24.59,14.86, None, None,44.87, 4.008,214.1, None, None, None, None, None, None,-4.0, 936.0, None, None,2019-05-28 17:00:00, None,22
25.1,13.71, None, None,52.2, 4.33,197.8, None, None, None, None, None, None,-6.0, 933.0, None, None,2019-05-28 18:00:00, None,22
25.19,14.84, None, None,46.28, 2.458,219.7, None, None, None, None, None, None,-2.0, 934.0, None, None,2019-05-28 19:00:00, None,22
20.73,28.62, None, None,64.24, 1.953,162.3, None, None, None, None, None, None,2.0, 938.0, None, None,2019-05-28 20:00:00, None,22
19.18,25.57, None, None,18.27, 4.802,70.47, None, None, None, None, None, None,0.0, 939.0, None, None,2019-05-28 21:00:00, None,22
16.39,34.84, None, None,32.77, 6.267,72.11, None, None, None, None, None, None,2.0, 940.0, None, None,2019-05-28 22:00:00, None,22
15.89,32.9, None, None,39.75, 4.596,86.5, None, None, None, None, None, None,0.0, 943.0, None, None,2019-05-28 23:00:00, None,22
15.19,32.34, None, None,25.1, 3.275,71.99, None, None, None, None, None, None,-1.0, 944.0, None, None,2019-05-29 00:00:00, None,22
14.27,39.03, None, None,33.44, 3.502,101.3, None, None, None, None, None, None,-1.0, 946.0, None, None,2019-05-29 01:00:00, None,22
10.93,52.63, None, None,35.59, 1.608,75.04, None, None, None, None, None, None,2.0, 947.0, None, None,2019-05-29 02:00:00, None,22
9.91,57.17, None, None,21.28, 1.893,64.4, None, None, None, None, None, None,2.0, 947.0, None, None,2019-05-29 03:00:00, None,22
8.06,66.02, None, None,15.42, 1.199,65.68, None, None, None, None, None, None,2.0, 949.0, None, None,2019-05-29 04:00:00, None,22
7.759,67.12, None, None,29.95, 1.909,72.68, None, None, None, None, None, None,2.0, 950.0, None, None,2019-05-29 05:00:00, None,22
8.51,61.4, None, None,14.64, 0.265,64.41, None, None, None, None, None, None,2.0, 949.0, None, None,2019-05-29 06:00:00, None,22
