wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,snw_dpth,week_of_year
72.0, 81.0, 10.8, 0.0, -11.5, 8.2, -8.8, -10.2, 95.0, 0.0, 0.0, 79.0,2022-11-05 00:00:00, 193.0,45
105.0, 81.0, 9.3, 0.0, -12.3, 10.5, -9.7, -10.6, 103.0, 0.0, 0.0, 80.0,2022-11-05 01:00:00, 193.0,45
102.0, 79.0, 8.2, 0.0, -13.1, 9.2, -10.2, -11.0, 72.0, 0.0, 0.0, 79.0,2022-11-05 02:00:00, 193.0,45
122.0, 80.0, 10.5, 0.0, -13.4, 5.5, -10.6, -11.3, 105.0, 0.0, 0.0, 77.0,2022-11-05 03:00:00, 193.0,45
101.0, 79.0, 9.2, 0.0, -13.9, 9.1, -11.0, -11.6, 102.0, 0.0, 0.0, 77.0,2022-11-05 04:00:00, 193.0,45
90.0, 77.0, 5.5, 0.0, -14.5, 10.4, -11.3, -11.9, 122.0, 0.0, 0.0, 75.0,2022-11-05 05:00:00, 193.0,45
100.0, None, None, 0.0, None, 12.4, None, -12.2, None, None, None, 77.0,2022-11-05 06:00:00, None,45
97.0, None, None, 0.0, None, 11.0, None, -12.4, None, None, None, 77.0,2022-11-05 07:00:00, None,45
82.0, 77.0, 12.4, 0.0, -15.4, 11.3, -12.2, -12.5, 100.0, 0.0, None, 73.0,2022-11-05 08:00:00, 193.0,45
87.0, 77.0, None, 0.0, -15.6, 10.6, -12.4, -12.4, 97.0, 0.0, 0.0, 69.0,2022-11-05 09:00:00, 193.0,45
85.0, 73.0, 11.3, 0.0, -16.3, 8.5, -12.5, -12.0, 82.0, 0.0, 0.0, 67.0,2022-11-05 10:00:00, 193.0,45
90.0, 69.0, 10.6, 0.0, -16.9, 6.8, -12.4, -11.8, 87.0, 0.0, 0.0, 65.0,2022-11-05 11:00:00, 193.0,45
95.0, 67.0, 8.5, 0.0, -16.9, 7.3, -12.0, -12.0, 85.0, 0.0, 0.0, 66.0,2022-11-05 12:00:00, 193.0,45
105.0, 65.0, 6.8, 0.0, -17.1, 7.5, -11.8, -12.2, 90.0, 0.0, 0.0, 65.0,2022-11-05 13:00:00, 193.0,45
126.0, 66.0, 7.3, 0.0, -17.1, 6.0, -12.0, -12.3, 95.0, 0.0, 0.0, 66.0,2022-11-05 14:00:00, 193.0,45
100.0, 65.0, 7.5, 0.0, -17.4, 7.9, -12.2, -12.6, 105.0, 0.0, 0.0, 68.0,2022-11-05 15:00:00, 193.0,45
102.0, 66.0, None, 0.0, -17.3, 9.3, -12.3, -12.7, 126.0, 0.0, 0.0, 69.0,2022-11-05 16:00:00, 193.0,45
113.0, 68.0, 7.9, 0.0, -17.3, 10.4, -12.6, -12.8, 100.0, 0.0, 0.0, 69.0,2022-11-05 17:00:00, 193.0,45
114.0, None, None, 0.0, None, 9.5, None, -12.9, None, None, None, 69.0,2022-11-05 18:00:00, None,45
109.0, 69.0, 10.4, 0.0, -17.3, 11.4, -12.8, -13.0, 113.0, 0.0, 0.0, 62.0,2022-11-05 19:00:00, 193.0,45
100.0, 69.0, 9.5, 0.0, -17.4, 15.3, -12.9, -13.3, 114.0, 0.0, 0.0, 62.0,2022-11-05 20:00:00, 193.0,45
114.0, 62.0, 11.4, 0.0, -18.8, 14.1, -13.0, -13.8, 109.0, 0.0, 0.0, 64.0,2022-11-05 21:00:00, 193.0,45
