station_observations
SolarRadiation, AirTemperature, Precipitation, Rain, WindSpeed, SnowDepth, time, WindDirection, RelativeHumidity
None, -3.1, 0.0, 0.0, 10.5, None, 2016-01-01 00:00:00, 12.0, 90.0
None, -3.4, None, 0.0, 10.8, None, 2016-01-01 00:15:00, 9.0, 93.0
None, -3.6, None, 0.0, 10.4, None, 2016-01-01 00:30:00, 10.0, 94.0
None, -3.3, None, 0.0, 9.2, None, 2016-01-01 00:45:00, 18.0, 92.0
None, -3.2, 0.0, 0.0, 10.0, None, 2016-01-01 01:00:00, 17.0, 93.0
None, -3.3, None, 0.0, 8.5, None, 2016-01-01 01:15:00, 15.0, 95.0
None, -3.1, None, 0.0, 8.9, None, 2016-01-01 01:30:00, 34.0, 91.0
None, -2.9, None, 0.0, 10.7, None, 2016-01-01 01:45:00, 47.0, 90.0
None, -2.8, 0.0, 0.0, 9.7, None, 2016-01-01 02:00:00, 43.0, 90.0
None, -3.0, None, 0.0, 9.1, None, 2016-01-01 02:15:00, 5.0, 93.0
None, -3.1, None, 0.0, 8.7, None, 2016-01-01 02:30:00, 19.0, 92.0
None, -3.3, None, 0.0, 9.4, None, 2016-01-01 02:45:00, 16.0, 94.0
None, -3.0, 0.0, 0.0, 9.3, None, 2016-01-01 03:00:00, 29.0, 92.0
None, -3.1, None, 0.0, 9.8, None, 2016-01-01 03:15:00, 14.0, 92.0
None, -3.2, None, 0.0, 10.3, None, 2016-01-01 03:30:00, 11.0, 92.0
None, -3.1, None, 0.0, 10.1, None, 2016-01-01 03:45:00, 31.0, 90.0
None, -2.9, 1.0, 0.0, 11.0, None, 2016-01-01 04:00:00, 40.0, 89.0
None, -2.7, None, 0.0, 10.0, None, 2016-01-01 04:15:00, 32.0, 89.0
None, -2.7, None, 0.0, 9.1, None, 2016-01-01 04:30:00, 26.0, 89.0
None, -3.0, None, 0.0, 8.4, None, 2016-01-01 04:45:00, 37.0, 89.0
None, -2.9, 0.0, 0.0, 9.9, None, 2016-01-01 05:00:00, 34.0, 91.0
None, -3.0, None, 0.0, 9.9, None, 2016-01-01 05:15:00, 22.0, 91.0
None, -3.4, None, 0.0, 8.6, None, 2016-01-01 05:30:00, 20.0, 93.0
None, -2.9, None, 0.0, 8.0, None, 2016-01-01 05:45:00, 35.0, 88.0
None, -2.5, 0.0, 0.0, 10.4, None, 2016-01-01 06:00:00, 40.0, 81.0
None, -2.1, None, 0.0, 6.6, None, 2016-01-01 06:15:00, 32.0, 84.0
None, -2.6, None, 0.0, 9.4, None, 2016-01-01 06:30:00, 20.0, 89.0
None, -2.6, None, 0.0, 9.1, None, 2016-01-01 06:45:00, 20.0, 88.0
None, -2.7, -1.0, 0.0, 9.6, None, 2016-01-01 07:00:00, 19.0, 88.0
None, -3.0, None, 0.0, 10.0, None, 2016-01-01 07:15:00, 14.0, 90.0
None, -3.1, None, 0.0, 9.1, None, 2016-01-01 07:30:00, 19.0, 90.0
None, -2.9, None, 0.0, 9.9, None, 2016-01-01 07:45:00, 17.0, 89.0
None, -3.2, 1.0, 0.0, 9.9, None, 2016-01-01 08:00:00, 14.0, 92.0
None, -3.3, None, 0.0, 10.5, None, 2016-01-01 08:15:00, 11.0, 93.0
None, -3.5, None, 0.0, 10.3, None, 2016-01-01 08:30:00, 16.0, 94.0
None, -3.7, None, 0.0, 10.6, None, 2016-01-01 08:45:00, 13.0, 95.0
None, -3.7, 0.0, 0.0, 9.1, None, 2016-01-01 09:00:00, 23.0, 96.0
None, -2.9, None, 0.0, 11.0, None, 2016-01-01 09:15:00, 27.0, 90.0
None, -2.5, None, 0.0, 12.3, None, 2016-01-01 09:30:00, 36.0, 88.0
None, -2.1, None, 0.0, 11.3, None, 2016-01-01 09:45:00, 27.0, 87.0
None, -2.1, -1.0, 0.0, 10.8, None, 2016-01-01 10:00:00, 22.0, 89.0
None, -2.0, None, 0.0, 10.6, None, 2016-01-01 10:15:00, 21.0, 90.0
None, -1.9, None, 0.0, 11.5, None, 2016-01-01 10:30:00, 7.0, 91.0
None, -1.9, None, 0.0, 10.7, None, 2016-01-01 10:45:00, 352.0, 91.0
