CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None,-5.569, None, None,2017-02-26 00:00:00, None, None,25.75,11.05,338.8, None, None, None, None, None, None, 163.0,9
None,-5.665, None, None,2017-02-26 01:00:00, None, None,54.0,4.507,315.4, None, None, None, None, None, None, 163.0,9
None,-5.588, None, None,2017-02-26 02:00:00, None, None,32.91,10.27,339.5, None, None, None, None, None, None, 162.9,9
None,-5.86, None, None,2017-02-26 03:00:00, None, None,32.07,9.36,330.2, None, None, None, None, None, None, 162.9,9
None,-6.307, None, None,2017-02-26 04:00:00, None, None,17.72,14.3,331.8, None, None, None, None, None, None, 162.8,9
None,-7.49, None, None,2017-02-26 05:00:00, None, None,48.95,4.332,11.66, None, None, None, None, None, None, 162.7,9
None,-7.23, None, None,2017-02-26 06:00:00, None, None,28.94,5.854,328.9, None, None, None, None, None, None, 162.9,9
None,-6.875, None, None,2017-02-26 07:00:00, None, None,10.17,10.43,321.9, None, None, None, None, None, None, 162.7,9
None,-6.954, None, None,2017-02-26 08:00:00, None, None,21.96,8.64,322.7, None, None, None, None, None, None, 162.5,9
None,-4.113, None, None,2017-02-26 09:00:00, None, None,71.7,0.7,323.0, None, None, None, None, None, None, 162.1,9
None,-2.252, None, None,2017-02-26 10:00:00, None, None,30.71,2.75,200.4, None, None, None, None, None, None, 161.6,9
None,-2.338, None, None,2017-02-26 11:00:00, None, None,17.49,5.362,234.8, None, None, None, None, None, None, 161.7,9
None,-2.34, None, None,2017-02-26 12:00:00, None, None,20.61,4.931,231.7, None, None, None, None, None, None, 161.7,9
None,-1.677, None, None,2017-02-26 13:00:00, None, None,24.86,6.238,225.4, None, None, None, None, None, None, 161.8,9
None,-1.679, None, None,2017-02-26 14:00:00, None, None,27.61,6.674,217.8, None, None, None, None, None, None, 162.1,9
None,-4.11, None, None,2017-02-26 15:00:00, None, None,29.05,8.27,217.9, None, None, None, None, None, None, 162.0,9
None,-4.56, None, None,2017-02-26 16:00:00, None, None,24.71,8.77,234.6, None, None, None, None, None, None, 162.0,9
None,-5.611, None, None,2017-02-26 17:00:00, None, None,28.5,10.53,243.3, None, None, None, None, None, None, 162.4,9
None,-6.798, None, None,2017-02-26 18:00:00, None, None,46.64,5.241,243.1, None, None, None, None, None, None, 162.5,9
None,-6.817, None, None,2017-02-26 19:00:00, None, None,29.99,7.36,277.6, None, None, None, None, None, None, 162.4,9
None,-6.944, None, None,2017-02-26 20:00:00, None, None,22.05,11.84,256.5, None, None, None, None, None, None, 162.2,9
None,-7.3, None, None,2017-02-26 21:00:00, None, None,21.36,12.21,269.4, None, None, None, None, None, None, 162.2,9
None,-7.88, None, None,2017-02-26 22:00:00, None, None,21.31,11.21,290.1, None, None, None, None, None, None, 162.2,9
None,-7.93, None, None,2017-02-26 23:00:00, None, None,18.36,9.31,298.8, None, None, None, None, None, None, 162.2,9
None,-7.78, None, None,2017-02-27 00:00:00, None, None,18.42,10.14,300.4, None, None, None, None, None, None, 162.4,9
None,-6.954, None, None,2017-02-27 01:00:00, None, None,30.05,6.881,291.0, None, None, None, None, None, None, 162.1,9
None,-7.71, None, None,2017-02-27 02:00:00, None, None,23.96,6.5,299.9, None, None, None, None, None, None, 162.0,9
None,-7.6, None, None,2017-02-27 03:00:00, None, None,27.14,6.587,299.5, None, None, None, None, None, None, 162.2,9
None,-7.54, None, None,2017-02-27 04:00:00, None, None,20.87,7.75,307.9, None, None, None, None, None, None, 162.0,9
None,-7.85, None, None,2017-02-27 05:00:00, None, None,27.39,6.502,310.8, None, None, None, None, None, None, 162.0,9
None,-7.62, None, None,2017-02-27 06:00:00, None, None,16.35,9.42,304.3, None, None, None, None, None, None, 162.0,9
None,-7.78, None, None,2017-02-27 07:00:00, None, None,21.14,9.34,303.9, None, None, None, None, None, None, 162.1,9
None,-6.768, None, None,2017-02-27 08:00:00, None, None,16.25,11.25,298.9, None, None, None, None, None, None, 161.8,9
None,-5.172, None, None,2017-02-27 09:00:00, None, None,19.17,7.83,291.3, None, None, None, None, None, None, 161.3,9
None,-4.056, None, None,2017-02-27 10:00:00, None, None,22.41,8.12,281.9, None, None, None, None, None, None, 161.1,9
None,-3.32, None, None,2017-02-27 11:00:00, None, None,28.49,7.95,256.0, None, None, None, None, None, None, 161.1,9
None,-2.13, None, None,2017-02-27 12:00:00, None, None,22.83,6.16,230.8, None, None, None, None, None, None, 160.9,9
None,-1.487, None, None,2017-02-27 13:00:00, None, None,23.72,6.337,228.5, None, None, None, None, None, None, 161.2,9
None,-2.714, None, None,2017-02-27 15:00:00, None, None,21.37,10.0,239.5, None, None, None, None, None, None, 161.0,9
None,-3.087, None, None,2017-02-27 16:00:00, None, None,24.49,8.32,234.9, None, None, None, None, None, None, 161.3,9
None,-4.387, None, None,2017-02-27 17:00:00, None, None,25.53,6.619,232.2, None, None, None, None, None, None, 161.1,9
