pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,avg_wnd_spd_10m_pst10mts,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,ACTUAL_WIND_DIRECTION,ACTUAL_WIND_SPEED,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
5.7, None, 2.298, 99.8, None, None, None, None, 18.84, 0.0, 18.27, 120.4, 2.0, None, 2.3, 0.9, 0.0, None, None, 2.7, None, None, 100.0, None,2021-11-12 00:00:00, 35.0, None, 35.22,46
6.8, None, 2.621, 99.8, None, None, None, None, 27.23, 0.0, 15.64, 140.1, 3.0, None, 2.6, 0.9, 1.1, None, None, 3.2, None, None, 100.0, None,2021-11-12 01:00:00, 34.0, None, 34.01,46
8.0, None, 3.03, 99.8, None, None, None, None, 21.31, 0.0, 22.21, 188.4, 4.0, None, 3.0, 0.9, 1.2, None, None, 3.5, None, None, 100.0, None,2021-11-12 02:00:00, 33.0, None, 32.61,46
9.9, None, 3.288, 99.8, None, None, None, None, 10.52, 0.0, 26.54, 209.5, 3.0, None, 3.3, 0.9, 1.9, None, None, 3.9, None, None, 100.0, None,2021-11-12 03:00:00, 31.0, None, 30.57,46
11.3, None, 3.644, 99.8, None, None, None, None, 22.82, 0.0, 21.12, 238.8, 4.0, None, 3.6, 0.9, 1.6, None, None, 4.0, None, None, 100.0, None,2021-11-12 04:00:00, 30.0, None, 30.05,46
14.8, None, 3.998, 99.8, None, None, None, None, 36.06, 0.0, 21.03, 344.1, 4.0, None, 4.0, 0.9, 3.7, None, None, 4.1, None, None, 100.0, None,2021-11-12 05:00:00, 29.0, None, 28.63,46
16.7, None, 3.58, 99.8, None, None, None, None, 22.37, 0.0, 19.64, 34.39, 3.0, None, 3.6, 0.9, 1.9, None, None, 4.1, None, None, 100.0, None,2021-11-12 06:00:00, 28.0, None, 28.03,46
18.7, None, 2.685, 99.8, None, None, None, None, 38.08, 0.0, 18.59, 79.69, 2.0, None, 2.7, 2.3, 2.0, None, None, 3.8, None, None, 100.0, None,2021-11-12 07:00:00, 27.0, None, 26.52,46
19.5, None, 1.576, 99.8, None, None, None, None, 48.1, 0.0, 23.65, 353.7, 1.0, None, 1.6, 1.1, 1.0, None, None, 3.8, None, None, 100.0, None,2021-11-12 08:00:00, 28.0, None, 28.14,46
19.5, None, 1.0, 99.9, None, None, None, None, 50.18, 0.0, 20.69, 219.7, 1.0, None, 1.0, 0.6, 0.0, None, None, 3.8, None, None, 100.0, None,2021-11-12 09:00:00, 27.0, None, 27.29,46
20.0, None, 0.701, 99.9, None, None, None, None, 52.23, 0.0, 8.27, 151.2, 0.0, None, 0.7, 0.4, 0.5, None, None, 3.8, None, None, 100.0, None,2021-11-12 10:00:00, 27.0, None, 26.71,46
20.8, None, 0.172, 99.8, None, None, None, None, 42.0, 0.0, 13.94, 24.99, 0.0, None, 0.2, -0.1, 1.0, None, None, 3.8, None, None, 100.0, None,2021-11-12 11:00:00, 27.0, None, 26.72,46
22.6, None, -0.329, 99.8, None, None, None, None, 63.76, 0.0, 5.811, 273.0, -1.0, None, -0.3, -0.6, 2.2, None, None, 3.8, None, None, 100.0, None,2021-11-12 12:00:00, 25.0, None, 25.28,46
23.7, None, -0.584, 99.9, None, None, None, None, 20.0, 0.0, 13.84, 262.3, 0.0, None, -0.6, -0.7, 1.1, None, None, 3.8, None, None, 100.0, None,2021-11-12 13:00:00, 25.0, None, 25.48,46
24.8, None, -0.715, 99.8, None, None, None, None, 15.17, 0.0, 15.51, 284.1, -1.0, None, -0.7, -0.8, 1.1, None, None, 3.8, None, None, 100.0, None,2021-11-12 14:00:00, 23.0, None, 23.37,46
