station_observations
time, ONE_DAY_PRECIPITATION, MAX_TEMP, MIN_TEMP
2012-04-28 00:00:00, 0.0, 14.1, 3.1
2012-04-29 00:00:00, None, 14.9, 1.2
2012-04-30 00:00:00, 7.6, 12.9, 5.2
2012-05-01 00:00:00, 2.0, 12.1, 3.1
2012-05-02 00:00:00, 0.0, 13.6, 2.7
2012-05-03 00:00:00, 1.8, 11.3, 1.9
2012-05-04 00:00:00, 1.3, 11.9, 2.8
2012-05-05 00:00:00, 0.0, 12.9, -0.5
2012-05-06 00:00:00, 0.0, 18.0, -0.9
2012-05-07 00:00:00, 0.0, 20.7, 6.8
2012-05-08 00:00:00, 0.0, 17.3, 7.7
2012-05-09 00:00:00, 0.0, 9.7, -1.4
2012-05-10 00:00:00, 0.0, 13.1, -1.9
2012-05-11 00:00:00, 0.0, 16.4, -3.7
2012-05-14 00:00:00, 0.0, 24.0, 0.8
2012-05-15 00:00:00, 0.0, 18.5, 7.4
2012-05-16 00:00:00, 0.0, 15.2, 2.4
2012-05-17 00:00:00, 0.0, 11.5, -3.2
2012-05-18 00:00:00, 0.5, 10.3, -1.0
2012-05-19 00:00:00, 0.0, 17.8, -3.1
2012-05-20 00:00:00, 0.0, 18.0, 3.7
2012-05-21 00:00:00, 3.0, 16.4, 7.9
2012-05-22 00:00:00, 11.5, 13.7, 5.3
2012-05-23 00:00:00, 0.0, 17.6, 1.2
2012-05-24 00:00:00, 0.0, 19.2, 0.9
2012-05-25 00:00:00, 0.0, 21.5, 3.4
2012-05-26 00:00:00, 0.0, 24.5, 0.8
2012-05-27 00:00:00, 0.0, 23.6, 2.8
2012-05-28 00:00:00, 7.0, 20.8, 5.9
2012-05-29 00:00:00, 4.3, 17.1, 4.6
2012-05-30 00:00:00, 0.0, 20.3, 6.0
2012-05-31 00:00:00, 0.3, 22.6, 9.1
2012-06-01 00:00:00, 7.3, 21.4, 4.0
2012-06-02 00:00:00, 0.3, 15.9, 5.7
2012-06-04 00:00:00, 3.5, 16.8, 6.8
2012-06-05 00:00:00, 1.9, 13.8, 9.3
2012-06-06 00:00:00, 4.9, 12.1, 7.6
2012-06-07 00:00:00, 2.0, 16.1, 6.2
2012-06-08 00:00:00, 0.0, 17.1, 6.3
2012-06-09 00:00:00, 0.0, 20.8, 8.4
2012-06-10 00:00:00, 0.0, 24.1, 5.7
2012-06-11 00:00:00, 0.0, 24.5, 5.5
2012-06-12 00:00:00, 4.4, 16.0, 11.9
