station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, None, 0.7, 2012-01-02 00:00:00, 25.0, 5.6
0.0, None, 1.4, 2012-01-03 00:00:00, 24.0, 7.4
3.7, None, 1.7, 2012-01-04 00:00:00, 16.0, 9.6
0.0, None, -3.0, 2012-01-05 00:00:00, 7.0, 1.9
0.0, None, -5.5, 2012-01-06 00:00:00, 7.0, -1.7
2.8, 0.0, -3.9, 2012-01-07 00:00:00, 7.0, 0.9
0.6, None, 0.2, 2012-01-08 00:00:00, 11.0, 2.7
0.0, None, -4.3, 2012-01-09 00:00:00, 9.0, 8.1
0.0, None, -12.4, 2012-01-10 00:00:00, 8.0, -0.4
0.0, None, -15.5, 2012-01-11 00:00:00, 9.0, -5.9
0.0, None, -12.6, 2012-01-12 00:00:00, 9.0, -2.7
0.9, None, -14.2, 2012-01-13 00:00:00, 8.0, -4.1
3.1, 0.0, -9.2, 2012-01-14 00:00:00, 9.0, -3.5
0.0, None, -22.4, 2012-01-15 00:00:00, 16.0, -9.2
0.0, None, -24.1, 2012-01-16 00:00:00, 15.0, -19.4
0.0, None, -31.2, 2012-01-17 00:00:00, 14.0, -24.0
0.3, None, -36.3, 2012-01-18 00:00:00, 15.0, -25.5
0.0, None, -36.0, 2012-01-19 00:00:00, 15.0, -26.0
0.4, 0.0, -26.1, 2012-01-20 00:00:00, 14.0, -15.9
5.6, 0.0, -16.0, 2012-01-21 00:00:00, 16.0, -9.5
0.0, None, -20.3, 2012-01-22 00:00:00, 22.0, 1.7
0.0, None, -2.7, 2012-01-23 00:00:00, 21.0, 2.8
0.0, None, 0.9, 2012-01-24 00:00:00, 20.0, 4.8
0.0, None, -8.2, 2012-01-25 00:00:00, 14.0, 5.1
0.0, None, -9.1, 2012-01-26 00:00:00, 13.0, 2.1
0.0, None, -11.0, 2012-01-27 00:00:00, 13.0, 1.7
9.0, 0.0, -2.4, 2012-01-28 00:00:00, 14.0, 0.9
0.0, None, -3.1, 2012-01-29 00:00:00, 25.0, 5.7
0.0, None, -4.4, 2012-01-30 00:00:00, 26.0, 4.3
0.0, None, -4.4, 2012-01-31 00:00:00, 26.0, 5.1
1.7, None, -6.4, 2012-02-01 00:00:00, 24.0, 4.6
0.0, None, -6.8, 2012-02-02 00:00:00, 24.0, 4.7
0.0, None, -6.6, 2012-02-03 00:00:00, 23.0, 7.9
0.0, None, -10.7, 2012-02-04 00:00:00, 23.0, 6.1
0.0, None, -13.5, 2012-02-05 00:00:00, 22.0, -0.6
0.0, None, -15.5, 2012-02-06 00:00:00, 22.0, -3.3
0.0, None, -14.7, 2012-02-07 00:00:00, 22.0, -4.8
