station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, None, -3.3, 2012-01-02 00:00:00, 60.0, 4.3
7.4, 0.0, 0.1, 2012-01-03 00:00:00, 59.0, 1.6
36.8, None, 0.6, 2012-01-04 00:00:00, 60.0, 5.4
0.7, 0.0, -1.1, 2012-01-05 00:00:00, 55.0, 4.1
0.0, None, -2.9, 2012-01-06 00:00:00, 56.0, -1.0
0.5, None, -3.2, 2012-01-07 00:00:00, 57.0, -0.9
1.1, None, -1.6, 2012-01-08 00:00:00, 57.0, 1.4
6.5, None, -0.3, 2012-01-09 00:00:00, 55.0, 4.3
0.0, None, -7.3, 2012-01-10 00:00:00, 54.0, 0.3
0.0, None, -8.7, 2012-01-11 00:00:00, 53.0, -2.0
2.9, 0.0, -4.6, 2012-01-13 00:00:00, 53.0, -0.4
None, None, None, 2012-01-14 00:00:00, 57.0, -0.9
0.0, None, -10.8, 2012-01-15 00:00:00, 61.0, -4.2
0.0, None, -13.8, 2012-01-16 00:00:00, 59.0, -9.9
None, None, -21.0, 2012-01-17 00:00:00, 61.0, -13.7
0.4, 0.0, -21.8, 2012-01-18 00:00:00, 63.0, -18.0
0.0, None, -20.4, 2012-01-19 00:00:00, 64.0, -14.3
9.7, 0.0, -16.6, 2012-01-20 00:00:00, 63.0, -8.6
8.9, 0.0, -10.4, 2012-01-21 00:00:00, 82.0, 1.5
11.6, 0.0, -4.2, 2012-01-22 00:00:00, 83.0, 0.6
1.7, None, -3.1, 2012-01-23 00:00:00, 100.0, 0.4
17.3, 0.0, -2.2, 2012-01-24 00:00:00, 96.0, 3.5
0.6, None, -2.7, 2012-01-25 00:00:00, 101.0, 4.8
3.2, 0.0, -5.9, 2012-01-26 00:00:00, 103.0, 0.0
0.0, None, -6.0, 2012-01-27 00:00:00, 99.0, -1.0
2.1, 0.0, -3.9, 2012-01-28 00:00:00, 96.0, -0.3
9.3, None, -0.8, 2012-01-29 00:00:00, 98.0, 2.0
0.0, None, -0.4, 2012-01-30 00:00:00, 94.0, 1.9
2.5, 0.0, -0.9, 2012-01-31 00:00:00, 92.0, 1.0
6.3, 0.0, -2.2, 2012-02-01 00:00:00, 98.0, 3.1
0.0, None, -2.1, 2012-02-02 00:00:00, 95.0, 3.0
0.0, None, -1.2, 2012-02-03 00:00:00, 93.0, 5.7
0.0, None, -2.0, 2012-02-04 00:00:00, 92.0, 5.4
0.0, None, -3.7, 2012-02-05 00:00:00, 92.0, 3.4
0.0, None, -1.8, 2012-02-06 00:00:00, 92.0, 6.4
0.0, None, -2.8, 2012-02-07 00:00:00, 92.0, 5.6
0.3, None, -0.2, 2012-02-09 00:00:00, 92.0, 3.1
0.0, None, 0.1, 2012-02-10 00:00:00, 91.0, 3.2
0.4, None, 0.8, 2012-02-11 00:00:00, 89.0, 4.3
